S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
79.89999999999999,51.900000000000006,102.8,85.0,62.20000000000001,36.9,91.8,64.73333333333333,79.13333333333334,62.20000000000001,51.5,82.33333333333333,99.59999999999998,75.0,74.9,62.1,64.2,73.07692307692308,1703.1546351084814
80.05999999999999,52.06,102.77,85.05,62.13000000000001,37.01,91.77,64.72666666666667,79.48666666666668,62.19666666666667,51.85,82.11666666666666,99.35666666666665,75.1,75.06,62.29,63.830000000000005,73.12179487179488,1706.7080078895465
80.22,52.220000000000006,102.74,85.1,62.06000000000001,37.12,91.74,64.72,79.84,62.19333333333334,52.2,81.89999999999999,99.11333333333332,75.2,75.22,62.480000000000004,63.46,73.16666666666667,1710.2613806706117
80.38,52.38,102.71,85.15,61.99000000000001,37.23,91.71,64.71333333333334,80.19333333333334,62.190000000000005,52.55,81.68333333333334,98.86999999999999,75.3,75.38000000000001,62.67,63.09,73.21153846153847,1713.8147534516768
80.53999999999999,52.540000000000006,102.67999999999999,85.2,61.92000000000001,37.339999999999996,91.67999999999999,64.70666666666666,80.54666666666667,62.186666666666675,52.9,81.46666666666667,98.62666666666665,75.4,75.54,62.86,62.72,73.25641025641026,1717.3681262327418
80.69999999999999,52.7,102.65,85.25,61.85000000000001,37.45,91.65,64.7,80.9,62.18333333333334,53.25,81.25,98.38333333333333,75.5,75.7,63.05,62.35,73.30128205128204,1720.921499013807
80.86,52.86,102.62,85.3,61.78,37.56,91.62,64.69333333333334,81.25333333333334,62.18,53.6,81.03333333333333,98.14,75.6,75.86,63.24,61.980000000000004,73.34615384615384,1724.4748717948721
81.02,53.02,102.59,85.35,61.71,37.67,91.59,64.68666666666667,81.60666666666667,62.17666666666667,53.95,80.81666666666666,97.89666666666666,75.7,76.02,63.43,61.61,73.39102564102564,1728.0282445759372
81.17999999999999,53.18,102.56,85.4,61.64,37.78,91.56,64.68,81.96000000000001,62.17333333333333,54.3,80.60000000000001,97.65333333333334,75.8,76.18,63.62,61.24,73.43589743589743,1731.5816173570022
81.34,53.34,102.53,85.45,61.57,37.89,91.53,64.67333333333333,82.31333333333333,62.17,54.65,80.38333333333334,97.41,75.9,76.34,63.81,60.87,73.48076923076923,1735.1349901380675
81.5,53.5,102.5,85.5,61.5,38.0,91.5,64.66666666666667,82.66666666666667,62.166666666666664,55.0,80.16666666666667,97.16666666666667,76.0,76.5,64.0,60.5,73.52564102564102,1738.6883629191325
81.49,53.8,101.98,85.42,61.41,38.11,91.42333333333333,64.65333333333334,82.99000000000001,61.99333333333333,54.45,80.16000000000001,96.98333333333333,76.24,76.68,64.24,60.36,73.45102564102564,1741.2218540433928
81.48,54.1,101.46,85.34,61.32,38.22,91.34666666666666,64.64,83.31333333333333,61.82,53.9,80.15333333333334,96.8,76.48,76.86,64.48,60.22,73.37641025641025,1743.755345167653
81.47,54.4,100.94,85.26,61.230000000000004,38.33,91.27,64.62666666666667,83.63666666666667,61.64666666666667,53.35,80.14666666666668,96.61666666666667,76.72,77.03999999999999,64.72,60.08,73.30179487179487,1746.2888362919134
81.46,54.7,100.42,85.18,61.14,38.44,91.19333333333333,64.61333333333333,83.96,61.473333333333336,52.8,80.14,96.43333333333334,76.96,77.22,64.96,59.94,73.22717948717948,1748.8223274161737
81.44999999999999,55.0,99.9,85.1,61.05,38.55,91.11666666666667,64.6,84.28333333333333,61.3,52.25,80.13333333333334,96.25,77.19999999999999,77.4,65.19999999999999,59.8,73.1525641025641,1751.355818540434
81.44,55.3,99.38,85.02,60.96,38.660000000000004,91.04,64.58666666666667,84.60666666666667,61.126666666666665,51.7,80.12666666666668,96.06666666666666,77.44,77.58,65.44,59.66,73.07794871794873,1753.8893096646946
81.42999999999999,55.6,98.86,84.94,60.870000000000005,38.77,90.96333333333334,64.57333333333334,84.92999999999999,60.95333333333333,51.15,80.12,95.88333333333333,77.67999999999999,77.75999999999999,65.67999999999999,59.519999999999996,73.00333333333334,1756.4228007889549
81.41999999999999,55.9,98.34,84.86,60.78,38.88,90.88666666666667,64.56,85.25333333333333,60.78,50.6,80.11333333333334,95.7,77.91999999999999,77.94,65.91999999999999,59.379999999999995,72.92871794871796,1758.9562919132152
81.41,56.2,97.82,84.78,60.69,38.99,90.81,64.54666666666667,85.57666666666665,60.60666666666667,50.05,80.10666666666667,95.51666666666667,78.16,78.12,66.16,59.239999999999995,72.85410256410258,1761.4897830374755
81.39999999999999,56.5,97.3,84.7,60.6,39.1,90.73333333333333,64.53333333333333,85.89999999999999,60.43333333333334,49.5,80.10000000000001,95.33333333333333,78.39999999999999,78.3,66.39999999999999,59.099999999999994,72.77948717948719,1764.0232741617358
