S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
39.6,28.2,50.4,33.6,94.2,23.4,86.4,51.0,85.8,67.2,0.0,55.8,138.6,150.6,103.2,90.0,36.0,58.01538461538462,1344.9869822485205
39.39,28.23,50.01,33.69,93.93,23.31,86.31,51.0,86.22,67.28,0.0,55.62,138.14,151.14,103.38,90.9,35.7,57.933076923076925,1341.3871005917158
39.18,28.259999999999998,49.62,33.78,93.66,23.22,86.22,51.0,86.64,67.36,0.0,55.44,137.68,151.68,103.56,91.8,35.4,57.85076923076923,1337.787218934911
38.97,28.29,49.23,33.870000000000005,93.39,23.13,86.13000000000001,51.0,87.06,67.44,0.0,55.26,137.22,152.22,103.74000000000001,92.7,35.1,57.768461538461544,1334.1873372781063
38.76,28.32,48.839999999999996,33.96,93.12,23.04,86.04,51.0,87.48,67.52,0.0,55.08,136.76,152.76,103.92,93.6,34.8,57.68615384615385,1330.5874556213016
38.55,28.35,48.45,34.05,92.85,22.95,85.95,51.0,87.9,67.6,0.0,54.9,136.3,153.3,104.1,94.5,34.5,57.603846153846156,1326.9875739644967
38.34,28.38,48.06,34.14,92.58,22.86,85.86,51.0,88.32,67.68,0.0,54.72,135.84,153.84,104.28,95.4,34.2,57.52153846153846,1323.387692307692
38.13,28.41,47.67,34.230000000000004,92.31,22.77,85.77,51.0,88.74,67.76,0.0,54.54,135.38,154.38,104.46000000000001,96.3,33.9,57.43923076923077,1319.7878106508874
37.92,28.44,47.28,34.32,92.04,22.68,85.68,51.0,89.16,67.84,0.0,54.36,134.92,154.92,104.64,97.2,33.6,57.35692307692308,1316.1879289940828
37.71,28.47,46.89,34.41,91.77,22.59,85.59,51.0,89.58,67.92,0.0,54.18,134.46,155.46,104.82,98.1,33.3,57.27461538461539,1312.5880473372779
37.5,28.5,46.5,34.5,91.5,22.5,85.5,51.0,90.0,68.0,0.0,54.0,134.0,156.0,105.0,99.0,33.0,57.19230769230769,1308.9881656804732
37.29,28.53,46.11,34.59,91.23,22.41,85.41,51.0,90.42,68.08,0.0,53.82,133.54,156.54,105.18,99.9,32.7,57.11,1305.3882840236686
37.08,28.56,45.72,34.68,90.96,22.32,85.32,51.0,90.84,68.16,0.0,53.64,133.08,157.08,105.36,100.8,32.4,57.027692307692305,1301.7884023668637
36.87,28.59,45.33,34.769999999999996,90.69,22.23,85.23,51.0,91.26,68.24,0.0,53.46,132.62,157.62,105.53999999999999,101.7,32.1,56.94538461538462,1298.188520710059
36.66,28.62,44.94,34.86,90.42,22.14,85.14,51.0,91.68,68.32,0.0,53.28,132.16,158.16,105.72,102.6,31.8,56.863076923076925,1294.5886390532542
36.45,28.65,44.55,34.95,90.15,22.05,85.05,51.0,92.1,68.4,0.0,53.1,131.7,158.7,105.9,103.5,31.5,56.78076923076923,1290.9887573964495
36.24,28.68,44.160000000000004,35.04,89.88,21.96,84.96,51.0,92.52,68.48,0.0,52.92,131.24,159.24,106.08,104.4,31.2,56.69846153846154,1287.3888757396448
36.03,28.71,43.77,35.129999999999995,89.61,21.87,84.86999999999999,51.0,92.94,68.56,0.0,52.74,130.78,159.78,106.25999999999999,105.3,30.9,56.61615384615384,1283.78899408284
35.82,28.740000000000002,43.38,35.22,89.34,21.78,84.78,51.0,93.36,68.64,0.0,52.56,130.32,160.32,106.44,106.2,30.6,56.533846153846156,1280.1891124260353
35.61,28.77,42.99,35.31,89.07,21.69,84.69,51.0,93.78,68.72,0.0,52.38,129.86,160.86,106.62,107.1,30.3,56.45153846153846,1276.5892307692304
35.4,28.8,42.6,35.4,88.8,21.6,84.6,51.0,94.2,68.8,0.0,52.2,129.4,161.4,106.8,108.0,30.0,56.36923076923077,1272.9893491124258
35.19,28.830000000000002,42.21,35.489999999999995,88.53,21.51,84.50999999999999,51.0,94.62,68.88,0.0,52.02,128.94,161.94,106.97999999999999,108.9,29.7,56.286923076923074,1269.3894674556211
34.98,28.86,41.82,35.58,88.25999999999999,21.42,84.42,51.0,95.04,68.96,0.0,51.84,128.48000000000002,162.48000000000002,107.16,109.8,29.4,56.20461538461539,1265.7895857988162
34.769999999999996,28.89,41.43,35.67,87.99,21.330000000000002,84.33,51.0,95.46000000000001,69.03999999999999,0.0,51.660000000000004,128.02,163.02,107.34,110.7,29.1,56.12230769230769,1262.1897041420116
34.559999999999995,28.92,41.04,35.76,87.72,21.240000000000002,84.24,51.0,95.88000000000001,69.11999999999999,0.0,51.480000000000004,127.56,163.56,107.52,111.6,28.8,56.04,1258.5898224852067
34.349999999999994,28.950000000000003,40.650000000000006,35.849999999999994,87.44999999999999,21.15,84.15,51.0,96.30000000000001,69.19999999999999,0.0,51.3,127.1,164.10000000000002,107.69999999999999,112.5,28.5,55.95769230769231,1254.989940828402
34.14,28.98,40.260000000000005,35.94,87.17999999999999,21.06,84.06,51.0,96.72,69.28,0.0,51.12,126.64,164.64000000000001,107.88,113.4,28.2,55.87538461538462,1251.3900591715974
33.93,29.01,39.870000000000005,36.03,86.91,20.97,83.97,51.0,97.14,69.36,0.0,50.94,126.18,165.18,108.06,114.3,27.9,55.793076923076924,1247.7901775147925
33.72,29.040000000000003,39.480000000000004,36.12,86.64,20.88,83.88,51.0,97.56,69.44,0.0,50.76,125.72,165.72,108.24,115.2,27.6,55.71076923076923,1244.1902958579878
33.51,29.07,39.09,36.209999999999994,86.36999999999999,20.79,83.79,51.0,97.98,69.52,0.0,50.58,125.25999999999999,166.26000000000002,108.41999999999999,116.1,27.3,55.62846153846154,1240.590414201183
33.3,29.1,38.7,36.3,86.1,20.7,83.7,51.0,98.4,69.6,0.0,50.4,124.8,166.8,108.6,117.0,27.0,55.54615384615385,1236.9905325443783
33.089999999999996,29.130000000000003,38.31,36.39,85.83,20.61,83.61,51.0,98.82000000000001,69.67999999999999,0.0,50.22,124.34,167.34,108.78,117.9,26.7,55.463846153846156,1233.3906508875737
32.879999999999995,29.16,37.92,36.48,85.56,20.52,83.52,51.0,99.24000000000001,69.75999999999999,0.0,50.04,123.88,167.88,108.96,118.8,26.4,55.38153846153847,1229.790769230769
32.669999999999995,29.19,37.53,36.57,85.28999999999999,20.43,83.43,51.0,99.66,69.84,0.0,49.86,123.42,168.42000000000002,109.14,119.7,26.1,55.299230769230775,1226.1908875739641
32.46,29.22,37.14,36.66,85.02,20.34,83.34,51.0,100.08,69.92,0.0,49.68,122.96,168.96,109.32,120.6,25.8,55.21692307692308,1222.5910059171595
32.25,29.25,36.75,36.75,84.75,20.25,83.25,51.0,100.5,70.0,0.0,49.5,122.5,169.5,109.5,121.5,25.5,55.13461538461539,1218.9911242603548
32.04,29.28,36.36,36.84,84.48,20.16,83.16,51.0,100.92,70.08,0.0,49.32,122.04,170.04,109.68,122.4,25.2,55.0523076923077,1215.3912426035502
31.83,29.31,35.97,36.93,84.21000000000001,20.07,83.07,51.0,101.34,70.16,0.0,49.14,121.58,170.57999999999998,109.86,123.3,24.9,54.970000000000006,1211.7913609467455
31.619999999999997,29.34,35.58,37.02,83.94,19.98,82.98,51.0,101.75999999999999,70.24000000000001,0.0,48.96,121.12,171.12,110.04,124.2,24.6,54.88769230769231,1208.1914792899406
31.41,29.369999999999997,35.19,37.11,83.67,19.89,82.89,51.0,102.17999999999999,70.32000000000001,0.0,48.78,120.66,171.66,110.22,125.1,24.3,54.805384615384625,1204.591597633136
31.2,29.4,34.8,37.2,83.4,19.8,82.8,51.0,102.6,70.4,0.0,48.6,120.2,172.2,110.4,126.0,24.0,54.72307692307693,1200.9917159763313
30.99,29.43,34.41,37.290000000000006,83.13000000000001,19.71,82.71,51.0,103.02,70.48,0.0,48.42,119.74000000000001,172.73999999999998,110.58000000000001,126.9,23.7,54.64076923076924,1197.3918343195267
30.78,29.459999999999997,34.019999999999996,37.38,82.86,19.62,82.62,51.0,103.44,70.56,0.0,48.24,119.28,173.28,110.76,127.8,23.4,54.55846153846154,1193.7919526627218
30.57,29.49,33.629999999999995,37.47,82.59,19.53,82.53,51.0,103.86,70.64,0.0,48.06,118.82,173.82,110.94,128.7,23.1,54.476153846153856,1190.1920710059171
30.36,29.52,33.239999999999995,37.56,82.32000000000001,19.44,82.44,51.0,104.28,70.72,0.0,47.88,118.36,174.35999999999999,111.12,129.6,22.8,54.39384615384616,1186.5921893491122
30.15,29.549999999999997,32.849999999999994,37.650000000000006,82.05000000000001,19.35,82.35,51.0,104.69999999999999,70.80000000000001,0.0,47.7,117.9,174.89999999999998,111.30000000000001,130.5,22.5,54.31153846153847,1182.9923076923076
29.94,29.58,32.46,37.74,81.78,19.259999999999998,82.26,51.0,105.11999999999999,70.88000000000001,0.0,47.519999999999996,117.44,175.44,111.48,131.4,22.2,54.229230769230774,1179.392426035503
29.73,29.61,32.07,37.83,81.51,19.169999999999998,82.17,51.0,105.53999999999999,70.96000000000001,0.0,47.339999999999996,116.97999999999999,175.98,111.66,132.3,21.9,54.14692307692308,1175.792544378698
29.52,29.64,31.68,37.92,81.24000000000001,19.08,82.08,51.0,105.96,71.04,0.0,47.16,116.52,176.51999999999998,111.84,133.2,21.6,54.064615384615394,1172.1926627218934
29.310000000000002,29.669999999999998,31.29,38.010000000000005,80.97,18.99,81.99000000000001,51.0,106.38,71.12,0.0,46.98,116.06,177.06,112.02000000000001,134.1,21.3,53.9823076923077,1168.5927810650885
29.1,29.7,30.9,38.1,80.7,18.9,81.9,51.0,106.8,71.2,0.0,46.8,115.6,177.6,112.2,135.0,21.0,53.900000000000006,1164.9928994082838
28.89,29.73,30.509999999999998,38.19,80.43,18.81,81.81,51.0,107.22,71.28,0.0,46.62,115.14,178.14,112.38,135.9,20.7,53.81769230769231,1161.3930177514792
28.68,29.759999999999998,30.119999999999997,38.28,80.16,18.72,81.72,51.0,107.64,71.36,0.0,46.44,114.67999999999999,178.68,112.56,136.8,20.4,53.73538461538462,1157.7931360946743
28.470000000000002,29.79,29.73,38.370000000000005,79.89,18.63,81.63000000000001,51.0,108.06,71.44,0.0,46.26,114.22,179.22,112.74000000000001,137.7,20.1,53.65307692307693,1154.1932544378697
28.26,29.82,29.34,38.46,79.62,18.54,81.54,51.0,108.48,71.52,0.0,46.08,113.75999999999999,179.76,112.92,138.6,19.8,53.57076923076924,1150.593372781065
28.05,29.85,28.95,38.55,79.35,18.45,81.45,51.0,108.9,71.6,0.0,45.9,113.3,180.3,113.1,139.5,19.5,53.48846153846154,1146.9934911242603
27.84,29.88,28.56,38.64,79.08,18.36,81.36,51.0,109.32,71.68,0.0,45.72,112.84,180.84,113.28,140.4,19.2,53.40615384615385,1143.3936094674555
27.63,29.91,28.169999999999998,38.730000000000004,78.81,18.27,81.27,51.0,109.74,71.76,0.0,45.54,112.38,181.38,113.46000000000001,141.3,18.9,53.323846153846155,1139.7937278106508
