S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
12.6,48.6,35.4,5.4,14.4,5.4,21.6,30.0,9.6,9.0,14.4,0.0,2.4,0.0,52.2,0.0,3.6,16.06153846153846,299.3254437869823
12.69,47.79,35.31,5.3100000000000005,14.31,5.3100000000000005,21.69,30.0,9.44,8.85,14.31,0.0,2.36,0.0,52.38,0.0,3.69,15.951538461538462,296.71005917159766
12.78,46.980000000000004,35.22,5.220000000000001,14.22,5.220000000000001,21.78,30.0,9.28,8.7,14.22,0.0,2.32,0.0,52.56,0.0,3.7800000000000002,15.84153846153846,294.0946745562131
12.87,46.17,35.129999999999995,5.13,14.13,5.13,21.87,30.0,9.12,8.55,14.13,0.0,2.28,0.0,52.74,0.0,3.87,15.731538461538461,291.4792899408285
12.959999999999999,45.36,35.04,5.04,14.040000000000001,5.04,21.96,30.0,8.959999999999999,8.4,14.040000000000001,0.0,2.2399999999999998,0.0,52.92,0.0,3.96,15.62153846153846,288.86390532544385
13.05,44.55,34.95,4.95,13.95,4.95,22.05,30.0,8.8,8.25,13.95,0.0,2.2,0.0,53.1,0.0,4.05,15.51153846153846,286.2485207100592
13.14,43.74,34.86,4.86,13.86,4.86,22.14,30.0,8.64,8.1,13.86,0.0,2.16,0.0,53.28,0.0,4.140000000000001,15.401538461538461,283.6331360946746
13.23,42.93,34.769999999999996,4.7700000000000005,13.77,4.7700000000000005,22.23,30.0,8.48,7.95,13.77,0.0,2.12,0.0,53.46,0.0,4.23,15.29153846153846,281.01775147929004
13.32,42.12,34.68,4.68,13.68,4.68,22.32,30.0,8.32,7.8,13.68,0.0,2.08,0.0,53.64,0.0,4.32,15.18153846153846,278.4023668639054
13.41,41.31,34.59,4.59,13.59,4.59,22.41,30.0,8.16,7.65,13.59,0.0,2.04,0.0,53.82,0.0,4.41,15.07153846153846,275.78698224852076
13.5,40.5,34.5,4.5,13.5,4.5,22.5,30.0,8.0,7.5,13.5,0.0,2.0,0.0,54.0,0.0,4.5,14.96153846153846,273.1715976331362
13.59,39.69,34.41,4.41,13.41,4.41,22.59,30.0,7.84,7.35,13.41,0.0,1.96,0.0,54.18,0.0,4.59,14.85153846153846,270.55621301775153
13.68,38.88,34.32,4.32,13.32,4.32,22.68,30.0,7.68,7.2,13.32,0.0,1.92,0.0,54.36,0.0,4.68,14.74153846153846,267.94082840236695
13.77,38.07,34.230000000000004,4.23,13.23,4.23,22.77,30.0,7.52,7.05,13.23,0.0,1.88,0.0,54.54,0.0,4.7700000000000005,14.63153846153846,265.3254437869823
13.86,37.260000000000005,34.14,4.14,13.14,4.14,22.86,30.0,7.359999999999999,6.9,13.14,0.0,1.8399999999999999,0.0,54.72,0.0,4.86,14.52153846153846,262.7100591715977
13.95,36.45,34.05,4.05,13.05,4.05,22.95,30.0,7.199999999999999,6.75,13.05,0.0,1.7999999999999998,0.0,54.9,0.0,4.95,14.41153846153846,260.0946745562131
14.040000000000001,35.64,33.96,3.96,12.959999999999999,3.96,23.04,30.0,7.039999999999999,6.6,12.959999999999999,0.0,1.7599999999999998,0.0,55.08,0.0,5.04,14.30153846153846,257.4792899408285
