S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
93.0,74.4,103.8,27.0,0.0,17.4,81.0,50.4,118.0,54.0,0.0,99.4,93.6,43.2,93.6,48.0,115.8,62.46153846153846,1723.614201183432
93.3,74.46000000000001,103.32,26.7,0.0,17.61,81.0,50.36,118.7,53.85,0.0,99.11,93.69,43.080000000000005,93.69,47.7,115.47,62.46923076923077,1728.9320710059171
93.6,74.52000000000001,102.84,26.4,0.0,17.82,81.0,50.32,119.4,53.7,0.0,98.82000000000001,93.78,42.96,93.78,47.4,115.14,62.47692307692307,1734.2499408284025
93.9,74.58,102.36,26.1,0.0,18.029999999999998,81.0,50.28,120.1,53.55,0.0,98.53,93.86999999999999,42.84,93.86999999999999,47.1,114.81,62.48461538461538,1739.5678106508876
94.2,74.64,101.88,25.8,0.0,18.24,81.0,50.24,120.8,53.4,0.0,98.24000000000001,93.96,42.72,93.96,46.8,114.48,62.49230769230769,1744.8856804733728
94.5,74.7,101.4,25.5,0.0,18.45,81.0,50.2,121.5,53.25,0.0,97.95,94.05,42.6,94.05,46.5,114.15,62.5,1750.203550295858
94.8,74.76,100.92,25.2,0.0,18.66,81.0,50.16,122.2,53.1,0.0,97.66,94.14,42.480000000000004,94.14,46.2,113.82,62.5076923076923,1755.5214201183433
95.1,74.82000000000001,100.44,24.9,0.0,18.87,81.0,50.12,122.9,52.95,0.0,97.37,94.23,42.36,94.23,45.9,113.49,62.51538461538461,1760.8392899408284
95.4,74.88,99.96,24.6,0.0,19.08,81.0,50.08,123.6,52.8,0.0,97.08,94.32,42.24,94.32,45.6,113.16,62.52307692307692,1766.1571597633135
95.7,74.94,99.48,24.3,0.0,19.29,81.0,50.04,124.3,52.65,0.0,96.79,94.41,42.12,94.41,45.3,112.83,62.530769230769224,1771.475029585799
96.0,75.0,99.0,24.0,0.0,19.5,81.0,50.0,125.0,52.5,0.0,96.5,94.5,42.0,94.5,45.0,112.5,62.53846153846153,1776.792899408284
96.3,75.06,98.52,23.7,0.0,19.71,81.0,49.96,125.7,52.35,0.0,96.21,94.59,41.88,94.59,44.7,112.17,62.54615384615384,1782.1107692307692
96.6,75.12,98.04,23.4,0.0,19.92,81.0,49.92,126.4,52.2,0.0,95.92,94.68,41.76,94.68,44.4,111.84,62.55384615384615,1787.4286390532545
96.9,75.17999999999999,97.56,23.1,0.0,20.13,81.0,49.88,127.1,52.05,0.0,95.63,94.77,41.64,94.77,44.1,111.51,62.561538461538454,1792.7465088757397
97.2,75.24,97.08,22.8,0.0,20.34,81.0,49.84,127.8,51.9,0.0,95.34,94.86,41.519999999999996,94.86,43.8,111.18,62.569230769230764,1798.0643786982248
