S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
0.0,0.0,24.0,0.0,0.0,7.2,0.0,2.4,0.0,7.0,0.0,0.0,1.6,0.0,67.8,0.0,63.6,3.246153846153846,108.09467455621304
0.0,0.0,24.6,0.0,0.0,7.38,0.0,2.36,0.0,6.95,0.0,0.0,1.6400000000000001,0.0,67.47,0.0,63.39,3.3023076923076924,110.6355029585799
0.0,0.0,25.2,0.0,0.0,7.5600000000000005,0.0,2.32,0.0,6.9,0.0,0.0,1.6800000000000002,0.0,67.14,0.0,63.18,3.3584615384615386,113.17633136094676
0.0,0.0,25.8,0.0,0.0,7.74,0.0,2.28,0.0,6.85,0.0,0.0,1.72,0.0,66.81,0.0,62.97,3.414615384615385,115.71715976331362
0.0,0.0,26.4,0.0,0.0,7.92,0.0,2.2399999999999998,0.0,6.8,0.0,0.0,1.76,0.0,66.48,0.0,62.76,3.470769230769231,118.25798816568049
0.0,0.0,27.0,0.0,0.0,8.1,0.0,2.2,0.0,6.75,0.0,0.0,1.8,0.0,66.15,0.0,62.55,3.526923076923077,120.79881656804736
0.0,0.0,27.6,0.0,0.0,8.280000000000001,0.0,2.16,0.0,6.7,0.0,0.0,1.84,0.0,65.82,0.0,62.34,3.5830769230769235,123.33964497041421
0.0,0.0,28.2,0.0,0.0,8.46,0.0,2.12,0.0,6.65,0.0,0.0,1.8800000000000001,0.0,65.49,0.0,62.13,3.6392307692307693,125.88047337278107
0.0,0.0,28.8,0.0,0.0,8.64,0.0,2.08,0.0,6.6,0.0,0.0,1.92,0.0,65.16,0.0,61.92,3.6953846153846155,128.42130177514792
0.0,0.0,29.4,0.0,0.0,8.82,0.0,2.04,0.0,6.55,0.0,0.0,1.96,0.0,64.83,0.0,61.71,3.7515384615384617,130.9621301775148
0.0,0.0,30.0,0.0,0.0,9.0,0.0,2.0,0.0,6.5,0.0,0.0,2.0,0.0,64.5,0.0,61.5,3.807692307692308,133.50295857988166
0.0,0.0,30.6,0.0,0.0,9.18,0.0,1.96,0.0,6.45,0.0,0.0,2.04,0.0,64.17,0.0,61.29,3.863846153846154,136.04378698224852
0.0,0.0,31.2,0.0,0.0,9.36,0.0,1.92,0.0,6.4,0.0,0.0,2.08,0.0,63.84,0.0,61.08,3.9200000000000004,138.5846153846154
0.0,0.0,31.8,0.0,0.0,9.540000000000001,0.0,1.88,0.0,6.35,0.0,0.0,2.12,0.0,63.51,0.0,60.87,3.9761538461538466,141.12544378698226
0.0,0.0,32.4,0.0,0.0,9.72,0.0,1.8399999999999999,0.0,6.3,0.0,0.0,2.16,0.0,63.18,0.0,60.66,4.032307692307692,143.66627218934912
0.0,0.0,33.0,0.0,0.0,9.9,0.0,1.7999999999999998,0.0,6.25,0.0,0.0,2.2,0.0,62.85,0.0,60.45,4.088461538461539,146.20710059171597
0.0,0.0,33.6,0.0,0.0,10.08,0.0,1.7599999999999998,0.0,6.2,0.0,0.0,2.24,0.0,62.52,0.0,60.24,4.144615384615385,148.74792899408286
0.0,0.0,34.2,0.0,0.0,10.26,0.0,1.7199999999999998,0.0,6.15,0.0,0.0,2.2800000000000002,0.0,62.190000000000005,0.0,60.03,4.2007692307692315,151.2887573964497
