S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
51,51,9,39,0,51,0,9,9,9,30,36,0,63,9,0,0,21,24.4,464.24,45,27.75,18.33333333,0,21,,,,,,,,,,,,,,,,,,
84,42,39,30,0,9,9,30,4,9,0,33,9,27,9,0,0,21,22.26666667,462.8622222,57,22.5,14.44444444,0,21,,,,,,,,,,,,,,,,,,
21,21,18,9,186,63,9,78,21,15,0,21,57,9,33,9,0,0,37.4,2037.44,15,72,27,4.5,0,,,,,,,,,,,,,,,,,,
30,21,27,9,51,9,4,78,21,30,15,9,18,42,33,9,0,0,26.46666667,349.9822222,19.5,27,27.77777778,4.5,0,,,,,,,,,,,,,,,,,,
48,0,54,9,9,0,27,54,10,0,0,4,18,42,0,9,0,0,18.33333333,412.6222222,28.5,15.75,17.22222222,4.5,0,,,,,,,,,,,,,,,,,,
66,0,27,30,9,0,36,18,0,9,57,0,13,9,0,48,0,9,18.26666667,417.3955556,48,9,15.77777778,24,9,,0,0.00103125,0,0.000421875,0.00046875,0.000140625,0,0.0005625,0.00028125,0,0.000140625,0.000890625,0,0.000203125,0.000140625,0,
48,0,687,25851,18,21,27,18,0,27,66,9,27,9,0,39,0,9,1787.2,41389667.36,12949.5,181.5,20.33333333,19.5,9,,10,0.00075,0,0.010734375,0.403921875,0.00028125,0.000328125,0.000421875,0.00028125,0,0.000421875,0.00103125,0.000140625,0.000421875,0.000140625,0,
264,0,795,22268,195,9,9,0,0,27,9,18,45,30,0,0,0,0,1577.933333,30617312.46,11266,249.75,15.33333333,0,0,,20,0.004125,0,0.012421875,0.3479375,0.003046875,0.000140625,0.000140625,0,0,0.000421875,0.000140625,0.00028125,0.000703125,0.00046875,0,
1656,0,267,57660,1035,18,9,27,33,18,9,18,66,9,0,0,0,0,4055,205461497.6,29658,330,21,0,0,,30,0.025875,0,0.004171875,0.9009375,0.016171875,0.00028125,0.000140625,0.000421875,0.000515625,0.00028125,0.000140625,0.00028125,0.00103125,0.000140625,0,
1587,57,591,26144,18,21,18,27,33,9,4,18,9,0,0,9,0,0,1902.4,42139757.17,13865.5,171.75,13.11111111,4.5,0,,40,0.024796875,0.000890625,0.009234375,0.4085,0.00028125,0.000328125,0.00028125,0.000421875,0.000515625,0.000140625,0.0000625,0.00028125,0.000140625,0,0,
780,66,2145,37758,18,915,54,22,33,0,21,45,9,9,0,9,0,0,2791.666667,87654931.29,19269,786,21.44444444,4.5,0,,50,0.0121875,0.00103125,0.033515625,0.58996875,0.00028125,0.014296875,0.00084375,0.00034375,0.000515625,0,0.000328125,0.000703125,0.000140625,0.000140625,0,
