S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
51,18,18,0,18,0,0,55,19,9,0,0,45,27,9,0,0,9,17.93333333,336.7288889,25.5,13.5,18.22222222,0,9,,,,,,,,,,,,,,,,,,
39,87,0,0,18,9,27,30,0,9,9,0,22,18,0,0,0,0,17.86666667,487.0488889,19.5,28.5,12.77777778,0,0,,,,,,,,,,,,,,,,,,
18,96,51,21,18,39,27,69,0,9,18,0,0,0,0,0,0,0,24.4,759.44,19.5,51,13.66666667,0,0,,,,,,,,,,,,,,,,,,
0,96,165,0,18,30,9,69,9,9,18,0,9,30,0,0,0,0,30.8,1982.96,0,77.25,17,0,0,,,,,,,,,,,,,,,,,,
18,78,9,0,27,90,9,39,18,48,18,0,36,21,0,0,0,0,27.4,689.84,9,51,21,0,0,,,,,,,,,,,,,,,,,,
39,138,45,0,30,90,9,39,18,69,9,0,54,0,0,0,0,9,36,1455.6,19.5,75.75,22,0,9,,0,0.000709091,0.002509091,0.000818182,0,0.000545455,0.001636364,0.000163636,0.000709091,0.000327273,0.001254545,0.000163636,0,0.000981818,0,0,
9,0,54,33,2856,0,0,64,13,9,9,0,54,42,0,0,0,9,209.5333333,500757.7156,21,727.5,21.22222222,0,9,,10,0.000163636,0,0.000981818,0.0006,0.051927273,0,0,0.001163636,0.000236364,0.000163636,0.000163636,0,0.000981818,0.000763636,0,
72,57,27,0,16644,0,9,51,9,9,9,0,31,33,0,0,0,0,1130.066667,17192074.2,36,4182,16.77777778,0,0,,20,0.001309091,0.001036364,0.000490909,0,0.302618182,0,0.000163636,0.000927273,0.000163636,0.000163636,0.000163636,0,0.000563636,0.0006,0,
174,189,9,29433,741,0,27,9,9,9,9,0,18,0,0,0,0,9,2041.8,53625587.76,14803.5,234.75,9,0,9,,30,0.003163636,0.003436364,0.000163636,0.535145455,0.013472727,0,0.000490909,0.000163636,0.000163636,0.000163636,0.000163636,0,0.000327273,0,0,
3057,207,18,50280,801,9,0,18,9,9,9,0,0,21,0,0,0,0,3629.2,156036208.2,26668.5,258.75,7.333333333,0,0,,40,0.055581818,0.003763636,0.000327273,0.914181818,0.014563636,0.000163636,0,0.000327273,0.000163636,0.000163636,0.000163636,0,0,0.000381818,0,
