S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
18,0,0,9,9,18,18,117,9,0,4,15,27,9,27,36,0,0,18.66666667,763.8222222,13.5,6.75,25.11111111,18,0,,,,,,,,,,,,,,,,,,
18,42,0,9,9,36,0,177,19,9,18,9,27,18,9,18,9,0,26.66666667,1745.955556,13.5,21.75,31.77777778,13.5,0,,,,,,,,,,,,,,,,,,
0,51,0,0,0,30,0,240,0,9,18,52,22,96,33,27,0,0,36.73333333,3650.595556,0,20.25,52.22222222,13.5,0,,,,,,,,,,,,,,,,,,
96,30,0,0,18,21,0,144,0,0,18,96,18,120,33,0,0,30,39.6,2229.84,48,17.25,47.66666667,0,30,,,,,,,,,,,,,,,,,,
126,30,0,0,39,9,0,81,10,114,27,52,114,0,0,0,0,30,40.13333333,2020.248889,63,19.5,44.22222222,0,30,,0,0.003818182,0.000909091,0,0,0.001181818,0.000272727,0,0.002454545,0.00030303,0.003454545,0.000818182,0.001575758,0.003454545,0,0,0.001216162
30,30,69,0,1224,9,0,111,30,114,27,9,114,42,0,0,0,0,120.6,88562.64,15,333,49.66666667,0,0,,10,0.000909091,0.000909091,0.002090909,0,0.037090909,0.000272727,0,0.003363636,0.000909091,0.003454545,0.000818182,0.000272727,0.003454545,0.001272727,0,0.003654545
30,21,27,87,13620,0,4,111,30,66,13,15,0,120,0,0,0,0,942.9333333,11480638.46,58.5,3417,39.88888889,0,0,,20,0.000909091,0.000636364,0.000818182,0.002636364,0.412727273,0,0.000121212,0.003363636,0.000909091,0.002,0.000393939,0.000454545,0,0.003636364,0,0.028573737
48,21,0,513,3975,0,0,120,25,18,0,21,0,132,9,0,0,0,325.4666667,967393.7156,280.5,999,36.11111111,0,0,,30,0.001454545,0.000636364,0,0.015545455,0.120454545,0,0,0.003636364,0.000757576,0.000545455,0,0.000636364,0,0.004,0.000272727,0.009862626
36,21,18,17216,4989,9,0,147,0,9,0,10,0,27,9,9,0,0,1499.4,19172167.57,8626,1259.25,22.44444444,4.5,0,,40,0.001090909,0.000636364,0.000545455,0.52169697,0.151181818,0.000272727,0,0.004454545,0,0.000272727,0,0.00030303,0,0.000818182,0.000272727,0.045436364
69,42,18,33678,2697,11394,0,150,0,9,0,0,9,42,0,9,0,21,3207.2,74469601.76,16873.5,3537.75,23.33333333,4.5,21,,50,0.002090909,0.001272727,0.000545455,1.020545455,0.081727273,0.345272727,0,0.004545455,0,0.000272727,0,0,0.000272727,0.001272727,0,0.097187879
390,9,9,16824,5253,1122,72,333,4,96,9,208,18,0,0,18,0,21,1623.133333,18180178.52,8607,1598.25,82.22222222,9,21,,60,0.011818182,0.000272727,0.000272727,0.509818182,0.159181818,0.034,0.002181818,0.010090909,0.000121212,0.002909091,0.000272727,0.00630303,0.000545455,0,0,0.049185859
7086,9,39,14823,2214,12822,72,342,27,96,9,417,87,21,9,18,0,0,2538.2,22861138.16,10954.5,3771,120,9,0,,70,0.214727273,0.000272727,0.001181818,0.449181818,0.067090909,0.388545455,0.002181818,0.010363636,0.000818182,0.002909091,0.000272727,0.012636364,0.002636364,0.000636364,0.000272727,0.076915152
6441,21,270,5688,6798,13938,238,342,27,135,87,697,36,21,0,0,0,0,2315.933333,15641885.53,6064.5,5256.75,175.8888889,0,0,,80,0.195181818,0.000636364,0.008181818,0.172363636,0.206,0.422363636,0.007212121,0.010363636,0.000818182,0.004090909,0.002636364,0.021121212,0.001090909,0.000636364,0,0.070179798
930,30,579,6603,795,14838,666,378,112,297,195,978,36,9,0,9,0,0,1763.066667,14710395.8,3766.5,4060.5,296.7777778,4.5,0,,90,0.028181818,0.000909091,0.017545455,0.200090909,0.024090909,0.449636364,0.020181818,0.011454545,0.003393939,0.009,0.005909091,0.029636364,0.001090909,0.000272727,0,0.053426263
1254,30,588,2667,744,7182,1014,591,432,393,57,756,45,60,0,9,0,0,1054.2,3119706.96,1960.5,2136,372,4.5,0,,100,0.038,0.000909091,0.017818182,0.080818182,0.022545455,0.217636364,0.030727273,0.017909091,0.013090909,0.011909091,0.001727273,0.022909091,0.001363636,0.001818182,0,0.031945455
1512,21,501,2349,654,4206,813,588,432,438,300,534,225,153,0,9,0,0,848.4,1147411.44,1930.5,1345.5,387,4.5,0,,110,0.045818182,0.000636364,0.015181818,0.071181818,0.019818182,0.127454545,0.024636364,0.017818182,0.013090909,0.013272727,0.009090909,0.016181818,0.006818182,0.004636364,0,0.025709091
1341,9,681,1251,363,1518,672,498,396,345,480,373,225,180,0,9,0,0,555.4666667,204203.4489,1296,642.75,352.1111111,4.5,0,,120,0.040636364,0.000272727,0.020636364,0.037909091,0.011,0.046,0.020363636,0.015090909,0.012,0.010454545,0.014545455,0.01130303,0.006818182,0.005454545,0,0.016832323
930,237,516,855,777,1518,672,573,534,345,480,213,408,153,9,9,0,0,548,131444,892.5,762,376.3333333,4.5,0,,130,0.028181818,0.007181818,0.015636364,0.025909091,0.023545455,0.046,0.020363636,0.017363636,0.016181818,0.010454545,0.014545455,0.006454545,0.012363636,0.004636364,0.000272727,0.016606061
735,312,483,396,462,2898,684,573,534,339,430,268,576,366,9,9,0,0,604.3333333,405335.9556,565.5,1038.75,419.8888889,4.5,0,,140,0.022272727,0.009454545,0.014636364,0.012,0.014,0.087818182,0.020727273,0.017363636,0.016181818,0.010272727,0.013030303,0.008121212,0.017454545,0.011090909,0.000272727,0.018313131
789,456,303,102,423,1590,483,568,627,306,210,324,576,525,0,0,0,0,485.4666667,126912.3822,445.5,693,402.1111111,0,0,,150,0.023909091,0.013818182,0.009181818,0.003090909,0.012818182,0.048181818,0.014636364,0.017212121,0.019,0.009272727,0.006363636,0.009818182,0.017454545,0.015909091,0,0.014711111
525,681,297,288,330,870,339,549,579,480,216,300,487,600,0,0,0,0,436.0666667,42654.32889,406.5,544.5,394.4444444,0,0,,160,0.015909091,0.020636364,0.009,0.008727273,0.01,0.026363636,0.010272727,0.016636364,0.017545455,0.014545455,0.006545455,0.009090909,0.014757576,0.018181818,0,0.013214141
378,597,462,441,159,1014,375,276,579,507,318,276,408,705,0,18,0,0,433,53216,409.5,558,382.6666667,9,0,,170,0.011454545,0.018090909,0.014,0.013363636,0.004818182,0.030727273,0.011363636,0.008363636,0.017545455,0.015363636,0.009636364,0.008363636,0.012363636,0.021363636,0,0.013121212
390,513,324,390,360,573,477,234,579,645,294,211,393,681,0,18,33,0,404.2666667,30767.92889,390,442.5,390.4444444,25.5,0,,180,0.011818182,0.015545455,0.009818182,0.011818182,0.010909091,0.017363636,0.014454545,0.007090909,0.017545455,0.019545455,0.008909091,0.006393939,0.011909091,0.020636364,0,0.012250505
483,597,267,168,387,477,477,414,432,645,294,147,381,330,0,0,33,0,366.6,27617.04,325.5,432,346.6666667,16.5,0,,190,0.014636364,0.018090909,0.008090909,0.005090909,0.011727273,0.014454545,0.014454545,0.012545455,0.013090909,0.019545455,0.008909091,0.004454545,0.011545455,0.01,0,0.011109091
627,510,234,165,273,558,454,414,432,586,244,217,312,447,0,0,9,21,364.8666667,29033.18222,396,393.75,345.1111111,4.5,21,,200,0.019,0.015454545,0.007090909,0.005,0.008272727,0.016909091,0.013757576,0.012545455,0.013090909,0.017757576,0.007393939,0.006575758,0.009454545,0.013545455,0,0.011056566
369,609,231,75,285,462,480,450,364,246,261,288,312,216,0,0,9,39,309.8666667,22760.91556,222,396.75,290.7777778,4.5,39,,210,0.011181818,0.018454545,0.007,0.002272727,0.008636364,0.014,0.014545455,0.013636364,0.011030303,0.007454545,0.007909091,0.008727273,0.009454545,0.006545455,0,0.009389899
357,216,225,156,210,321,300,339,336,306,435,189,331,330,0,0,0,18,270.0666667,10468.46222,256.5,243,285.1111111,0,18,,220,0.010818182,0.006545455,0.006818182,0.004727273,0.006363636,0.009727273,0.009090909,0.010272727,0.010181818,0.009272727,0.013181818,0.005727273,0.010030303,0.01,0,0.008183838
552,207,312,261,204,429,135,363,336,231,228,90,345,456,0,0,0,0,276.6,19623.84,406.5,288,242.6666667,0,0,,230,0.016727273,0.006272727,0.009454545,0.007909091,0.006181818,0.013,0.004090909,0.011,0.010181818,0.007,0.006909091,0.002727273,0.010454545,0.013818182,0,0.008381818
444,204,273,150,225,288,180,267,234,318,165,240,366,315,0,0,0,0,244.6,9965.84,297,247.5,231.6666667,0,0,,240,0.013454545,0.006181818,0.008272727,0.004545455,0.006818182,0.008727273,0.005454545,0.008090909,0.007090909,0.009636364,0.005,0.007272727,0.011090909,0.009545455,0,0.007412121
237,150,246,75,141,231,180,273,150,318,165,390,213,177,0,0,0,0,196.4,8402.24,156,192,207.3333333,0,0,,250,0.007181818,0.004545455,0.007454545,0.002272727,0.004272727,0.007,0.005454545,0.008272727,0.004545455,0.009636364,0.005,0.011818182,0.006454545,0.005363636,0,0.005951515
