S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,Time,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
39,0,0,0,9,9,0,87,0,45,0,4,9,75,0,0,0,0,18.46666667,792.2488889,19.5,4.5,24.44444444,0,0,,,,,,,,,,,,,,,,,
9,0,0,93,0,0,72,48,0,45,0,0,9,45,0,9,0,30,21.4,898.64,51,0,24.33333333,4.5,30,,,,,,,,,,,,,,,,,
9,78,0,0,18,0,72,153,0,33,0,0,27,0,0,9,0,30,26,1784,4.5,24,31.66666667,4.5,30,,,,,,,,,,,,,,,,,
9,90,36,0,9,0,72,69,0,33,0,0,18,27,0,0,0,0,24.2,857.36,4.5,33.75,24.33333333,0,0,,,,,,,,,,,,,,,,,
0,30,36,0,0,78,40,69,0,33,0,0,0,9,0,0,0,21,19.66666667,667.2888889,0,36,16.77777778,0,21,,,,,,,,,,,,,,,,,
0,9,48,0,9,30,9,81,4,0,9,0,0,0,9,0,0,0,13.86666667,486.7822222,0,24,12.44444444,0,0,0,0,0.00018,0.00096,0,0.00018,0.0006,0.00018,0.00162,0.00008,0,0.00018,0,0,0,0.00018,0.000277333
1374,0,48,81,18,9,18,30,30,0,18,0,0,9,9,0,0,9,109.6,114638.24,727.5,18.75,12.66666667,0,9,10,0.02748,0,0.00096,0.00162,0.00036,0.00018,0.00036,0.0006,0.0006,0,0.00036,0,0,0.00018,0.00018,0.002192
4767,0,9,49782,9,33,0,48,30,0,9,0,9,18,0,30,9,0,3647.6,153426797.8,27274.5,12.75,12.66666667,19.5,0,20,0.09534,0,0.00018,0.99564,0.00018,0.00066,0,0.00096,0.0006,0,0.00018,0,0.00018,0.00036,0,0.072952
5388,0,0,34481,9,42,9,78,15,0,0,0,9,9,0,30,0,9,2669.333333,74073213.02,19934.5,12.75,13.33333333,15,9,30,0.10776,0,0,0.68962,0.00018,0.00084,0.00018,0.00156,0.0003,0,0,0,0.00018,0.00018,0,0.053386667
4494,81,24393,24281,45,0,9,48,0,0,0,0,0,9,0,0,0,9,3557.333333,67664879.42,14387.5,6129.75,7.333333333,0,9,40,0.08988,0.00162,0.48786,0.48562,0.0009,0,0.00018,0.00096,0,0,0,0,0,0.00018,0,0.071146667
5295,81,5142,20684,291,3228,22,48,0,0,0,13,9,19,0,0,0,21,2322.133333,27462341.45,12989.5,2185.5,12.33333333,0,21,50,0.1059,0.00162,0.10284,0.41368,0.00582,0.06456,0.00044,0.00096,0,0,0,0.00026,0.00018,0.00038,0,0.046442667
13623,0,420,14645,495,10002,195,220,10,0,0,27,9,39,0,0,0,0,2645.666667,26374610.49,14134,2729.25,55.55555556,0,0,60,0.27246,0,0.0084,0.2929,0.0099,0.20004,0.0039,0.0044,0.0002,0,0,0.00054,0.00018,0.00078,0,0.052913333
20967,9,126,21558,1236,2622,498,288,30,51,51,54,9,18,0,0,0,0,3167.8,50839800.56,21262.5,998.25,111,0,0,70,0.41934,0.00018,0.00252,0.43116,0.02472,0.05244,0.00996,0.00576,0.0006,0.00102,0.00102,0.00108,0.00018,0.00036,0,0.063356
7245,9,186,6030,3390,7422,636,486,30,57,72,81,18,0,0,18,0,0,1710.8,7481209.76,6637.5,2751.75,153.3333333,9,0,80,0.1449,0.00018,0.00372,0.1206,0.0678,0.14844,0.01272,0.00972,0.0006,0.00114,0.00144,0.00162,0.00036,0,0,0.034216
4191,9,255,4476,618,13278,639,591,79,207,93,123,9,9,0,36,0,0,1638.466667,11660893.85,4333.5,3540,194.4444444,18,0,90,0.08382,0.00018,0.0051,0.08952,0.01236,0.26556,0.01278,0.01182,0.00158,0.00414,0.00186,0.00246,0.00018,0.00018,0,0.032769333
2688,63,495,1602,228,7590,639,852,240,207,93,165,63,30,0,96,0,0,997,3604407.2,2145,2094,254.3333333,48,0,100,0.05376,0.00126,0.0099,0.03204,0.00456,0.1518,0.01278,0.01704,0.0048,0.00414,0.00186,0.0033,0.00126,0.0006,0,0.01994
1707,153,621,780,543,4194,1063,852,240,204,130,169,147,30,0,78,0,0,722.2,1067683.36,1243.5,1377.75,315,39,0,110,0.03414,0.00306,0.01242,0.0156,0.01086,0.08388,0.02126,0.01704,0.0048,0.00408,0.0026,0.00338,0.00294,0.0006,0,0.014444
1788,387,495,780,753,1194,876,942,375,288,126,174,147,51,0,0,0,0,558.4,230953.04,1284,707.25,331,0,0,120,0.03576,0.00774,0.0099,0.0156,0.01506,0.02388,0.01752,0.01884,0.0075,0.00576,0.00252,0.00348,0.00294,0.00102,0,0.011168
1113,390,618,348,735,1086,1146,780,390,357,231,208,300,162,0,0,0,0,524.2666667,126987.9289,730.5,707.25,397.1111111,0,0,130,0.02226,0.0078,0.01236,0.00696,0.0147,0.02172,0.02292,0.0156,0.0078,0.00714,0.00462,0.00416,0.006,0.00324,0,0.010485333
507,702,735,393,732,1134,1029,738,390,468,312,243,774,294,0,51,0,0,563.4,88101.84,450,825.75,472,25.5,0,140,0.01014,0.01404,0.0147,0.00786,0.01464,0.02268,0.02058,0.01476,0.0078,0.00936,0.00624,0.00486,0.01548,0.00588,0,0.011268
771,966,576,426,378,1029,639,810,504,585,216,274,591,204,0,51,0,9,531.2666667,78813.39556,598.5,737.25,424.7777778,25.5,9,150,0.01542,0.01932,0.01152,0.00852,0.00756,0.02058,0.01278,0.0162,0.01008,0.0117,0.00432,0.00548,0.01182,0.00408,0,0.010625333
798,870,543,264,390,882,639,480,387,574,216,306,681,480,0,0,9,9,500.6666667,58712.35556,531,671.25,418.1111111,4.5,9,160,0.01596,0.0174,0.01086,0.00528,0.0078,0.01764,0.01278,0.0096,0.00774,0.01148,0.00432,0.00612,0.01362,0.0096,0,0.010013333
681,834,408,279,408,714,516,480,387,563,358,309,660,525,0,0,9,0,474.8,39774.69333,480,591,422,4.5,0,170,0.01362,0.01668,0.00816,0.00558,0.00816,0.01428,0.01032,0.0096,0.00774,0.01126,0.00716,0.00618,0.0132,0.0105,0,0.009496
660,642,327,336,450,774,459,478,355,681,585,312,660,654,0,0,0,0,491.5333333,38461.71556,498,548.25,464.8888889,0,0,180,0.0132,0.01284,0.00654,0.00672,0.009,0.01548,0.00918,0.00956,0.0071,0.01362,0.0117,0.00624,0.0132,0.01308,0,0.009830667
510,498,327,255,525,465,525,741,333,423,504,262,583,621,0,0,0,0,438.1333333,30347.31556,382.5,453.75,443.5555556,0,0,190,0.0102,0.00996,0.00654,0.0051,0.0105,0.0093,0.0105,0.01482,0.00666,0.00846,0.01008,0.00524,0.01166,0.01242,0,0.008762667
