S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,Time,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,
81,57,90,51,36,93,99,39,136,99,111,54,129,117,27,27,75,82.69230769,1004.52071,66,69,95.28571429,72,51,,,0.001928571,0.001357143,0.002142857,0.001214286,0.000857143,0.002214286,0.002357143,0.000928571,0.003238095,0.002357143,0.002642857,0.001285714,0.003071429,0.002785714,
42,51,48,39,201,84,135,72,48,99,84,72,73,114,27,75,39,80.61538462,1865.005917,40.5,96,83.28571429,94.5,33,,,0.001,0.001214286,0.001142857,0.000928571,0.004785714,0.002,0.003214286,0.001714286,0.001142857,0.002357143,0.002,0.001714286,0.001738095,0.002714286,
81,51,9,9,36,84,90,72,48,76,51,102,114,60,84,96,18,63.30769231,995.2899408,45,45,79,78,51,,,0.001928571,0.001214286,0.000214286,0.000214286,0.000857143,0.002,0.002142857,0.001714286,0.001142857,0.001809524,0.001214286,0.002428571,0.002714286,0.001428571,
39,30,27,39,54,135,63,81,66,150,18,102,114,30,114,60,39,70.61538462,1699.775148,39,61.5,84.85714286,45,76.5,,,0.000928571,0.000714286,0.000642857,0.000928571,0.001285714,0.003214286,0.0015,0.001928571,0.001571429,0.003571429,0.000428571,0.002428571,0.002714286,0.000714286,
48,33,93,9,18,123,63,102,114,150,33,105,120,78,48,63,120,77.76923077,1948.792899,28.5,66.75,98.14285714,70.5,84,,,0.001142857,0.000785714,0.002214286,0.000214286,0.000428571,0.002928571,0.0015,0.002428571,0.002714286,0.003571429,0.000785714,0.0025,0.002857143,0.001857143,
18,174,114,42,36,27,58,102,114,79,48,63,54,240,48,75,90,71.46153846,1783.940828,30,87.75,74,157.5,69,,0,0.000428571,0.004142857,0.002714286,0.001,0.000857143,0.000642857,0.001380952,0.002428571,0.002714286,0.001880952,0.001142857,0.0015,0.001285714,0.005714286,
12863,18,114,87,1200,117,45,75,105,78,42,63,54,297,30,72,48,1143.153846,11536641.98,6475,362.25,66,184.5,39,,10,0.306261905,0.000428571,0.002714286,0.002071429,0.028571429,0.002785714,0.001071429,0.001785714,0.0025,0.001857143,0.001,0.0015,0.001285714,0.007071429,
43380,9,177,237,129,81,108,18,87,78,36,63,40,81,39,36,57,3418.692308,133079288.1,21808.5,99,61.42857143,58.5,48,,20,1.032857143,0.000214286,0.004214286,0.005642857,0.003071429,0.001928571,0.002571429,0.000428571,0.002071429,0.001857143,0.000857143,0.0015,0.000952381,0.001928571,
5784,39,159,234,630,171,135,18,87,67,36,45,18,96,48,66,39,571,2289082.615,3009,249.75,58,81,43.5,,30,0.137714286,0.000928571,0.003785714,0.005571429,0.015,0.004071429,0.003214286,0.000428571,0.002071429,0.001595238,0.000857143,0.001071429,0.000428571,0.002285714,
3213,147,48,285,90,525,228,169,76,60,36,45,18,126,18,78,132,380,686815.2308,1749,202.5,90.28571429,102,75,,40,0.0765,0.0035,0.001142857,0.006785714,0.002142857,0.0125,0.005428571,0.00402381,0.001809524,0.001428571,0.000857143,0.001071429,0.000428571,0.003,
42681,1254,60,2028,330,1413,228,474,120,60,27,81,105,114,132,93,135,3758.538462,126625319.8,22354.5,764.25,156.4285714,103.5,133.5,,50,1.016214286,0.029857143,0.001428571,0.048285714,0.007857143,0.033642857,0.005428571,0.011285714,0.002857143,0.001428571,0.000642857,0.001928571,0.0025,0.002714286,
35712,1890,477,1236,1872,69,1069,474,120,51,18,285,162,63,144,72,93,3341.153846,87734817.51,18474,1077,311.2857143,67.5,118.5,,60,0.850285714,0.045,0.011357143,0.029428571,0.044571429,0.001642857,0.025452381,0.011285714,0.002857143,0.001214286,0.000428571,0.006785714,0.003857143,0.0015,
5760,1782,690,1725,816,159,2151,1264,85,108,174,372,162,51,90,42,39,1172.923077,2234580.379,3742.5,861.75,616.5714286,46.5,64.5,,70,0.137142857,0.042428571,0.016428571,0.041071429,0.019428571,0.003785714,0.051214286,0.030095238,0.00202381,0.002571429,0.004142857,0.008857143,0.003857143,0.001214286,0.026018707
