S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,Time,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,
87,120,96,78,72,72,153,132,57,264,0,123,36,93,48,207,60,99.23076923,3833.254438,82.5,90,109.2857143,150,54,,,0.003,0.004137931,0.003310345,0.002689655,0.002482759,0.002482759,0.005275862,0.004551724,0.001965517,0.009103448,0,0.004241379,0.001241379,
99,168,183,60,90,30,117,109,64,264,0,123,36,111,102,48,42,103.3076923,4704.52071,79.5,117.75,101.8571429,79.5,72,,,0.003413793,0.005793103,0.006310345,0.002068966,0.003103448,0.001034483,0.004034483,0.003758621,0.002206897,0.009103448,0,0.004241379,0.001241379,
147,171,63,69,63,60,117,39,39,159,0,93,45,111,93,18,51,81.92307692,2506.686391,108,89.25,70.28571429,64.5,72,,,0.005068966,0.005896552,0.002172414,0.00237931,0.002172414,0.002068966,0.004034483,0.001344828,0.001344828,0.005482759,0,0.003206897,0.001551724,
78,198,75,39,27,72,150,39,39,93,0,63,36,72,75,60,48,69.92307692,2634.071006,58.5,93,60,66,61.5,,,0.002689655,0.006827586,0.002586207,0.001344828,0.000931034,0.002482759,0.005172414,0.001344828,0.001344828,0.003206897,0,0.002172414,0.001241379,
123,102,66,90,48,18,81,33,24,93,0,63,36,60,66,66,27,59.76923077,1255.100592,106.5,58.5,47.14285714,63,46.5,,,0.004241379,0.003517241,0.002275862,0.003103448,0.001655172,0.00062069,0.002793103,0.001137931,0.000827586,0.003206897,0,0.002172414,0.001241379,
93,27,36,75,27,108,204,210,18,76,0,9,54,60,18,96,78,72.07692308,4305.301775,84,49.5,81.57142857,78,48,,0,0.003206897,0.000931034,0.001241379,0.002586207,0.000931034,0.003724138,0.007034483,0.007241379,0.00062069,0.00262069,0,0.000310345,0.001862069,
29484,0,45,78,36,108,177,210,18,51,0,27,27,30,39,93,60,2327.769231,61458962.49,14781,47.25,72.85714286,61.5,49.5,,10,1.016689655,0,0.001551724,0.002689655,0.001241379,0.003724138,0.006103448,0.007241379,0.00062069,0.001758621,0,0.000931034,0.000931034,
16232,39,75,828,54,57,18,109,39,51,0,27,27,63,48,18,102,1350.461538,18498907.79,8530,56.25,38.71428571,40.5,75,,20,0.559724138,0.001344828,0.002586207,0.028551724,0.001862069,0.001965517,0.00062069,0.003758621,0.001344828,0.001758621,0,0.000931034,0.000931034,
8670,153,60,1731,45,78,18,9,39,99,0,55,36,63,51,9,57,845.6153846,5301582.852,5200.5,84,36.57142857,36,54,,30,0.298965517,0.005275862,0.002068966,0.059689655,0.001551724,0.002689655,0.00062069,0.000310345,0.001344828,0.003413793,0,0.001896552,0.001241379,
4611,219,276,723,57,48,147,9,39,129,0,102,27,84,51,30,102,491.3076923,1448210.982,2667,150,64.71428571,57,76.5,,40,0.159,0.007551724,0.009517241,0.024931034,0.001965517,0.001655172,0.005068966,0.000310345,0.001344828,0.004448276,0,0.003517241,0.000931034,
6444,252,393,735,204,168,762,343,33,129,0,45,27,48,51,75,72,733.4615385,2775259.633,3589.5,254.25,191.2857143,61.5,61.5,,50,0.222206897,0.008689655,0.013551724,0.025344828,0.007034483,0.005793103,0.026275862,0.011827586,0.001137931,0.004448276,0,0.001551724,0.000931034,
4491,810,114,1848,258,180,1203,897,0,106,0,45,31,84,51,66,81,767.9230769,1457854.533,3169.5,340.5,326,75,66,,60,0.154862069,0.027931034,0.003931034,0.063724138,0.008896552,0.006206897,0.041482759,0.030931034,0,0.003655172,0,0.001551724,0.001068966,
21984,1794,93,1194,489,51,1350,897,0,162,0,54,45,78,78,33,90,2162.538462,33081042.25,11589,606.75,358.2857143,55.5,84,,70,0.758068966,0.061862069,0.003206897,0.041172414,0.016862069,0.001758621,0.046551724,0.030931034,0,0.005586207,0,0.001862069,0.001551724,0.074570292
16851,3183,243,687,453,48,2268,2112,126,162,0,54,45,114,45,72,102,2017.846154,19349654.59,8769,981.75,681,93,73.5,,80,0.581068966,0.109758621,0.00837931,0.023689655,0.01562069,0.001655172,0.078206897,0.072827586,0.004344828,0.005586207,0,0.001862069,0.001551724,0.069580902
3549,3570,753,2109,1323,141,2268,4854,51,198,0,96,183,120,18,27,60,1468.846154,2528264.13,2829,1446.75,1092.857143,73.5,39,,90,0.12237931,0.123103448,0.025965517,0.072724138,0.04562069,0.004862069,0.078206897,0.16737931,0.001758621,0.006827586,0,0.003310345,0.006310345,0.050649867
2820,5253,942,2778,1818,150,3067,4854,51,159,0,198,243,102,18,27,60,1717.923077,3246634.225,2799,2040.75,1224.571429,64.5,39,,100,0.097241379,0.181137931,0.032482759,0.095793103,0.062689655,0.005172414,0.105758621,0.16737931,0.001758621,0.005482759,0,0.006827586,0.00837931,0.059238727
2937,3579,702,1848,2781,255,5178,4846,228,159,0,234,243,132,18,87,48,1768.461538,3305511.018,2392.5,1829.25,1555.428571,109.5,33,,110,0.101275862,0.123413793,0.024206897,0.063724138,0.095896552,0.008793103,0.178551724,0.167103448,0.007862069,0.005482759,0,0.008068966,0.00837931,0.060981432
2052,2694,552,1251,3432,426,3324,2919,441,456,0,276,333,96,0,156,30,1396.615385,1546170.391,1651.5,1776,1107,126,15,,120,0.070758621,0.092896552,0.019034483,0.043137931,0.118344828,0.014689655,0.11462069,0.100655172,0.015206897,0.015724138,0,0.009517241,0.011482759,0.048159151
1848,1674,783,1248,3339,846,1614,2919,441,1125,0,336,354,51,27,135,39,1271.307692,928121.7515,1548,1660.5,969.8571429,93,33,,130,0.063724138,0.057724138,0.027,0.043034483,0.115137931,0.029172414,0.055655172,0.100655172,0.015206897,0.038793103,0,0.011586207,0.012206897,0.043838196
1344,1374,642,876,3348,1137,2193,2395,369,1125,0,336,354,51,39,156,69,1191.769231,853601.2544,1110,1625.25,967.4285714,103.5,54,,140,0.046344828,0.04737931,0.022137931,0.030206897,0.115448276,0.039206897,0.07562069,0.082586207,0.012724138,0.038793103,0,0.011586207,0.012206897,0.041095491
1050,870,774,993,2427,1362,2193,1791,426,936,0,319,382,93,27,264,51,1040.230769,495772.6391,1021.5,1358.25,863.8571429,178.5,39,,150,0.036206897,0.03,0.026689655,0.034241379,0.083689655,0.046965517,0.07562069,0.061758621,0.014689655,0.032275862,0,0.011,0.013172414,0.035870027
873,1218,867,783,2634,1578,1777,1791,426,132,0,342,555,153,69,438,48,998.1538462,544286.5917,828,1574.25,717.5714286,295.5,58.5,,160,0.030103448,0.042,0.029896552,0.027,0.090827586,0.054413793,0.061275862,0.061758621,0.014689655,0.004551724,0,0.011793103,0.019137931,0.034419098
1005,1110,900,687,1458,870,1689,1749,408,132,0,417,555,105,126,486,63,844.6153846,285415.7751,846,1084.5,707.1428571,295.5,94.5,,170,0.034655172,0.038275862,0.031034483,0.023689655,0.050275862,0.03,0.058241379,0.060310345,0.014068966,0.004551724,0,0.01437931,0.019137931,0.029124668
843,942,597,771,1290,594,1395,1539,546,325,0,378,493,240,174,390,90,747.1538462,185608.7456,807,855.75,668,315,132,,180,0.029068966,0.032482759,0.020586207,0.026586207,0.044482759,0.020482759,0.048103448,0.053068966,0.018827586,0.011206897,0,0.013034483,0.017,0.025763926
1005,702,525,579,1302,594,798,1539,546,462,0,321,366,183,144,219,51,672.2307692,156999.4083,792,780.75,576,201,97.5,,190,0.034655172,0.024206897,0.018103448,0.019965517,0.044896552,0.020482759,0.027517241,0.053068966,0.018827586,0.015931034,0,0.011068966,0.01262069,0.023180371
963,738,1110,555,1239,549,801,1423,609,462,0,321,366,81,30,258,60,702.7692308,147385.5621,759,909,568.8571429,169.5,45,,200,0.033206897,0.025448276,0.038275862,0.019137931,0.042724138,0.018931034,0.02762069,0.049068966,0.021,0.015931034,0,0.011068966,0.01262069,0.024233422
909,726,384,486,963,645,801,1041,666,559,0,342,343,135,60,324,81,605,79846.92308,697.5,679.5,536,229.5,70.5,,210,0.031344828,0.025034483,0.013241379,0.016758621,0.033206897,0.022241379,0.02762069,0.035896552,0.022965517,0.019275862,0,0.011793103,0.011827586,0.020862069
747,861,327,306,714,630,810,1041,666,792,0,402,246,192,42,330,132,580.1538462,81830.13018,526.5,633,565.2857143,261,87,,220,0.025758621,0.029689655,0.011275862,0.010551724,0.02462069,0.021724138,0.027931034,0.035896552,0.022965517,0.027310345,0,0.013862069,0.008482759,0.020005305
570,522,234,378,837,513,573,975,477,792,0,492,246,297,30,429,174,508.3846154,64244.23669,474,526.5,507.8571429,363,102,,230,0.019655172,0.018,0.008068966,0.013034483,0.028862069,0.017689655,0.019758621,0.03362069,0.016448276,0.027310345,0,0.016965517,0.008482759,0.017530504
603,381,522,633,765,465,741,663,369,618,0,261,306,342,81,264,132,486.6923077,44044.8284,618,533.25,422.5714286,303,106.5,,240,0.020793103,0.013137931,0.018,0.021827586,0.02637931,0.016034483,0.025551724,0.022862069,0.012724138,0.021310345,0,0.009,0.010551724,0.016782493
432,156,540,495,861,486,669,663,369,459,0,177,402,297,129,279,87,439.1538462,49605.97633,463.5,510.75,391.2857143,288,108,,250,0.014896552,0.00537931,0.01862069,0.017068966,0.029689655,0.016758621,0.023068966,0.022862069,0.012724138,0.015827586,0,0.006103448,0.013862069,0.015143236
489,204,363,438,585,570,495,642,405,459,0,177,402,240,120,396,27,402.2307692,30233.71598,463.5,430.5,368.5714286,318,73.5,,260,0.016862069,0.007034483,0.012517241,0.015103448,0.020172414,0.019655172,0.017068966,0.022137931,0.013965517,0.015827586,0,0.006103448,0.013862069,0.013870027
363,270,423,342,408,690,495,675,414,513,0,282,391,213,54,300,30,405.0769231,29046.99408,352.5,447.75,395.7142857,256.5,42,,270,0.012517241,0.009310345,0.014586207,0.011793103,0.014068966,0.023793103,0.017068966,0.023275862,0.014275862,0.017689655,0,0.009724138,0.013482759,0.01396817
525,303,432,507,489,462,445,675,414,417,0,309,387,435,57,492,69,412.6923077,22597.13609,516,421.5,378.1428571,463.5,63,,280,0.018103448,0.010448276,0.014896552,0.017482759,0.016862069,0.015931034,0.015344828,0.023275862,0.014275862,0.01437931,0,0.010655172,0.013344828,0.014230769
504,252,240,426,279,378,279,607,490,417,0,282,387,405,66,360,81,349.3076923,21591.28994,465,287.25,351.7142857,382.5,73.5,,290,0.01737931,0.008689655,0.008275862,0.014689655,0.00962069,0.013034483,0.00962069,0.020931034,0.016896552,0.01437931,0,0.009724138,0.013344828,0.012045093
441,255,306,390,174,453,417,444,663,498,0,396,445,330,36,396,63,375.5384615,24675.94083,415.5,297,409,363,49.5,,300,0.015206897,0.008793103,0.010551724,0.013448276,0.006,0.01562069,0.01437931,0.015310345,0.022862069,0.017172414,0,0.013655172,0.015344828,0.012949602
207,138,246,321,402,393,459,444,663,297,0,348,357,369,57,159,63,328.8461538,24602.59172,264,294.75,366.8571429,264,60,,310,0.007137931,0.004758621,0.008482759,0.011068966,0.013862069,0.013551724,0.015827586,0.015310345,0.022862069,0.010241379,0,0.012,0.012310345,0.011339523
279,138,309,372,465,534,453,382,448,297,0,348,357,345,57,285,102,337.0769231,18742.99408,325.5,361.5,326.4285714,315,79.5,,320,0.00962069,0.004758621,0.010655172,0.012827586,0.016034483,0.018413793,0.01562069,0.013172414,0.015448276,0.010241379,0,0.012,0.012310345,0.011623342
432,225,381,291,234,414,453,279,456,379,0,310,288,333,21,147,90,318.6153846,14400.69822,361.5,313.5,309.2857143,240,55.5,,330,0.014896552,0.007758621,0.013137931,0.010034483,0.008068966,0.014275862,0.01562069,0.00962069,0.015724138,0.013068966,0,0.010689655,0.009931034,0.010986737
540,324,327,117,222,204,361,279,456,432,0,207,360,381,27,141,78,294.5384615,19652.09467,328.5,269.25,299.2857143,261,52.5,,340,0.01862069,0.011172414,0.011275862,0.004034483,0.007655172,0.007034483,0.012448276,0.00962069,0.015724138,0.014896552,0,0.007137931,0.012413793,0.010156499
507,177,285,126,288,255,270,237,397,432,0,195,360,300,159,321,78,271.4615385,16645.1716,316.5,251.25,270.1428571,310.5,118.5,,350,0.017482759,0.006103448,0.009827586,0.004344828,0.009931034,0.008793103,0.009310345,0.008172414,0.013689655,0.014896552,0,0.006724138,0.012413793,0.009360743
507,570,255,147,249,465,189,195,423,346,0,246,322,288,150,180,123,301.0769231,23460.3787,327,384.75,245.8571429,234,136.5,,360,0.017482759,0.019655172,0.008793103,0.005068966,0.008586207,0.016034483,0.006517241,0.006724138,0.014586207,0.011931034,0,0.008482759,0.011103448,0.010381963
420,216,279,267,174,534,756,195,423,330,0,180,213,333,39,180,132,306.6923077,33845.75148,343.5,300.75,299.5714286,256.5,85.5,,370,0.014482759,0.007448276,0.00962069,0.009206897,0.006,0.018413793,0.026068966,0.006724138,0.014586207,0.01137931,0,0.006206897,0.007344828,0.010575597
