S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,Time,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,
30,75,156,9,18,72,63,39,73,60,18,27,36,18,129,51,144,52,1389.692308,19.5,80.25,45.14285714,34.5,136.5,,,0.004285714,0.010714286,0.022285714,0.001285714,0.002571429,0.010285714,0.009,0.005571429,0.010428571,0.008571429,0.002571429,0.003857143,0.005142857,0.002571429,
81,72,66,30,36,51,63,39,45,60,28,45,36,39,39,18,123,50.15384615,262.8994083,55.5,56.25,45.14285714,28.5,81,,,0.011571429,0.010285714,0.009428571,0.004285714,0.005142857,0.007285714,0.009,0.005571429,0.006428571,0.008571429,0.004,0.006428571,0.005142857,0.005571429,
90,27,81,123,36,39,76,28,45,39,39,45,81,30,39,18,108,57.61538462,799.6213018,106.5,45.75,50.42857143,24,73.5,,,0.012857143,0.003857143,0.011571429,0.017571429,0.005142857,0.005571429,0.010857143,0.004,0.006428571,0.005571429,0.005571429,0.006428571,0.011571429,0.004285714,
99,57,102,129,45,57,81,93,27,51,45,36,81,9,39,81,120,69.46153846,851.3254438,114,65.25,59.14285714,45,79.5,,,0.014142857,0.008142857,0.014571429,0.018428571,0.006428571,0.008142857,0.011571429,0.013285714,0.003857143,0.007285714,0.006428571,0.005142857,0.011571429,0.001285714,
78,132,81,45,36,39,72,93,18,51,51,54,49,63,54,96,93,61.46153846,806.0946746,61.5,72,55.42857143,79.5,73.5,,,0.011142857,0.018857143,0.011571429,0.006428571,0.005142857,0.005571429,0.010285714,0.013285714,0.002571429,0.007285714,0.007285714,0.007714286,0.007,0.009,
72,51,84,18,57,48,54,46,18,25,49,63,18,63,147,60,63,46.38461538,417.1597633,45,60,39,61.5,105,,,0.010285714,0.007285714,0.012,0.002571429,0.008142857,0.006857143,0.007714286,0.006571429,0.002571429,0.003571429,0.007,0.009,0.002571429,0.009,
69,51,27,30,18,69,117,60,33,0,48,63,18,108,102,105,135,46.38461538,852.3905325,49.5,41.25,48.42857143,106.5,118.5,,,0.009857143,0.007285714,0.003857143,0.004285714,0.002571429,0.009857143,0.016714286,0.008571429,0.004714286,0,0.006857143,0.009,0.002571429,0.015428571,
51,18,36,69,54,987,117,60,39,0,48,40,45,42,63,84,144,120.3076923,63280.36686,60,273.75,49.85714286,63,103.5,,,0.007285714,0.002571429,0.005142857,0.009857143,0.007714286,0.141,0.016714286,0.008571429,0.005571429,0,0.006857143,0.005714286,0.006428571,0.006,
18,27,9,36,45,4698,85,39,39,15,48,18,54,9,69,69,111,394.6923077,1543579.136,27,1194.75,42.57142857,39,90,,,0.002571429,0.003857143,0.001285714,0.005142857,0.006428571,0.671142857,0.012142857,0.005571429,0.005571429,0.002142857,0.006857143,0.002571429,0.007714286,0.001285714,
39,48,39,36,87,942,54,42,46,42,39,18,54,0,18,90,99,114.3076923,57310.36686,37.5,279,42.14285714,45,58.5,,,0.005571429,0.006857143,0.005571429,0.005142857,0.012428571,0.134571429,0.007714286,0.006,0.006571429,0.006,0.005571429,0.002571429,0.007714286,0,
189,234,84,102,27,291,54,42,51,42,30,36,49,75,63,108,60,94.69230769,6955.597633,145.5,159,43.42857143,91.5,61.5,,0,0.027,0.033428571,0.012,0.014571429,0.003857143,0.041571429,0.007714286,0.006,0.007285714,0.006,0.004285714,0.005142857,0.007,0.010714286,
7077,801,351,1260,45,930,156,864,51,64,69,84,162,150,81,72,57,916.4615385,3323086.402,4168.5,531.75,207.1428571,111,69,,10,1.011,0.114428571,0.050142857,0.18,0.006428571,0.132857143,0.022285714,0.123428571,0.007285714,0.009142857,0.009857143,0.012,0.023142857,0.021428571,
2661,1170,1572,2847,318,657,987,1122,138,429,108,84,162,123,90,69,45,942.6923077,806738.0592,2754,929.25,432.8571429,96,67.5,,20,0.380142857,0.167142857,0.224571429,0.406714286,0.045428571,0.093857143,0.141,0.160285714,0.019714286,0.061285714,0.015428571,0.012,0.023142857,0.017571429,
2451,2226,1686,1332,924,2274,987,1122,138,429,150,619,354,90,72,81,48,1130.153846,612849.5148,1891.5,1777.5,542.7142857,85.5,60,,30,0.350142857,0.318,0.240857143,0.190285714,0.132,0.324857143,0.141,0.160285714,0.019714286,0.061285714,0.021428571,0.088428571,0.050571429,0.012857143,
2706,2910,1842,1485,1257,1005,1213,1108,138,522,192,1179,924,69,60,102,60,1267.769231,642764.3314,2095.5,1753.5,753.7142857,85.5,60,,40,0.386571429,0.415714286,0.263142857,0.212142857,0.179571429,0.143571429,0.173285714,0.158285714,0.019714286,0.074571429,0.027428571,0.168428571,0.132,0.009857143,
3480,2382,1677,1380,1281,201,1569,1191,175,765,573,1695,924,69,69,249,51,1330.230769,748458.1775,2430,1385.25,984.5714286,159,60,,50,0.497142857,0.340285714,0.239571429,0.197142857,0.183,0.028714286,0.224142857,0.170142857,0.025,0.109285714,0.081857143,0.242142857,0.132,0.009857143,
2679,2718,2091,1458,1575,810,2508,1191,969,765,954,1506,945,30,60,549,90,1551.461538,477831.9408,2068.5,1798.5,1262.571429,289.5,75,,60,0.382714286,0.388285714,0.298714286,0.208285714,0.225,0.115714286,0.358285714,0.170142857,0.138428571,0.109285714,0.136285714,0.215142857,0.135,0.004285714,
1911,1410,1815,1413,1929,1278,1752,1176,969,763,880,1158,909,162,114,1290,195,1335.615385,154623.4675,1662,1608,1086.714286,726,154.5,,70,0.273,0.201428571,0.259285714,0.201857143,0.275571429,0.182571429,0.250285714,0.168,0.138428571,0.109,0.125714286,0.165428571,0.129857143,0.023142857,0.178826531
1365,1050,1644,1452,1728,1554,1527,1581,1333,675,807,1158,909,156,114,966,186,1291,107162.3077,1408.5,1494,1141.428571,561,150,,80,0.195,0.15,0.234857143,0.207428571,0.246857143,0.222,0.218142857,0.225857143,0.190428571,0.096428571,0.115285714,0.165428571,0.129857143,0.022285714,0.172846939
1491,918,1143,1380,1530,1146,1527,1581,1758,675,880,1189,907,114,69,762,87,1240.384615,101378.2367,1435.5,1184.25,1216.714286,438,78,,90,0.213,0.131142857,0.163285714,0.197142857,0.218571429,0.163714286,0.218142857,0.225857143,0.251142857,0.096428571,0.125714286,0.169857143,0.129571429,0.016285714,0.165704082
1680,966,891,1485,1575,1134,1533,1494,1758,1093,954,987,945,165,36,690,66,1268.846154,95097.97633,1582.5,1141.5,1252,427.5,51,,100,0.24,0.138,0.127285714,0.212142857,0.225,0.162,0.219,0.213428571,0.251142857,0.156142857,0.136285714,0.141,0.135,0.023571429,0.17
1917,918,921,915,1647,1038,1047,1152,1425,1134,891,1398,945,162,39,606,78,1180.615385,96480.85207,1416,1131,1141.714286,384,58.5,,110,0.273857143,0.131142857,0.131571429,0.130714286,0.235285714,0.148285714,0.149571429,0.164571429,0.203571429,0.162,0.127285714,0.199714286,0.135,0.023142857,0.158265306
