S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,Time,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,
36,27,156,93,90,72,90,39,126,18,0,129,45,93,39,48,48,70.84615385,2117.822485,64.5,86.25,63.85714286,70.5,43.5,,,0.012,0.009,0.052,0.031,0.03,0.024,0.03,0.013,0.042,0.006,0,0.043,0.015,0.031,
117,63,153,147,93,21,99,90,126,18,0,36,45,84,18,102,120,77.53846154,2386.863905,132,82.5,59.14285714,93,69,,,0.039,0.021,0.051,0.049,0.031,0.007,0.033,0.03,0.042,0.006,0,0.012,0.015,0.028,
141,126,114,60,18,81,90,153,99,49,0,81,67,93,51,72,195,83,1880.153846,100.5,84.75,77,82.5,123,,,0.047,0.042,0.038,0.02,0.006,0.027,0.03,0.051,0.033,0.016333333,0,0.027,0.022333333,0.031,
93,81,27,102,66,81,72,153,39,60,0,108,99,105,42,30,174,75.46153846,1416.248521,97.5,63.75,75.85714286,67.5,108,,,0.031,0.027,0.009,0.034,0.022,0.027,0.024,0.051,0.013,0.02,0,0.036,0.033,0.035,
72,18,84,162,87,51,108,91,39,60,60,108,99,42,9,51,84,79.92307692,1236.071006,117,60,80.71428571,46.5,46.5,,,0.024,0.006,0.028,0.054,0.029,0.017,0.036,0.030333333,0.013,0.02,0.02,0.036,0.033,0.014,
111,57,162,198,93,72,108,93,33,66,165,90,63,30,30,48,36,100.8461538,2130.284024,154.5,96,88.28571429,39,33,,,0.037,0.019,0.054,0.066,0.031,0.024,0.036,0.031,0.011,0.022,0.055,0.03,0.021,0.01,
99,138,93,195,93,93,94,93,18,21,0,135,45,60,57,60,57,85.92307692,2718.532544,147,104.25,58,60,57,,,0.033,0.046,0.031,0.065,0.031,0.031,0.031333333,0.031,0.006,0.007,0,0.045,0.015,0.02,
90,117,45,60,57,60,147,112,18,21,0,54,45,102,102,42,57,63.53846154,1664.556213,75,69.75,56.71428571,72,79.5,,0,0.03,0.039,0.015,0.02,0.019,0.02,0.049,0.037333333,0.006,0.007,0,0.018,0.015,0.034,
198,159,39,1512,225,1362,90,192,27,42,0,36,58,48,114,33,138,303.0769231,239677.9172,855,446.25,63.57142857,40.5,126,,10,0.066,0.053,0.013,0.504,0.075,0.454,0.03,0.064,0.009,0.014,0,0.012,0.019333333,0.016,
462,138,177,486,465,528,144,192,21,54,0,207,231,51,69,18,99,238.8461538,31582.43787,474,327,121.2857143,34.5,84,,20,0.154,0.046,0.059,0.162,0.155,0.176,0.048,0.064,0.007,0.018,0,0.069,0.077,0.017,
750,198,441,864,897,390,180,297,21,54,0,207,231,0,138,60,120,348.4615385,87771.94083,807,481.5,141.4285714,30,129,,30,0.25,0.066,0.147,0.288,0.299,0.13,0.06,0.099,0.007,0.018,0,0.069,0.077,0,
