S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance
51,98,19,0,44,16,18,21.33333333,6.333333333,16,28,0,24,34,14,3,0,13,22.53703704,1186.216296
51.2,92.9,19,0,47.7,16.1,18,22.3,6.4,21,26.2,0,23.83333333,32.3,15.1,3,0,12.7,22.65185185,1214.602963
51.4,87.8,19,0,51.4,16.2,18,23.26666667,6.466666667,26,24.4,0,23.66666667,30.6,16.2,3,0,12.4,22.76666667,1242.98963
51.6,82.7,19,0,55.1,16.3,18,24.23333333,6.533333333,31,22.6,0,23.5,28.9,17.3,3,0,12.1,22.88148148,1271.376296
51.8,77.6,19,0,58.8,16.4,18,25.2,6.6,36,20.8,0,23.33333333,27.2,18.4,3,0,11.8,22.9962963,1299.762963
52,72.5,19,0,62.5,16.5,18,26.16666667,6.666666667,41,19,0,23.16666667,25.5,19.5,3,0,11.5,23.11111111,1328.14963
52.2,67.4,19,0,66.2,16.6,18,27.13333333,6.733333333,46,17.2,0,23,23.8,20.6,3,0,11.2,23.22592593,1356.536296
52.4,62.3,19,0,69.9,16.7,18,28.1,6.8,51,15.4,0,22.83333333,22.1,21.7,3,0,10.9,23.34074074,1384.922963
52.6,57.2,19,0,73.6,16.8,18,29.06666667,6.866666667,56,13.6,0,22.66666667,20.4,22.8,3,0,10.6,23.45555556,1413.30963
52.8,52.1,19,0,77.3,16.9,18,30.03333333,6.933333333,61,11.8,0,22.5,18.7,23.9,3,0,10.3,23.57037037,1441.696296
53,47,19,0,81,17,18,31,7,66,10,0,22.33333333,17,25,3,0,10,23.68518519,1470.082963
50.6,48,19.7,4.4,77.8,18.6,17.4,32.5,6.6,66,9.6,0,21.3,18.9,25.3,3,0,9,23.81666667,1444.778667
48.2,49,20.4,8.8,74.6,20.2,16.8,34,6.2,66,9.2,0,20.26666667,20.8,25.6,3,0,8,23.94814815,1419.47437
45.8,50,21.1,13.2,71.4,21.8,16.2,35.5,5.8,66,8.8,0,19.23333333,22.7,25.9,3,0,7,24.07962963,1394.170074
43.4,51,21.8,17.6,68.2,23.4,15.6,37,5.4,66,8.4,0,18.2,24.6,26.2,3,0,6,24.21111111,1368.865778
41,52,22.5,22,65,25,15,38.5,5,66,8,0,17.16666667,26.5,26.5,3,0,5,24.34259259,1343.561481
38.6,53,23.2,26.4,61.8,26.6,14.4,40,4.6,66,7.6,0,16.13333333,28.4,26.8,3,0,4,24.47407407,1318.257185
36.2,54,23.9,30.8,58.6,28.2,13.8,41.5,4.2,66,7.2,0,15.1,30.3,27.1,3,0,3,24.60555556,1292.952889
33.8,55,24.6,35.2,55.4,29.8,13.2,43,3.8,66,6.8,0,14.06666667,32.2,27.4,3,0,2,24.73703704,1267.648593
31.4,56,25.3,39.6,52.2,31.4,12.6,44.5,3.4,66,6.4,0,13.03333333,34.1,27.7,3,0,1,24.86851852,1242.344296
29,57,26,44,49,33,12,46,3,66,6,0,12,36,28,3,0,0,25,1217.04
26.7,64.9,29.5,43.3,46.3,31.3,12.6,44.3,3.3,63.3,6.3,0.7,11.4,36.3,26.6,3.3,0,0,25.00555556,1315.274667
24.4,72.8,33,42.6,43.6,29.6,13.2,42.6,3.6,60.6,6.6,1.4,10.8,36.6,25.2,3.6,0,0,25.01111111,1413.509333
22.1,80.7,36.5,41.9,40.9,27.9,13.8,40.9,3.9,57.9,6.9,2.1,10.2,36.9,23.8,3.9,0,0,25.01666667,1511.744
19.8,88.6,40,41.2,38.2,26.2,14.4,39.2,4.2,55.2,7.2,2.8,9.6,37.2,22.4,4.2,0,0,25.02222222,1609.978667
17.5,96.5,43.5,40.5,35.5,24.5,15,37.5,4.5,52.5,7.5,3.5,9,37.5,21,4.5,0,0,25.02777778,1708.213333
15.2,104.4,47,39.8,32.8,22.8,15.6,35.8,4.8,49.8,7.8,4.2,8.4,37.8,19.6,4.8,0,0,25.03333333,1806.448
12.9,112.3,50.5,39.1,30.1,21.1,16.2,34.1,5.1,47.1,8.1,4.9,7.8,38.1,18.2,5.1,0,0,25.03888889,1904.682667
10.6,120.2,54,38.4,27.4,19.4,16.8,32.4,5.4,44.4,8.4,5.6,7.2,38.4,16.8,5.4,0,0,25.04444444,2002.917333
8.3,128.1,57.5,37.7,24.7,17.7,17.4,30.7,5.7,41.7,8.7,6.3,6.6,38.7,15.4,5.7,0,0,25.05,2101.152
6,136,61,37,22,16,18,29,6,39,9,7,6,39,14,6,0,0,25.05555556,2199.386667
7.2,131.7,55.2,34.6,22,18,18.43333333,28,6.133333333,38,9.3,7.7,7.5,39.1,12.6,6,0,0,24.52592593,2051.66637
8.4,127.4,49.4,32.2,22,20,18.86666667,27,6.266666667,37,9.6,8.4,9,39.2,11.2,6,0,0,23.9962963,1903.946074
9.6,123.1,43.6,29.8,22,22,19.3,26,6.4,36,9.9,9.1,10.5,39.3,9.8,6,0,0,23.46666667,1756.225778
10.8,118.8,37.8,27.4,22,24,19.73333333,25,6.533333333,35,10.2,9.8,12,39.4,8.4,6,0,0,22.93703704,1608.505481
12,114.5,32,25,22,26,20.16666667,24,6.666666667,34,10.5,10.5,13.5,39.5,7,6,0,0,22.40740741,1460.785185
