S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance
29,10,0,25,6,12,6,90,3,41.66666667,30.66666667,6.333333333,41,39,9,15,0,3,20.37037037,906.5481481
28.9,11,0.6,27.3,5.7,12.6,7.8,90.1,5.633333333,43,28.2,6,41,37.5,8.4,14.7,0.3,3.7,20.69074074,943.7185185
28.8,12,1.2,29.6,5.4,13.2,9.6,90.2,8.266666667,44.33333333,25.73333333,5.666666667,41,36,7.8,14.4,0.6,4.4,21.01111111,980.8888889
28.7,13,1.8,31.9,5.1,13.8,11.4,90.3,10.9,45.66666667,23.26666667,5.333333333,41,34.5,7.2,14.1,0.9,5.1,21.33148148,1018.059259
28.6,14,2.4,34.2,4.8,14.4,13.2,90.4,13.53333333,47,20.8,5,41,33,6.6,13.8,1.2,5.8,21.65185185,1055.22963
28.5,15,3,36.5,4.5,15,15,90.5,16.16666667,48.33333333,18.33333333,4.666666667,41,31.5,6,13.5,1.5,6.5,21.97222222,1092.4
28.4,16,3.6,38.8,4.2,15.6,16.8,90.6,18.8,49.66666667,15.86666667,4.333333333,41,30,5.4,13.2,1.8,7.2,22.29259259,1129.57037
28.3,17,4.2,41.1,3.9,16.2,18.6,90.7,21.43333333,51,13.4,4,41,28.5,4.8,12.9,2.1,7.9,22.61296296,1166.740741
28.2,18,4.8,43.4,3.6,16.8,20.4,90.8,24.06666667,52.33333333,10.93333333,3.666666667,41,27,4.2,12.6,2.4,8.6,22.93333333,1203.911111
28.1,19,5.4,45.7,3.3,17.4,22.2,90.9,26.7,53.66666667,8.466666667,3.333333333,41,25.5,3.6,12.3,2.7,9.3,23.2537037,1241.081481
28,20,6,48,3,18,24,91,29.33333333,55,6,3,41,24,3,12,3,10,23.57407407,1278.251852
26.1,22.9,6,43.9,3.6,19.1,24,96.6,26.7,50.9,6.3,4.433333333,40.26666667,25.1,3.8,12,2.7,10,23.57777778,1343.148148
24.2,25.8,6,39.8,4.2,20.2,24,102.2,24.06666667,46.8,6.6,5.866666667,39.53333333,26.2,4.6,12,2.4,10,23.58148148,1408.044444
22.3,28.7,6,35.7,4.8,21.3,24,107.8,21.43333333,42.7,6.9,7.3,38.8,27.3,5.4,12,2.1,10,23.58518519,1472.940741
20.4,31.6,6,31.6,5.4,22.4,24,113.4,18.8,38.6,7.2,8.733333333,38.06666667,28.4,6.2,12,1.8,10,23.58888889,1537.837037
18.5,34.5,6,27.5,6,23.5,24,119,16.16666667,34.5,7.5,10.16666667,37.33333333,29.5,7,12,1.5,10,23.59259259,1602.733333
16.6,37.4,6,23.4,6.6,24.6,24,124.6,13.53333333,30.4,7.8,11.6,36.6,30.6,7.8,12,1.2,10,23.5962963,1667.62963
14.7,40.3,6,19.3,7.2,25.7,24,130.2,10.9,26.3,8.1,13.03333333,35.86666667,31.7,8.6,12,0.9,10,23.6,1732.525926
12.8,43.2,6,15.2,7.8,26.8,24,135.8,8.266666667,22.2,8.4,14.46666667,35.13333333,32.8,9.4,12,0.6,10,23.6037037,1797.422222
10.9,46.1,6,11.1,8.4,27.9,24,141.4,5.633333333,18.1,8.7,15.9,34.4,33.9,10.2,12,0.3,10,23.60740741,1862.318519
9,49,6,7,9,29,24,147,3,14,9,17.33333333,33.66666667,35,11,12,0,10,23.61111111,1927.214815
11.9,48.4,6.9,6.3,9.3,27.1,24.3,143.1,3,14,8.7,18.8,32.4,36.7,11,11.1,0,10,23.5,1860.914667
14.8,47.8,7.8,5.6,9.6,25.2,24.6,139.2,3,14,8.4,20.26666667,31.13333333,38.4,11,10.2,0,10,23.38888889,1794.614519
17.7,47.2,8.7,4.9,9.9,23.3,24.9,135.3,3,14,8.1,21.73333333,29.86666667,40.1,11,9.3,0,10,23.27777778,1728.31437
20.6,46.6,9.6,4.2,10.2,21.4,25.2,131.4,3,14,7.8,23.2,28.6,41.8,11,8.4,0,10,23.16666667,1662.014222
23.5,46,10.5,3.5,10.5,19.5,25.5,127.5,3,14,7.5,24.66666667,27.33333333,43.5,11,7.5,0,10,23.05555556,1595.714074
26.4,45.4,11.4,2.8,10.8,17.6,25.8,123.6,3,14,7.2,26.13333333,26.06666667,45.2,11,6.6,0,10,22.94444444,1529.413926
29.3,44.8,12.3,2.1,11.1,15.7,26.1,119.7,3,14,6.9,27.6,24.8,46.9,11,5.7,0,10,22.83333333,1463.113778
32.2,44.2,13.2,1.4,11.4,13.8,26.4,115.8,3,14,6.6,29.06666667,23.53333333,48.6,11,4.8,0,10,22.72222222,1396.81363
35.1,43.6,14.1,0.7,11.7,11.9,26.7,111.9,3,14,6.3,30.53333333,22.26666667,50.3,11,3.9,0,10,22.61111111,1330.513481
38,43,15,0,12,10,27,108,3,14,6,32,21,52,11,3,0,10,22.5,1264.213333
38.7,41,15.3,0,12.1,12.9,25.93333333,103.9,3.333333333,18.6,6.6,30.53333333,23.3,47.1,9.9,3,0,10.7,22.38333333,1234.283259
39.4,39,15.6,0,12.2,15.8,24.86666667,99.8,3.666666667,23.2,7.2,29.06666667,25.6,42.2,8.8,3,0,11.4,22.26666667,1204.353185
40.1,37,15.9,0,12.3,18.7,23.8,95.7,4,27.8,7.8,27.6,27.9,37.3,7.7,3,0,12.1,22.15,1174.423111
40.8,35,16.2,0,12.4,21.6,22.73333333,91.6,4.333333333,32.4,8.4,26.13333333,30.2,32.4,6.6,3,0,12.8,22.03333333,1144.493037
41.5,33,16.5,0,12.5,24.5,21.66666667,87.5,4.666666667,37,9,24.66666667,32.5,27.5,5.5,3,0,13.5,21.91666667,1114.562963
42.2,31,16.8,0,12.6,27.4,20.6,83.4,5,41.6,9.6,23.2,34.8,22.6,4.4,3,0,14.2,21.8,1084.632889
42.9,29,17.1,0,12.7,30.3,19.53333333,79.3,5.333333333,46.2,10.2,21.73333333,37.1,17.7,3.3,3,0,14.9,21.68333333,1054.702815
43.6,27,17.4,0,12.8,33.2,18.46666667,75.2,5.666666667,50.8,10.8,20.26666667,39.4,12.8,2.2,3,0,15.6,21.56666667,1024.772741
44.3,25,17.7,0,12.9,36.1,17.4,71.1,6,55.4,11.4,18.8,41.7,7.9,1.1,3,0,16.3,21.45,994.8426667
45,23,18,0,13,39,16.33333333,67,6.333333333,60,12,17.33333333,44,3,0,3,0,17,21.33333333,964.9125926
41.8,22.3,20.4,0,53.7,37.4,15.3,67,6.833333333,58.9,12.3,15.9,44,4.1,0.3,2.7,0,15.3,23.23518519,3840.687407
38.6,21.6,22.8,0,94.4,35.8,14.26666667,67,7.333333333,57.8,12.6,14.46666667,44,5.2,0.6,2.4,0,13.6,25.13703704,6716.462222
35.4,20.9,25.2,0,135.1,34.2,13.23333333,67,7.833333333,56.7,12.9,13.03333333,44,6.3,0.9,2.1,0,11.9,27.03888889,9592.237037
32.2,20.2,27.6,0,175.8,32.6,12.2,67,8.333333333,55.6,13.2,11.6,44,7.4,1.2,1.8,0,10.2,28.94074074,12468.01185
29,19.5,30,0,216.5,31,11.16666667,67,8.833333333,54.5,13.5,10.16666667,44,8.5,1.5,1.5,0,8.5,30.84259259,15343.78667
25.8,18.8,32.4,0,257.2,29.4,10.13333333,67,9.333333333,53.4,13.8,8.733333333,44,9.6,1.8,1.2,0,6.8,32.74444444,18219.56148
22.6,18.1,34.8,0,297.9,27.8,9.1,67,9.833333333,52.3,14.1,7.3,44,10.7,2.1,0.9,0,5.1,34.6462963,21095.3363
19.4,17.4,37.2,0,338.6,26.2,8.066666667,67,10.33333333,51.2,14.4,5.866666667,44,11.8,2.4,0.6,0,3.4,36.54814815,23971.11111
16.2,16.7,39.6,0,379.3,24.6,7.033333333,67,10.83333333,50.1,14.7,4.433333333,44,12.9,2.7,0.3,0,1.7,38.45,26846.88593
13,16,42,0,420,23,6,67,11.33333333,49,15,3,44,14,3,0,0,0,40.35185185,29722.66074
59.5,15.8,41.2,6.3,834.1,21,6.266666667,65.3,12.2,47.4,14.66666667,3.2,39.6,17.2,3,0,0,0.3,65.9462963,413266.4441
106,15.6,40.4,12.6,1248.2,19,6.533333333,63.6,13.06666667,45.8,14.33333333,3.4,35.2,20.4,3,0,0,0.6,91.54074074,796810.2276
152.5,15.4,39.6,18.9,1662.3,17,6.8,61.9,13.93333333,44.2,14,3.6,30.8,23.6,3,0,0,0.9,117.1351852,1180354.011
199,15.2,38.8,25.2,2076.4,15,7.066666667,60.2,14.8,42.6,13.66666667,3.8,26.4,26.8,3,0,0,1.2,142.7296296,1563897.794
245.5,15,38,31.5,2490.5,13,7.333333333,58.5,15.66666667,41,13.33333333,4,22,30,3,0,0,1.5,168.3240741,1947441.578
292,14.8,37.2,37.8,2904.6,11,7.6,56.8,16.53333333,39.4,13,4.2,17.6,33.2,3,0,0,1.8,193.9185185,2330985.361
338.5,14.6,36.4,44.1,3318.7,9,7.866666667,55.1,17.4,37.8,12.66666667,4.4,13.2,36.4,3,0,0,2.1,219.512963,2714529.145
385,14.4,35.6,50.4,3732.8,7,8.133333333,53.4,18.26666667,36.2,12.33333333,4.6,8.8,39.6,3,0,0,2.4,245.1074074,3098072.928
431.5,14.2,34.8,56.7,4146.9,5,8.4,51.7,19.13333333,34.6,12,4.8,4.4,42.8,3,0,0,2.7,270.7018519,3481616.711
478,14,34,63,4561,3,8.666666667,50,20,33,11.66666667,5,0,46,3,0,0,3,296.2962963,3865160.495
668,14.3,34.3,2075.8,4238.3,4.1,7.8,52,19.83333333,30.3,12.7,5.2,0.3,48.5,3,1,0.3,2.7,401.0240741,8847141.396
858,14.6,34.6,4088.6,3915.6,5.2,6.933333333,54,19.66666667,27.6,13.73333333,5.4,0.6,51,3,2,0.6,2.4,505.7518519,13829122.3
1048,14.9,34.9,6101.4,3592.9,6.3,6.066666667,56,19.5,24.9,14.76666667,5.6,0.9,53.5,3,3,0.9,2.1,610.4796296,18811103.2
1238,15.2,35.2,8114.2,3270.2,7.4,5.2,58,19.33333333,22.2,15.8,5.8,1.2,56,3,4,1.2,1.8,715.2074074,23793084.1
1428,15.5,35.5,10127,2947.5,8.5,4.333333333,60,19.16666667,19.5,16.83333333,6,1.5,58.5,3,5,1.5,1.5,819.9351852,28775065
1618,15.8,35.8,12139.8,2624.8,9.6,3.466666667,62,19,16.8,17.86666667,6.2,1.8,61,3,6,1.8,1.2,924.662963,33757045.9
1808,16.1,36.1,14152.6,2302.1,10.7,2.6,64,18.83333333,14.1,18.9,6.4,2.1,63.5,3,7,2.1,0.9,1029.390741,38739026.8
1998,16.4,36.4,16165.4,1979.4,11.8,1.733333333,66,18.66666667,11.4,19.93333333,6.6,2.4,66,3,8,2.4,0.6,1134.118519,43721007.7
2188,16.7,36.7,18178.2,1656.7,12.9,0.866666667,68,18.5,8.7,20.96666667,6.8,2.7,68.5,3,9,2.7,0.3,1238.846296,48702988.6
2378,17,37,20191,1334,14,0,70,18.33333333,6,22,7,3,71,3,10,3,0,1343.574074,53684969.51
2537.5,16.3,34.2,20952.93333,1463.6,15.7,1.2,72.1,17,5.7,21.7,7.166666667,3.3,66.5,3,10.3,2.7,0.3,1401.733333,53521212.19
2697,15.6,31.4,21714.86667,1593.2,17.4,2.4,74.2,15.66666667,5.4,21.4,7.333333333,3.6,62,3,10.6,2.4,0.6,1459.892593,53357454.88
2856.5,14.9,28.6,22476.8,1722.8,19.1,3.6,76.3,14.33333333,5.1,21.1,7.5,3.9,57.5,3,10.9,2.1,0.9,1518.051852,53193697.56
3016,14.2,25.8,23238.73333,1852.4,20.8,4.8,78.4,13,4.8,20.8,7.666666667,4.2,53,3,11.2,1.8,1.2,1576.211111,53029940.25
