S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
66,65,71,63,81,74,102,86,89.33333333,121,57,71,68.33333333,109,42,197,83,85.03921569,1975.881657
67,86,89,54,106,57,105,89.33333333,62.33333333,121,53.33333333,71,51.33333333,105,53,135,47,79.54901961,2383.451677
127,88,39,40,48,70,108,63,68,78.33333333,48,71,68,76,77,38,42,67.60784314,1751.384615
76,83,52,43,42,95,110,70,65,81,29.33333333,64,60.33333333,43,99,72,52,66.8627451,1841.155819
64,54,68,58,47,89,78,75,76,81,27,74,64,66,54,56,62,64.29411765,1444.792899
50,70,62,39,64,81,111.3333333,135.3333333,75.33333333,51.66666667,35.33333333,33,48,131,48,82,76,70.17647058,2582.055227
14139.66667,13,68,68,433,92,92,107,53,57,37,43,46.33333333,132,42,77,49,914.647059,24331935.1
19896.66667,39,106,364,64,63,66,54.33333333,54,57,37.33333333,39,55.33333333,60,35,32,66,1240.509804,50526271.61
4827,80,108,655,234,107,66,26,55,70.66666667,40,42.33333333,51,65,42,45,35,385.2352941,2530511.29
2790,135,160,349,64,226,140,98.33333333,55.33333333,77,32.33333333,69.33333333,56.33333333,73,42,45,88,264.745098,717416.9665
27359,530,203,937,190,570,349.3333333,311.3333333,68,77,22,96,62,72,93,69,92,1829.45098,68707659.18
15937,921,215,1143,713,121,812.3333333,483,54.33333333,68,20,141,82.33333333,87,97,59,80,1237.294118,31070094.4
9533,1220,279,1028,463,98,1209,782.3333333,40.33333333,107.3333333,73,163,78,63,72,44,75,901.6470588,11786672.15
13701,1536,315,1010,472,160,1792,1565,81,106,128,221,160.3333333,73,45,61,74,1264.72549,18263928.04
15013.66667,1972,481,1998,835,338,2313,2756,63.33333333,142,225.3333333,292,418,62,20,89,70,1593.431373,36610583.06
17921,2699,937,1744,1196,498,2387.333333,3328,114,169,323,381,477,72,29,194,48,1912.784314,55985327.15
5693,2241,852,1664,1680,665,3142,3298.333333,283,176,334,454.3333333,500.3333333,87,28,214,50,1256.588235,4641883.168
1966,1546,919,1450,1897,594,2462.333333,2761.333333,361.3333333,343.3333333,364,505,471,76,20,298,37,945.372549,891808.0513
1762,2061,1018,1456,2138,787,1969,2631.333333,552.3333333,727.3333333,328,569,504.3333333,84,24,482,49,1008.372549,732364.5957
1563,2141,1008,1407,2381,875,2434,2453.333333,536,902,288,492,503.3333333,163,57,318,69,1034.745098,814908.9467
1597,1366,892,1236,1993,996,2360,2356,588,803.3333333,361,500.3333333,458.3333333,190,59,435,82,957.2352941,619529.5345
1160,1126,889,1145,2071,1318,2186.333333,2009,582.3333333,528,410,486,583,199,90,439,104,901.5098039,504063.4793
1148,1046,797,1010,1643,1442,1931.333333,1859,539,573,419.3333333,487.3333333,602,217,132,353,92,840.6470588,357433.4635
976,890,853,874,1577,962,1484.333333,1637,568.3333333,659.3333333,448,443,560.3333333,247,117,400,99,752.6666666,204799.9724
994,966,675,684,1364,1018,1137,1367,581.3333333,772.3333333,388.3333333,409,513.3333333,218,73,477,70,688.6666667,143386.288
900,766,853,546,1196,1047,1001,1358.333333,585,725,323.3333333,446,458,171,62,433,73,643.745098,125663.6331
849,714,589,636,1055,995,1127,1171.333333,687.3333333,761.6666667,319.3333333,433,407.3333333,218,64,340,81,614.5882353,89232.31953
