S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
39.0,0.0,0.0,0.0,9.0,9.0,0.0,87.0,0.0,45.0,0.0,4.0,9.0,75.0,0.0,0.0,0.0,0.0,18.466666666666665,792.2488888888888,10.166666666666666,27.0,0.0
36.0,0.0,0.0,9.3,8.1,8.1,7.2,83.1,0.0,45.0,0.0,3.6,9.0,72.0,0.0,0.9,0.0,3.0,18.759999999999998,802.8879999999999,10.85,27.0375,0.975
33.0,0.0,0.0,18.6,7.2,7.2,14.4,79.2,0.0,45.0,0.0,3.2,9.0,69.0,0.0,1.8,0.0,6.0,19.05333333333333,813.527111111111,11.533333333333333,27.075,1.95
30.0,0.0,0.0,27.900000000000002,6.3,6.3,21.6,75.3,0.0,45.0,0.0,2.8,9.0,66.0,0.0,2.7,0.0,9.0,19.346666666666664,824.1662222222221,12.216666666666665,27.1125,2.925
27.0,0.0,0.0,37.2,5.4,5.4,28.8,71.4,0.0,45.0,0.0,2.4,9.0,63.0,0.0,3.6,0.0,12.0,19.639999999999997,834.8053333333332,12.899999999999999,27.15,3.9
24.0,0.0,0.0,46.5,4.5,4.5,36.0,67.5,0.0,45.0,0.0,2.0,9.0,60.0,0.0,4.5,0.0,15.0,19.93333333333333,845.4444444444443,13.583333333333332,27.1875,4.875
21.0,0.0,0.0,55.800000000000004,3.5999999999999996,3.5999999999999996,43.2,63.6,0.0,45.0,0.0,1.5999999999999996,9.0,57.0,0.0,5.4,0.0,18.0,20.226666666666667,856.0835555555554,14.266666666666666,27.225,5.85
18.0,0.0,0.0,65.10000000000001,2.7,2.7,50.4,59.7,0.0,45.0,0.0,1.1999999999999997,9.0,54.0,0.0,6.3,0.0,21.0,20.52,866.7226666666666,14.95,27.2625,6.825
15.0,0.0,0.0,74.4,1.7999999999999998,1.7999999999999998,57.6,55.8,0.0,45.0,0.0,0.7999999999999998,9.0,51.0,0.0,7.2,0.0,24.0,20.813333333333333,877.3617777777777,15.633333333333333,27.3,7.8
12.0,0.0,0.0,83.7,0.9000000000000004,0.9000000000000004,64.8,51.9,0.0,45.0,0.0,0.3999999999999999,9.0,48.0,0.0,8.1,0.0,27.0,21.106666666666666,888.0008888888888,16.316666666666666,27.3375,8.775
9.0,0.0,0.0,93.0,0.0,0.0,72.0,48.0,0.0,45.0,0.0,0.0,9.0,45.0,0.0,9.0,0.0,30.0,21.4,898.6399999999999,17.0,27.375,9.75
9.0,7.8,0.0,83.7,1.8,0.0,72.0,58.5,0.0,43.8,0.0,0.0,10.8,40.5,0.0,9.0,0.0,30.0,21.86,987.1759999999999,15.75,29.175,9.75
9.0,15.6,0.0,74.4,3.6,0.0,72.0,69.0,0.0,42.6,0.0,0.0,12.6,36.0,0.0,9.0,0.0,30.0,22.32,1075.712,14.5,30.975,9.75
9.0,23.4,0.0,65.1,5.4,0.0,72.0,79.5,0.0,41.4,0.0,0.0,14.4,31.5,0.0,9.0,0.0,30.0,22.779999999999998,1164.248,13.25,32.775,9.75
9.0,31.2,0.0,55.8,7.2,0.0,72.0,90.0,0.0,40.2,0.0,0.0,16.2,27.0,0.0,9.0,0.0,30.0,23.24,1252.7839999999999,12.0,34.575,9.75
9.0,39.0,0.0,46.5,9.0,0.0,72.0,100.5,0.0,39.0,0.0,0.0,18.0,22.5,0.0,9.0,0.0,30.0,23.7,1341.32,10.75,36.375,9.75
9.0,46.8,0.0,37.199999999999996,10.8,0.0,72.0,111.0,0.0,37.8,0.0,0.0,19.8,18.0,0.0,9.0,0.0,30.0,24.16,1429.856,9.5,38.175,9.75
9.0,54.6,0.0,27.89999999999999,12.6,0.0,72.0,121.5,0.0,36.6,0.0,0.0,21.6,13.5,0.0,9.0,0.0,30.0,24.62,1518.3919999999998,8.25,39.975,9.75
9.0,62.4,0.0,18.599999999999994,14.4,0.0,72.0,132.0,0.0,35.4,0.0,0.0,23.4,9.0,0.0,9.0,0.0,30.0,25.08,1606.9279999999999,7.0,41.775,9.75
9.0,70.2,0.0,9.299999999999997,16.2,0.0,72.0,142.5,0.0,34.2,0.0,0.0,25.2,4.5,0.0,9.0,0.0,30.0,25.54,1695.464,5.75,43.575,9.75
9.0,78.0,0.0,0.0,18.0,0.0,72.0,153.0,0.0,33.0,0.0,0.0,27.0,0.0,0.0,9.0,0.0,30.0,26.0,1784.0,4.5,45.375,9.75
9.0,79.2,3.6,0.0,17.1,0.0,72.0,144.6,0.0,33.0,0.0,0.0,26.1,2.7,0.0,8.1,0.0,27.0,25.82,1691.336,4.95,44.7,8.775
9.0,80.4,7.2,0.0,16.2,0.0,72.0,136.2,0.0,33.0,0.0,0.0,25.2,5.4,0.0,7.2,0.0,24.0,25.64,1598.672,5.4,44.025,7.8
9.0,81.6,10.8,0.0,15.3,0.0,72.0,127.8,0.0,33.0,0.0,0.0,24.3,8.100000000000001,0.0,6.3,0.0,21.0,25.46,1506.0079999999998,5.85,43.35,6.825
9.0,82.8,14.4,0.0,14.4,0.0,72.0,119.4,0.0,33.0,0.0,0.0,23.4,10.8,0.0,5.4,0.0,18.0,25.28,1413.344,6.3,42.675,5.85
9.0,84.0,18.0,0.0,13.5,0.0,72.0,111.0,0.0,33.0,0.0,0.0,22.5,13.5,0.0,4.5,0.0,15.0,25.1,1320.6799999999998,6.75,42.0,4.875
9.0,85.2,21.6,0.0,12.6,0.0,72.0,102.6,0.0,33.0,0.0,0.0,21.6,16.200000000000003,0.0,3.5999999999999996,0.0,12.0,24.919999999999998,1228.0159999999998,7.2,41.325,3.9000000000000004
9.0,86.4,25.2,0.0,11.7,0.0,72.0,94.19999999999999,0.0,33.0,0.0,0.0,20.7,18.900000000000002,0.0,2.7,0.0,9.0,24.74,1135.3519999999999,7.65,40.65,2.925
9.0,87.6,28.8,0.0,10.8,0.0,72.0,85.8,0.0,33.0,0.0,0.0,19.8,21.6,0.0,1.7999999999999998,0.0,6.0,24.56,1042.6879999999999,8.1,39.975,1.9500000000000002
9.0,88.8,32.4,0.0,9.9,0.0,72.0,77.39999999999999,0.0,33.0,0.0,0.0,18.9,24.3,0.0,0.9000000000000004,0.0,3.0,24.38,950.0239999999999,8.55,39.3,0.9749999999999996
9.0,90.0,36.0,0.0,9.0,0.0,72.0,69.0,0.0,33.0,0.0,0.0,18.0,27.0,0.0,0.0,0.0,0.0,24.2,857.3599999999998,9.0,38.625,0.0
8.1,84.0,36.0,0.0,8.1,7.8,68.8,69.0,0.0,33.0,0.0,0.0,16.2,25.2,0.0,0.0,0.0,2.1,23.746666666666666,838.3528888888886,10.0,37.025,0.525
7.2,78.0,36.0,0.0,7.2,15.6,65.6,69.0,0.0,33.0,0.0,0.0,14.4,23.4,0.0,0.0,0.0,4.2,23.293333333333333,819.3457777777776,11.0,35.425,1.05
6.3,72.0,36.0,0.0,6.3,23.4,62.4,69.0,0.0,33.0,0.0,0.0,12.6,21.6,0.0,0.0,0.0,6.300000000000001,22.84,800.3386666666664,12.0,33.825,1.5750000000000002
5.4,66.0,36.0,0.0,5.4,31.2,59.2,69.0,0.0,33.0,0.0,0.0,10.8,19.8,0.0,0.0,0.0,8.4,22.386666666666667,781.3315555555554,13.0,32.225,2.1
4.5,60.0,36.0,0.0,4.5,39.0,56.0,69.0,0.0,33.0,0.0,0.0,9.0,18.0,0.0,0.0,0.0,10.5,21.933333333333334,762.3244444444442,14.0,30.625,2.625
3.5999999999999996,54.0,36.0,0.0,3.5999999999999996,46.8,52.8,69.0,0.0,33.0,0.0,0.0,7.199999999999999,16.2,0.0,0.0,0.0,12.600000000000001,21.48,743.3173333333332,15.0,29.025,3.1500000000000004
2.7,48.0,36.0,0.0,2.7,54.6,49.599999999999994,69.0,0.0,33.0,0.0,0.0,5.4,14.4,0.0,0.0,0.0,14.700000000000001,21.026666666666667,724.310222222222,16.0,27.424999999999997,3.6750000000000003
1.7999999999999998,42.0,36.0,0.0,1.7999999999999998,62.4,46.4,69.0,0.0,33.0,0.0,0.0,3.5999999999999996,12.6,0.0,0.0,0.0,16.8,20.573333333333334,705.3031111111109,17.0,25.825,4.2
0.9000000000000004,36.0,36.0,0.0,0.9000000000000004,70.2,43.2,69.0,0.0,33.0,0.0,0.0,1.8000000000000007,10.8,0.0,0.0,0.0,18.900000000000002,20.12,686.2959999999998,18.0,24.225,4.7250000000000005
0.0,30.0,36.0,0.0,0.0,78.0,40.0,69.0,0.0,33.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,21.0,19.666666666666668,667.2888888888887,19.0,22.625,5.25
0.0,27.9,37.2,0.0,0.9,73.2,36.9,70.2,0.4,29.7,0.9,0.0,0.0,8.1,0.9,0.0,0.0,18.9,19.086666666666666,649.238222222222,18.55,21.7625,4.95
0.0,25.8,38.4,0.0,1.8,68.4,33.8,71.4,0.8,26.4,1.8,0.0,0.0,7.2,1.8,0.0,0.0,16.8,18.506666666666668,631.1875555555554,18.1,20.9,4.65
0.0,23.7,39.6,0.0,2.7,63.6,30.7,72.6,1.2000000000000002,23.1,2.7,0.0,0.0,6.3,2.7,0.0,0.0,14.7,17.92666666666667,613.1368888888887,17.65,20.0375,4.35
0.0,21.6,40.8,0.0,3.6,58.8,27.6,73.8,1.6,19.8,3.6,0.0,0.0,5.4,3.6,0.0,0.0,12.6,17.346666666666668,595.0862222222221,17.2,19.175,4.05
0.0,19.5,42.0,0.0,4.5,54.0,24.5,75.0,2.0,16.5,4.5,0.0,0.0,4.5,4.5,0.0,0.0,10.5,16.766666666666666,577.0355555555554,16.75,18.3125,3.75
0.0,17.4,43.2,0.0,5.4,49.2,21.4,76.2,2.4000000000000004,13.200000000000003,5.4,0.0,0.0,3.5999999999999996,5.4,0.0,0.0,8.399999999999999,16.186666666666667,558.9848888888887,16.3,17.45,3.45
0.0,15.299999999999999,44.4,0.0,6.3,44.4,18.3,77.4,2.8000000000000003,9.900000000000002,6.3,0.0,0.0,2.7,6.3,0.0,0.0,6.299999999999999,15.606666666666667,540.934222222222,15.85,16.5875,3.15
0.0,13.2,45.6,0.0,7.2,39.6,15.2,78.6,3.2,6.600000000000001,7.2,0.0,0.0,1.7999999999999998,7.2,0.0,0.0,4.199999999999999,15.026666666666667,522.8835555555554,15.4,15.725,2.85
0.0,11.099999999999998,46.8,0.0,8.1,34.800000000000004,12.099999999999998,79.8,3.6,3.3000000000000007,8.1,0.0,0.0,0.9000000000000004,8.1,0.0,0.0,2.099999999999998,14.446666666666667,504.83288888888876,14.95,14.8625,2.5500000000000003
