S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
51.0,98.0,19.0,0.0,44.0,16.0,18.0,21.333333333333332,6.333333333333333,16.0,28.0,0.0,24.0,34.0,14.0,3.0,0.0,13.0,25.977777777777778,1186.2162962962964,19.833333333333336,44.33333333333333,7.5
53.0,47.0,19.0,0.0,81.0,17.0,18.0,31.0,7.0,66.0,10.0,0.0,22.333333333333332,17.0,25.0,3.0,0.0,10.0,27.55555555555556,1470.0829629629632,27.1,29.333333333333332,9.5
29.0,57.0,26.0,44.0,49.0,33.0,12.0,46.0,3.0,66.0,6.0,0.0,12.0,36.0,28.0,3.0,0.0,0.0,29.8,1217.0400000000002,26.8,37.75,7.75
6.0,136.0,61.0,37.0,22.0,16.0,18.0,29.0,6.0,39.0,9.0,7.0,6.0,39.0,14.0,6.0,0.0,0.0,29.666666666666668,2199.3866666666663,22.1,52.5,5.0
18.0,93.0,3.0,13.0,22.0,36.0,22.333333333333332,19.0,7.333333333333333,29.0,12.0,14.0,21.0,40.0,0.0,6.0,0.0,0.0,23.311111111111114,722.1837037037038,17.666666666666664,43.25,1.5
36.0,94.0,15.0,9.0,13.0,36.0,36.0,16.0,11.0,38.0,20.0,8.333333333333334,24.0,14.0,3.0,3.0,0.0,3.0,24.888888888888886,769.2029629629629,22.233333333333334,37.0,2.25
1312.0,19.0,21.0,13355.0,1468.0,13.0,31.333333333333332,47.333333333333336,25.333333333333332,6.0,9.0,3.0,19.333333333333332,21.0,3.0,0.0,0.0,13.0,1090.2222222222222,31461715.928888887,1624.3666666666668,26.666666666666668,4.0
893.0,44.0,12.0,5760.666666666667,5583.0,7.0,27.0,44.333333333333336,24.0,9.0,6.0,36.0,26.333333333333332,11.0,3.0,9.0,0.0,13.0,832.4222222222221,11687741.442962965,1235.7666666666669,31.416666666666668,6.25
1053.0,118.0,15.0,45254.666666666664,469.0,0.0,21.0,6.0,16.333333333333332,15.0,3.0,69.0,43.0,0.0,0.0,15.0,0.0,6.0,3138.8666666666663,135100358.36444446,4691.6,41.75,5.25
2500.0,121.0,3201.0,40432.666666666664,440.0,16.0,9.0,12.0,6.0,6.0,3.0,51.0,24.0,14.0,3.0,6.0,0.0,0.0,3122.577777777778,114391871.86962967,4666.466666666666,42.75,2.25
1398.0,62.0,3164.0,37046.666666666664,175.0,4085.0,18.0,26.0,13.333333333333334,1.3333333333333333,4.333333333333333,33.0,9.0,21.0,3.0,10.0,0.0,0.0,3070.6444444444446,99836609.72148149,4593.866666666667,29.5,3.25
