S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
25.5,30.0,4.5,19.5,0.0,25.5,2.0,9.0,4.5,4.5,17.0,36.0,0.0,87.0,4.5,0.0,0.0,10.5,17.966666666666665,625.9777777777778,16.5,21.357142857142858,3.75
27.15,29.1,6.0,19.05,0.0,23.85,2.25,9.8,4.25,4.5,15.75,35.4,0.45,82.35,4.5,0.0,0.0,10.5,17.626666666666665,596.9088888888889,16.564285714285713,20.564285714285713,3.75
28.8,28.2,7.5,18.6,0.0,22.2,2.5,10.6,4.0,4.5,14.5,34.8,0.9,77.7,4.5,0.0,0.0,10.5,17.286666666666665,567.84,16.62857142857143,19.771428571428572,3.75
30.45,27.3,9.0,18.15,0.0,20.55,2.75,11.4,3.75,4.5,13.25,34.2,1.35,73.05,4.5,0.0,0.0,10.5,16.946666666666665,538.7711111111112,16.692857142857143,18.978571428571428,3.75
32.1,26.4,10.5,17.7,0.0,18.9,3.0,12.2,3.5,4.5,12.0,33.6,1.8,68.4,4.5,0.0,0.0,10.5,16.606666666666666,509.7022222222222,16.757142857142856,18.185714285714287,3.75
33.75,25.5,12.0,17.25,0.0,17.25,3.25,13.0,3.25,4.5,10.75,33.0,2.25,63.75,4.5,0.0,0.0,10.5,16.266666666666666,480.6333333333333,16.82142857142857,17.392857142857142,3.75
35.4,24.6,13.5,16.8,0.0,15.600000000000001,3.5,13.8,3.0,4.5,9.5,32.4,2.7,59.099999999999994,4.5,0.0,0.0,10.5,15.926666666666666,451.56444444444446,16.885714285714286,16.6,3.75
37.05,23.7,15.0,16.35,0.0,13.950000000000001,3.75,14.600000000000001,2.75,4.5,8.25,31.8,3.15,54.449999999999996,4.5,0.0,0.0,10.5,15.586666666666666,422.4955555555556,16.95,15.807142857142857,3.75
38.7,22.8,16.5,15.9,0.0,12.3,4.0,15.4,2.5,4.5,7.0,31.2,3.6,49.8,4.5,0.0,0.0,10.5,15.246666666666666,393.4266666666667,17.014285714285712,15.014285714285714,3.75
40.35,21.9,18.0,15.45,0.0,10.65,4.25,16.2,2.25,4.5,5.75,30.6,4.05,45.15,4.5,0.0,0.0,10.5,14.906666666666666,364.3577777777778,17.07857142857143,14.221428571428572,3.75
42.0,21.0,19.5,15.0,0.0,9.0,4.5,17.0,2.0,4.5,4.5,30.0,4.5,40.5,4.5,0.0,0.0,10.5,14.566666666666666,335.2888888888889,17.142857142857142,13.428571428571429,3.75
38.85,19.95,18.45,13.95,9.3,11.7,4.5,19.2,2.85,4.8,4.05,28.95,6.9,36.9,5.7,0.45,0.0,9.45,15.07,404.82,18.0,13.47857142857143,3.9
35.7,18.9,17.4,12.9,18.6,14.4,4.5,21.4,3.7,5.1,3.6,27.9,9.3,33.3,6.9,0.9,0.0,8.4,15.573333333333332,474.3511111111111,18.857142857142858,13.528571428571428,4.05
32.55,17.85,16.35,11.85,27.900000000000002,17.1,4.5,23.6,4.55,5.4,3.15,26.85,11.7,29.7,8.1,1.35,0.0,7.35,16.076666666666664,543.8822222222223,19.714285714285715,13.57857142857143,4.2
29.4,16.8,15.3,10.8,37.2,19.8,4.5,25.8,5.4,5.7,2.7,25.8,14.1,26.1,9.3,1.8,0.0,6.3,16.58,613.4133333333333,20.571428571428573,13.628571428571428,4.35
26.25,15.75,14.25,9.75,46.5,22.5,4.5,28.0,6.25,6.0,2.25,24.75,16.5,22.5,10.5,2.25,0.0,5.25,17.083333333333332,682.9444444444443,21.42857142857143,13.678571428571429,4.5
23.1,14.7,13.2,8.7,55.800000000000004,25.200000000000003,4.5,30.200000000000003,7.1,6.3,1.7999999999999998,23.7,18.9,18.9,11.7,2.7,0.0,4.199999999999999,17.586666666666666,752.4755555555555,22.285714285714285,13.72857142857143,4.65
19.95,13.649999999999999,12.149999999999999,7.6499999999999995,65.10000000000001,27.900000000000002,4.5,32.400000000000006,7.95,6.6,1.35,22.65,21.3,15.3,12.9,3.15,0.0,3.1499999999999995,18.09,822.0066666666667,23.142857142857142,13.778571428571428,4.8
16.8,12.6,11.1,6.6,74.4,30.6,4.5,34.6,8.8,6.9,0.8999999999999999,21.6,23.7,11.7,14.1,3.6,0.0,2.0999999999999996,18.593333333333334,891.5377777777777,24.0,13.82857142857143,4.95
13.650000000000002,11.549999999999999,10.049999999999999,5.549999999999999,83.7,33.3,4.5,36.8,9.649999999999999,7.199999999999999,0.4500000000000002,20.549999999999997,26.099999999999998,8.100000000000001,15.299999999999999,4.05,0.0,1.049999999999999,19.096666666666664,961.0688888888889,24.857142857142858,13.878571428571428,5.1
10.5,10.5,9.0,4.5,93.0,36.0,4.5,39.0,10.5,7.5,0.0,19.5,28.5,4.5,16.5,4.5,0.0,0.0,19.599999999999998,1030.6,25.714285714285715,13.928571428571429,5.25
10.95,10.5,9.9,4.5,86.25,33.3,4.25,39.0,10.5,8.25,0.75,19.2,26.55,6.15,16.95,4.5,0.0,1.5,19.133333333333333,947.191111111111,24.621428571428574,13.957142857142857,5.7375
11.4,10.5,10.8,4.5,79.5,30.6,4.0,39.0,10.5,9.0,1.5,18.9,24.6,7.8,17.4,4.5,0.0,3.0,18.666666666666664,863.7822222222221,23.52857142857143,13.985714285714286,6.225
11.85,10.5,11.7,4.5,72.75,27.9,3.75,39.0,10.5,9.75,2.25,18.6,22.65,9.45,17.85,4.5,0.0,4.5,18.2,780.3733333333332,22.435714285714287,14.014285714285714,6.7125
12.3,10.5,12.6,4.5,66.0,25.2,3.5,39.0,10.5,10.5,3.0,18.3,20.7,11.1,18.3,4.5,0.0,6.0,17.73333333333333,696.9644444444443,21.34285714285714,14.042857142857143,7.2
12.75,10.5,13.5,4.5,59.25,22.5,3.25,39.0,10.5,11.25,3.75,18.0,18.75,12.75,18.75,4.5,0.0,7.5,17.266666666666666,613.5555555555554,20.25,14.071428571428571,7.6875
13.2,10.5,14.4,4.5,52.5,19.799999999999997,3.0,39.0,10.5,12.0,4.5,17.7,16.8,14.399999999999999,19.2,4.5,0.0,9.0,16.799999999999997,530.1466666666666,19.15714285714286,14.1,8.175
13.65,10.5,15.3,4.5,45.75,17.099999999999998,2.75,39.0,10.5,12.75,5.25,17.4,14.85,16.049999999999997,19.65,4.5,0.0,10.5,16.333333333333332,446.73777777777775,18.064285714285717,14.128571428571428,8.6625
14.1,10.5,16.2,4.5,39.0,14.399999999999999,2.5,39.0,10.5,13.5,6.0,17.1,12.9,17.7,20.1,4.5,0.0,12.0,15.866666666666665,363.32888888888886,16.97142857142857,14.157142857142857,9.15
14.55,10.5,17.1,4.5,32.25,11.7,2.25,39.0,10.5,14.25,6.75,16.8,10.95,19.35,20.55,4.5,0.0,13.5,15.399999999999999,279.91999999999996,15.878571428571428,14.185714285714285,9.6375
15.0,10.5,18.0,4.5,25.5,9.0,2.0,39.0,10.5,15.0,7.5,16.5,9.0,21.0,21.0,4.5,0.0,15.0,14.933333333333332,196.5111111111111,14.785714285714286,14.214285714285714,10.125
15.9,9.9,20.85,5.55,23.4,8.55,3.15,37.8,9.95,13.5,7.2,16.55,9.9,21.0,19.35,4.95,0.0,15.45,14.836666666666666,204.5831111111111,14.9,14.128571428571428,9.9375
16.8,9.3,23.7,6.6,21.3,8.1,4.3,36.6,9.4,12.0,6.9,16.6,10.8,21.0,17.7,5.4,0.0,15.9,14.739999999999998,212.65511111111113,15.014285714285714,14.042857142857143,9.75
17.7,8.7,26.55,7.65,19.2,7.65,5.449999999999999,35.4,8.85,10.5,6.6,16.65,11.7,21.0,16.05,5.85,0.0,16.35,14.64333333333333,220.72711111111113,15.12857142857143,13.957142857142857,9.5625
18.6,8.1,29.4,8.7,17.1,7.2,6.6,34.2,8.3,9.0,6.3,16.7,12.6,21.0,14.4,6.3,0.0,16.8,14.546666666666665,228.79911111111113,15.242857142857144,13.871428571428572,9.375
19.5,7.5,32.25,9.75,15.0,6.75,7.75,33.0,7.75,7.5,6.0,16.75,13.5,21.0,12.75,6.75,0.0,17.25,14.45,236.87111111111113,15.357142857142858,13.785714285714285,9.1875
20.4,6.9,35.1,10.8,12.899999999999999,6.3,8.899999999999999,31.8,7.199999999999999,6.0,5.7,16.8,14.4,21.0,11.100000000000001,7.2,0.0,17.7,14.353333333333332,244.94311111111116,15.471428571428572,13.7,9.0
21.3,6.3,37.95,11.850000000000001,10.799999999999999,5.85,10.049999999999999,30.6,6.6499999999999995,4.5,5.4,16.85,15.3,21.0,9.450000000000001,7.65,0.0,18.15,14.256666666666664,253.01511111111117,15.585714285714285,13.614285714285714,8.8125
22.2,5.7,40.8,12.9,8.7,5.4,11.2,29.4,6.1,3.0,5.1,16.9,16.2,21.0,7.800000000000001,8.1,0.0,18.6,14.159999999999998,261.0871111111112,15.700000000000001,13.528571428571428,8.625
23.1,5.1000000000000005,43.650000000000006,13.950000000000001,6.599999999999998,4.95,12.35,28.200000000000003,5.55,1.5,4.800000000000001,16.95,17.1,21.0,6.15,8.55,0.0,19.05,14.063333333333333,269.1591111111112,15.814285714285715,13.442857142857143,8.4375
24.0,4.5,46.5,15.0,4.5,4.5,13.5,27.0,5.0,0.0,4.5,17.0,18.0,21.0,4.5,9.0,0.0,19.5,13.966666666666665,277.2311111111112,15.928571428571429,13.357142857142858,8.25
24.9,4.05,45.15,15.0,4.5,4.05,13.95,25.2,4.5,0.65,7.35,16.5,17.3,19.35,4.05,15.6,0.0,18.45,13.766666666666666,276.3555555555556,15.821428571428571,13.100000000000001,9.525
25.8,3.6,43.8,15.0,4.5,3.6,14.4,23.4,4.0,1.3,10.2,16.0,16.6,17.7,3.6,22.2,0.0,17.4,13.566666666666665,275.4800000000001,15.714285714285715,12.842857142857143,10.8
