S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
29.0,10.0,0.0,25.0,6.0,12.0,6.0,90.0,3.0,41.666666666666664,30.666666666666668,6.333333333333333,41.0,39.0,9.0,15.0,0.0,3.0,23.244444444444444,906.5481481481482,13.055555555555555,32.666666666666664,6.75
28.9,11.0,0.6,27.3,5.7,12.6,7.8,90.1,5.633333333333333,43.0,28.200000000000003,6.0,41.0,37.5,8.4,14.7,0.3,3.7,23.58222222222222,943.7185185185185,13.516666666666666,33.02916666666667,6.775
28.8,12.0,1.2,29.6,5.4,13.2,9.6,90.2,8.266666666666666,44.33333333333333,25.733333333333334,5.666666666666666,41.0,36.0,7.8,14.4,0.6,4.4,23.919999999999998,980.8888888888889,13.977777777777778,33.391666666666666,6.8
28.7,13.0,1.7999999999999998,31.9,5.1,13.8,11.4,90.3,10.9,45.666666666666664,23.266666666666666,5.333333333333333,41.0,34.5,7.2,14.1,0.8999999999999999,5.1,24.25777777777778,1018.0592592592593,14.43888888888889,33.75416666666666,6.825
28.6,14.0,2.4,34.2,4.8,14.4,13.2,90.4,13.533333333333333,47.0,20.8,5.0,41.0,33.0,6.6,13.8,1.2,5.8,24.595555555555556,1055.2296296296295,14.9,34.11666666666667,6.85
28.5,15.0,3.0,36.5,4.5,15.0,15.0,90.5,16.166666666666664,48.33333333333333,18.333333333333336,4.666666666666666,41.0,31.5,6.0,13.5,1.5,6.5,24.933333333333334,1092.3999999999999,15.36111111111111,34.47916666666667,6.875
28.4,16.0,3.5999999999999996,38.8,4.2,15.6,16.8,90.6,18.8,49.666666666666664,15.866666666666667,4.333333333333333,41.0,30.0,5.4,13.2,1.7999999999999998,7.199999999999999,25.27111111111111,1129.5703703703703,15.822222222222223,34.84166666666667,6.9
28.3,17.0,4.2,41.099999999999994,3.9,16.2,18.6,90.7,21.433333333333334,51.0,13.400000000000002,4.0,41.0,28.5,4.8,12.9,2.1,7.8999999999999995,25.608888888888888,1166.7407407407406,16.283333333333335,35.204166666666666,6.925
28.2,18.0,4.8,43.4,3.6,16.8,20.4,90.8,24.066666666666666,52.33333333333333,10.933333333333334,3.6666666666666665,41.0,27.0,4.2,12.6,2.4,8.6,25.94666666666667,1203.911111111111,16.744444444444447,35.56666666666667,6.95
28.1,19.0,5.3999999999999995,45.7,3.3000000000000003,17.4,22.2,90.9,26.7,53.666666666666664,8.466666666666665,3.333333333333333,41.0,25.5,3.6000000000000005,12.3,2.6999999999999997,9.3,26.284444444444446,1241.0814814814812,17.205555555555556,35.929166666666674,6.975
