S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
48.0,84.0,54.0,72.0,36.0,39.0,117.0,69.0,81.0,73.0,87.0,93.0,84.0,72.0,9.0,42.0,123.0,27.0,72.07142857142857,453.92346938775506,70.875,64.42857142857143,64.0
49.2,87.6,61.8,72.0,38.7,45.0,114.3,68.1,80.8,74.1,87.0,95.1,82.0,71.1,10.2,43.8,114.6,33.9,73.34285714285714,461.1336734693877,72.0875,65.75714285714285,64.1
50.4,91.2,69.6,72.0,41.4,51.0,111.6,67.2,80.6,75.2,87.0,97.2,80.0,70.2,11.4,45.6,106.2,40.8,74.61428571428571,468.34387755102034,73.3,67.08571428571429,64.2
51.6,94.8,77.4,72.0,44.1,57.0,108.9,66.3,80.4,76.3,87.0,99.3,78.0,69.3,12.6,47.4,97.8,47.7,75.88571428571429,475.55408163265304,74.5125,68.41428571428571,64.3
52.8,98.4,85.2,72.0,46.8,63.0,106.2,65.4,80.2,77.4,87.0,101.4,76.0,68.4,13.8,49.2,89.4,54.6,77.15714285714286,482.7642857142857,75.725,69.74285714285715,64.4
54.0,102.0,93.0,72.0,49.5,69.0,103.5,64.5,80.0,78.5,87.0,103.5,74.0,67.5,15.0,51.0,81.0,61.5,78.42857142857143,489.9744897959183,76.9375,71.07142857142857,64.5
55.2,105.6,100.8,72.0,52.2,75.0,100.8,63.6,79.8,79.6,87.0,105.6,72.0,66.6,16.2,52.8,72.6,68.4,79.7,497.18469387755096,78.15,72.39999999999999,64.6
56.4,109.2,108.6,72.0,54.900000000000006,81.0,98.1,62.7,79.6,80.7,87.0,107.7,70.0,65.7,17.4,54.6,64.19999999999999,75.30000000000001,80.97142857142858,504.3948979591836,79.3625,73.72857142857143,64.7
57.6,112.8,116.4,72.0,57.6,87.0,95.4,61.8,79.4,81.8,87.0,109.8,68.0,64.8,18.6,56.4,55.8,82.2,82.24285714285715,511.6051020408163,80.575,75.05714285714285,64.8
58.8,116.4,124.2,72.0,60.3,93.0,92.7,60.9,79.2,82.9,87.0,111.9,66.0,63.9,19.799999999999997,58.2,47.39999999999999,89.1,83.51428571428572,518.8153061224489,81.7875,76.38571428571429,64.9
60.0,120.0,132.0,72.0,63.0,99.0,90.0,60.0,79.0,84.0,87.0,114.0,64.0,63.0,21.0,60.0,39.0,96.0,84.78571428571429,526.0255102040816,83.0,77.71428571428571,65.0
61.8,122.4,132.9,69.0,63.0,96.9,90.0,60.0,77.7,84.0,85.3,116.1,72.3,57.6,21.0,58.8,44.7,96.9,84.92857142857143,633.3112244897958,83.625,77.28571428571428,66.8
63.6,124.8,133.8,66.0,63.0,94.8,90.0,60.0,76.4,84.0,83.6,118.2,80.6,52.2,21.0,57.6,50.4,97.8,85.07142857142857,740.5969387755101,84.25,76.85714285714285,68.6
65.4,127.2,134.7,63.0,63.0,92.7,90.0,60.0,75.1,84.0,81.9,120.3,88.9,46.8,21.0,56.4,56.1,98.7,85.21428571428572,847.8826530612243,84.875,76.42857142857143,70.4
67.2,129.6,135.6,60.0,63.0,90.6,90.0,60.0,73.8,84.0,80.2,122.4,97.2,41.4,21.0,55.2,61.8,99.6,85.35714285714286,955.1683673469386,85.5,76.0,72.2
69.0,132.0,136.5,57.0,63.0,88.5,90.0,60.0,72.5,84.0,78.5,124.5,105.5,36.0,21.0,54.0,67.5,100.5,85.5,1062.454081632653,86.125,75.57142857142857,74.0
70.8,134.4,137.4,54.0,63.0,86.4,90.0,60.0,71.2,84.0,76.8,126.6,113.80000000000001,30.599999999999994,21.0,52.8,73.2,101.4,85.64285714285714,1169.7397959183672,86.75,75.14285714285714,75.8
72.6,136.8,138.3,51.0,63.0,84.3,90.0,60.0,69.9,84.0,75.1,128.7,122.10000000000001,25.199999999999996,21.0,51.6,78.9,102.3,85.78571428571428,1277.0255102040815,87.375,74.71428571428571,77.6
74.4,139.2,139.2,48.0,63.0,82.2,90.0,60.0,68.6,84.0,73.4,130.8,130.4,19.799999999999997,21.0,50.4,84.6,103.2,85.92857142857143,1384.3112244897957,88.0,74.28571428571429,79.4
76.2,141.6,140.1,45.0,63.0,80.1,90.0,60.0,67.3,84.0,71.7,132.9,138.7,14.399999999999999,21.0,49.2,90.30000000000001,104.1,86.07142857142857,1491.59693877551,88.625,73.85714285714286,81.2
78.0,144.0,141.0,42.0,63.0,78.0,90.0,60.0,66.0,84.0,70.0,135.0,147.0,9.0,21.0,48.0,96.0,105.0,86.21428571428571,1598.8826530612243,89.25,73.42857142857143,83.0
79.2,141.3,132.3,45.0,59.4,84.3,90.0,62.8,66.0,81.7,66.9,131.2,148.2,9.0,21.9,50.7,98.7,99.3,85.52142857142857,1601.1719387755102,88.05,73.54285714285714,82.9
80.4,138.6,123.6,48.0,55.8,90.6,90.0,65.6,66.0,79.4,63.8,127.4,149.4,9.0,22.8,53.4,101.4,93.6,84.82857142857142,1603.4612244897958,86.85,73.65714285714286,82.8
81.6,135.9,114.9,51.0,52.2,96.9,90.0,68.4,66.0,77.1,60.7,123.6,150.6,9.0,23.7,56.1,104.1,87.9,84.13571428571429,1605.7505102040816,85.65,73.77142857142857,82.7
82.8,133.2,106.2,54.0,48.6,103.2,90.0,71.2,66.0,74.8,57.6,119.8,151.8,9.0,24.6,58.8,106.8,82.2,83.44285714285714,1608.0397959183672,84.45,73.88571428571429,82.6
84.0,130.5,97.5,57.0,45.0,109.5,90.0,74.0,66.0,72.5,54.5,116.0,153.0,9.0,25.5,61.5,109.5,76.5,82.75,1610.329081632653,83.25,74.0,82.5
85.2,127.8,88.80000000000001,60.0,41.4,115.8,90.0,76.8,66.0,70.2,51.4,112.2,154.2,9.0,26.4,64.2,112.2,70.8,82.05714285714286,1612.6183673469388,82.05,74.11428571428571,82.4
86.4,125.1,80.10000000000001,63.0,37.8,122.1,90.0,79.6,66.0,67.9,48.3,108.4,155.4,9.0,27.3,66.9,114.9,65.1,81.36428571428571,1614.9076530612244,80.85,74.22857142857143,82.3
87.6,122.4,71.4,66.0,34.2,128.4,90.0,82.4,66.0,65.6,45.2,104.6,156.6,9.0,28.2,69.6,117.6,59.4,80.67142857142858,1617.1969387755103,79.65,74.34285714285714,82.2
88.8,119.7,62.7,69.0,30.6,134.7,90.0,85.2,66.0,63.3,42.099999999999994,100.80000000000001,157.8,9.0,29.1,72.3,120.3,53.699999999999996,79.97857142857143,1619.4862244897959,78.45,74.45714285714286,82.1
90.0,117.0,54.0,72.0,27.0,141.0,90.0,88.0,66.0,61.0,39.0,97.0,159.0,9.0,30.0,75.0,123.0,48.0,79.28571428571429,1621.7755102040817,77.25,74.57142857142857,82.0
89.7,113.4,49.5,70.8,27.0,140.1,91.3,94.5,70.2,58.5,40.8,93.3,152.4,13.5,32.7,77.4,120.3,47.7,78.92857142857143,1610.3040816326532,75.95,75.72857142857143,81.8
89.4,109.8,45.0,69.6,27.0,139.2,92.6,101.0,74.4,56.0,42.6,89.6,145.8,18.0,35.4,79.8,117.6,47.4,78.57142857142857,1598.8326530612244,74.65,76.88571428571429,81.6
89.1,106.2,40.5,68.4,27.0,138.3,93.9,107.5,78.6,53.5,44.4,85.9,139.2,22.5,38.1,82.2,114.9,47.1,78.21428571428572,1587.3612244897959,73.35,78.04285714285714,81.4
88.8,102.6,36.0,67.2,27.0,137.4,95.2,114.0,82.8,51.0,46.2,82.2,132.6,27.0,40.8,84.6,112.2,46.8,77.85714285714286,1575.8897959183673,72.05,79.2,81.2
88.5,99.0,31.5,66.0,27.0,136.5,96.5,120.5,87.0,48.5,48.0,78.5,126.0,31.5,43.5,87.0,109.5,46.5,77.5,1564.4183673469388,70.75,80.35714285714286,81.0
88.2,95.4,27.0,64.8,27.0,135.6,97.8,127.0,91.2,46.0,49.8,74.8,119.4,36.0,46.2,89.4,106.8,46.2,77.14285714285714,1552.94693877551,69.45,81.5142857142857,80.8
87.9,91.8,22.5,63.6,27.0,134.7,99.1,133.5,95.4,43.5,51.6,71.1,112.80000000000001,40.5,48.900000000000006,91.8,104.1,45.9,76.78571428571428,1541.4755102040815,68.15,82.67142857142856,80.6
87.6,88.2,18.0,62.4,27.0,133.8,100.4,140.0,99.6,41.0,53.4,67.4,106.2,45.0,51.6,94.2,101.4,45.6,76.42857142857143,1530.004081632653,66.85,83.82857142857142,80.4
87.3,84.6,13.5,61.2,27.0,132.9,101.7,146.5,103.80000000000001,38.5,55.2,63.699999999999996,99.6,49.5,54.3,96.6,98.7,45.3,76.07142857142857,1518.5326530612242,65.55,84.98571428571428,80.2
87.0,81.0,9.0,60.0,27.0,132.0,103.0,153.0,108.0,36.0,57.0,60.0,93.0,54.0,57.0,99.0,96.0,45.0,75.71428571428571,1507.0612244897957,64.25,86.14285714285714,80.0
89.1,78.9,12.6,60.0,29.7,123.6,99.9,153.0,101.4,36.0,60.6,60.6,90.9,58.5,58.8,95.4,93.3,46.5,75.34285714285714,1450.4693877551017,64.95,84.85714285714286,78.4
91.2,76.8,16.2,60.0,32.4,115.2,96.8,153.0,94.8,36.0,64.2,61.2,88.8,63.0,60.6,91.8,90.6,48.0,74.97142857142856,1393.877551020408,65.65,83.57142857142857,76.8
93.3,74.7,19.8,60.0,35.1,106.8,93.7,153.0,88.2,36.0,67.8,61.8,86.7,67.5,62.4,88.2,87.9,49.5,74.6,1337.2857142857142,66.35,82.28571428571428,75.2
95.4,72.6,23.4,60.0,37.8,98.4,90.6,153.0,81.6,36.0,71.4,62.4,84.6,72.0,64.2,84.6,85.2,51.0,74.22857142857143,1280.6938775510203,67.05,81.0,73.6
97.5,70.5,27.0,60.0,40.5,90.0,87.5,153.0,75.0,36.0,75.0,63.0,82.5,76.5,66.0,81.0,82.5,52.5,73.85714285714286,1224.1020408163263,67.75,79.71428571428572,72.0
99.6,68.4,30.6,60.0,43.2,81.6,84.4,153.0,68.4,36.0,78.6,63.6,80.4,81.0,67.8,77.4,79.8,54.0,73.48571428571428,1167.5102040816325,68.45,78.42857142857143,70.4
101.7,66.3,34.2,60.0,45.900000000000006,73.19999999999999,81.3,153.0,61.800000000000004,36.0,82.2,64.2,78.3,85.5,69.6,73.8,77.1,55.5,73.11428571428571,1110.9183673469388,69.15,77.14285714285714,68.8
103.8,64.2,37.8,60.0,48.6,64.8,78.2,153.0,55.2,36.0,85.8,64.8,76.2,90.0,71.4,70.2,74.4,57.0,72.74285714285715,1054.3265306122448,69.85,75.85714285714286,67.2
105.9,62.099999999999994,41.4,60.0,51.3,56.39999999999999,75.1,153.0,48.6,36.0,89.4,65.4,74.1,94.5,73.2,66.6,71.7,58.5,72.37142857142857,997.734693877551,70.55,74.57142857142858,65.6
108.0,60.0,45.0,60.0,54.0,48.0,72.0,153.0,42.0,36.0,93.0,66.0,72.0,99.0,75.0,63.0,69.0,60.0,72.0,941.1428571428571,71.25,73.28571428571429,64.0
102.3,59.7,49.8,59.1,55.8,48.9,73.8,150.7,42.0,36.7,95.1,66.6,72.0,99.0,73.2,61.8,64.8,62.1,72.25,915.6535714285714,71.4375,73.31428571428572,62.9
96.6,59.4,54.6,58.2,57.6,49.8,75.6,148.4,42.0,37.4,97.2,67.2,72.0,99.0,71.4,60.6,60.6,64.2,72.5,890.1642857142857,71.625,73.34285714285714,61.8
90.9,59.1,59.4,57.3,59.4,50.7,77.4,146.1,42.0,38.1,99.3,67.8,72.0,99.0,69.6,59.4,56.4,66.3,72.75,864.675,71.8125,73.37142857142858,60.7
85.2,58.8,64.2,56.4,61.2,51.6,79.2,143.8,42.0,38.8,101.4,68.4,72.0,99.0,67.8,58.2,52.2,68.4,73.0,839.1857142857143,72.0,73.4,59.6
79.5,58.5,69.0,55.5,63.0,52.5,81.0,141.5,42.0,39.5,103.5,69.0,72.0,99.0,66.0,57.0,48.0,70.5,73.25,813.6964285714286,72.1875,73.42857142857143,58.5
73.8,58.2,73.8,54.6,64.8,53.4,82.8,139.2,42.0,40.2,105.6,69.6,72.0,99.0,64.2,55.8,43.8,72.6,73.5,788.2071428571428,72.375,73.45714285714286,57.4
68.1,57.9,78.6,53.7,66.6,54.3,84.6,136.9,42.0,40.9,107.7,70.2,72.0,99.0,62.4,54.6,39.599999999999994,74.7,73.75,762.7178571428572,72.5625,73.48571428571428,56.3
62.4,57.6,83.4,52.8,68.4,55.2,86.4,134.6,42.0,41.6,109.8,70.8,72.0,99.0,60.6,53.4,35.4,76.8,74.0,737.2285714285714,72.75,73.51428571428572,55.2
56.699999999999996,57.3,88.19999999999999,51.9,70.2,56.1,88.2,132.3,42.0,42.3,111.9,71.4,72.0,99.0,58.8,52.2,31.199999999999996,78.9,74.25,711.7392857142858,72.9375,73.54285714285714,54.1
51.0,57.0,93.0,51.0,72.0,57.0,90.0,130.0,42.0,43.0,114.0,72.0,72.0,99.0,57.0,51.0,27.0,81.0,74.5,686.25,73.125,73.57142857142857,53.0
47.7,54.0,84.6,49.8,71.1,59.4,89.1,126.0,44.5,48.9,114.0,70.9,72.0,97.6,51.3,59.1,26.1,80.7,73.54285714285714,709.3744897959183,70.7375,73.57142857142857,55.3
44.4,51.0,76.2,48.6,70.2,61.8,88.2,122.0,47.0,54.8,114.0,69.8,72.0,96.2,45.6,67.2,25.2,80.4,72.58571428571429,732.4989795918367,68.35,73.57142857142857,57.6
