S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
114.0,126.0,111.0,180.0,63.0,18.0,130.0,66.0,153.0,72.0,117.0,102.0,99.0,105.0,18.0,96.0,105.0,39.0,104.0,1516.4285714285713,94.33333333333333,114.0,80.0
108.6,119.7,113.1,174.6,69.9,19.8,128.7,66.0,148.8,72.0,113.4,108.6,93.6,99.0,18.9,90.3,105.6,39.0,102.55714285714285,1519.4387755102039,93.375,111.4,78.3
103.2,113.4,115.2,169.2,76.8,21.6,127.4,66.0,144.6,72.0,109.8,115.2,88.2,93.0,19.8,84.6,106.2,39.0,101.11428571428571,1522.4489795918366,92.41666666666666,108.8,76.6
97.8,107.1,117.3,163.8,83.7,23.4,126.1,66.0,140.4,72.0,106.2,121.8,82.8,87.0,20.7,78.9,106.8,39.0,99.67142857142858,1525.4591836734694,91.45833333333333,106.2,74.9
92.4,100.8,119.4,158.4,90.6,25.2,124.8,66.0,136.2,72.0,102.6,128.4,77.4,81.0,21.6,73.2,107.4,39.0,98.22857142857143,1528.469387755102,90.5,103.6,73.2
87.0,94.5,121.5,153.0,97.5,27.0,123.5,66.0,132.0,72.0,99.0,135.0,72.0,75.0,22.5,67.5,108.0,39.0,96.78571428571428,1531.4795918367345,89.54166666666666,101.0,71.5
81.6,88.2,123.6,147.6,104.4,28.8,122.2,66.0,127.8,72.0,95.4,141.6,66.6,69.0,23.4,61.8,108.6,39.0,95.34285714285714,1534.4897959183672,88.58333333333333,98.4,69.8
76.19999999999999,81.9,125.7,142.2,111.30000000000001,30.6,120.9,66.0,123.6,72.0,91.8,148.2,61.199999999999996,63.0,24.3,56.1,109.2,39.0,93.9,1537.5,87.625,95.8,68.1
70.8,75.6,127.8,136.8,118.2,32.4,119.6,66.0,119.4,72.0,88.2,154.8,55.8,57.0,25.2,50.4,109.8,39.0,92.45714285714286,1540.5102040816325,86.66666666666667,93.2,66.4
65.4,69.30000000000001,129.9,131.4,125.1,34.2,118.3,66.0,115.19999999999999,72.0,84.6,161.4,50.4,51.0,26.1,44.699999999999996,110.4,39.0,91.0142857142857,1543.520408163265,85.70833333333333,90.6,64.7
