S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
6.75,15.0,39.75,35.25,6.75,48.0,39.25,28.0,21.0,12.75,19.0,20.25,6.75,9.75,27.0,24.75,16.5,22.961538461538463,955.3668639053253,20.55,16.625,32.3125,19.5
12.0,0.0,20.25,27.0,11.25,23.25,32.25,5.5,21.0,12.75,14.0,13.5,9.0,0.0,17.25,33.75,26.25,15.519230769230768,359.8491124260356,15.6,11.0625,19.875,19.3125
7.5,9.75,22.5,9.75,9.0,18.75,25.0,2.25,12.5,21.0,16.75,34.0,10.0,15.75,24.75,19.5,17.25,15.288461538461538,290.55917159763317,16.85,11.875,16.75,19.3125
12.0,15.0,15.75,20.25,2.25,12.75,16.75,2.25,23.25,12.0,13.75,49.5,6.75,15.0,29.25,9.75,21.0,15.557692307692308,463.10059171597635,18.9,10.0,16.9375,18.75
15.0,27.75,6.75,15.0,17.25,6.75,18.0,4.25,22.0,12.0,13.0,49.5,6.75,15.0,19.5,18.75,22.5,16.46153846153846,595.6952662721894,20.45,11.0625,16.875,18.9375
17.25,32.25,14.25,12.0,9.0,4.5,22.5,9.75,15.25,19.5,20.0,18.75,3.0,4.5,43.5,2.25,21.75,15.23076923076923,269.7633136094675,10.1,16.625,20.25,18.0
6.75,9.75,27.0,2.25,21.75,0.0,23.5,12.25,19.5,4.5,19.5,18.75,4.5,41.25,40.5,2.25,19.5,13.076923076923077,305.31656804733734,12.9,10.75,15.625,25.875
6.75,0.0,12.0,9.0,30.0,48.75,15.75,8.0,22.5,2.25,17.75,18.75,9.0,30.75,7.5,2.25,12.0,15.423076923076923,733.275147928994,25.8,8.6875,9.1875,13.125
24.75,2.25,21.0,12.75,22.5,202.5,14.5,4.5,33.25,4.75,22.5,6.75,13.5,6.75,12.0,27.0,19.5,29.653846153846153,6571.819526627218,55.7,14.125,12.625,16.3125
24.75,0.0,51.75,45.0,40.5,324.0,8.75,7.0,101.25,29.25,45.25,27.0,22.5,2.25,24.75,44.25,17.25,55.92307692307693,15338.340236686392,103.05,26.5625,26.375,22.125
141.0,35.25,75.0,188.25,90.0,702.75,53.25,236.75,174.0,105.25,233.25,105.75,172.75,4.5,19.5,72.75,9.75,177.94230769230768,63533.73076923078,249.05,179.0625,87.9375,26.625
396.0,189.0,114.0,262.5,117.0,1087.5,100.5,267.75,283.25,411.75,450.75,244.0,369.25,2.25,27.0,90.0,27.75,330.25,122392.14497041421,420.2,381.5625,166.5,36.75
303.75,309.75,208.5,385.5,195.75,1368.0,115.0,202.0,528.75,637.5,381.25,445.5,438.75,31.5,31.5,151.5,60.0,424.6153846153846,132195.13313609466,595.35,381.125,254.6875,68.625
475.5,455.25,313.5,648.0,226.5,1413.0,166.5,386.25,676.5,634.75,378.75,555.75,434.25,61.5,27.75,233.25,65.25,520.3461538461538,154067.13905325445,661.2,468.8125,395.8125,96.9375
511.5,551.25,440.25,801.75,566.25,1548.0,268.0,721.5,968.75,891.75,547.0,808.0,600.25,96.75,32.25,260.25,135.0,709.5576923076924,182856.28698224854,898.25,667.9375,515.3125,131.0625
656.25,777.75,425.25,686.25,608.25,1530.0,390.0,672.75,1469.25,1008.75,574.0,927.75,831.0,97.5,26.25,216.0,151.5,812.0961538461538,198830.6449704142,1073.25,727.9375,569.8125,122.8125
777.0,669.0,426.0,645.0,1004.25,1380.0,504.75,743.25,1393.5,989.25,577.25,999.75,792.0,63.0,20.25,277.5,201.75,838.5384615384615,146357.600591716,1113.9,771.6875,561.1875,140.625
837.0,858.75,492.0,768.75,838.5,1098.0,562.5,925.5,1181.75,982.0,612.75,865.75,743.0,132.0,15.75,318.75,243.75,828.173076923077,75379.82840236687,945.4,839.3125,670.5,177.5625
801.75,783.75,695.25,797.25,750.75,918.0,720.25,880.5,942.0,1013.25,580.5,870.0,793.5,138.75,21.0,432.75,265.5,811.2884615384615,42059.80473372782,854.85,819.0,749.125,214.5
