S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
9.333333333333334,4.333333333333333,24.0,3.0,34.333333333333336,37.0,0.0,3.0,0.0,10.0,17.0,3.0,14.0,17.0,12.230769230769232,307.19132149901384,7.333333333333333,20.533333333333335,6.166666666666667,4.25
9.0,9.0,21.0,6.0,42.0,23.0,0.0,20.0,3.0,0.0,20.0,14.0,6.0,22.0,13.307692307692307,302.1656804733728,7.166666666666667,23.0,7.5,5.5
9.0,3.0,10.333333333333334,3.0,35.333333333333336,15.333333333333334,0.0,9.0,6.0,6.0,3.0,12.0,43.0,12.333333333333334,11.923076923076925,409.52662721893495,11.666666666666666,14.6,6.0,3.0833333333333335
13.333333333333334,19.0,6.0,4.333333333333333,26.0,3.0,0.0,0.0,6.0,6.0,3.0,15.0,46.0,7.333333333333333,11.35897435897436,392.8402366863906,12.666666666666666,10.8,8.833333333333334,1.8333333333333333
23.0,9.0,7.333333333333333,9.0,42.0,3.0,0.0,11.0,7.0,3.0,3.0,13.0,3.0,7.333333333333333,10.256410256410255,218.15384615384616,4.833333333333333,14.466666666666665,16.0,1.8333333333333333
30.0,9.0,1.3333333333333333,12.0,46.0,10.333333333333334,0.0,18.0,13.0,3.0,9.0,19.0,3.0,4.333333333333333,13.35897435897436,242.67455621301778,7.833333333333333,16.933333333333334,21.0,1.0833333333333333
30.0,9.0,18.0,9.0,63.0,9.0,0.0,10.0,13.0,3.0,6.0,9.0,13.0,5.666666666666667,14.769230769230768,313.2426035502959,7.333333333333333,21.8,19.5,1.4166666666666667
13.0,4.333333333333333,15.0,6.0,56.0,9.0,0.0,0.0,6.0,73.0,30.0,6.0,10.0,10.333333333333334,17.564102564102566,1217.8579881656806,20.833333333333332,16.866666666666667,9.5,2.5833333333333335
14.333333333333334,3.0,6.0,3.0,53.0,18.0,0.0,93.0,9.0,390.0,927.0,354.0,3.0,52.333333333333336,144.10256410256412,139821.72781065092,280.5,34.6,8.666666666666668,13.083333333333334
20.0,3.0,6.0,1.3333333333333333,28.0,79.0,0.0,2685.0,3.0,478.0,4033.0,266.0,39.0,119.33333333333333,587.7948717948718,3687733.1597633143,803.1666666666666,560.2,10.666666666666666,29.833333333333332
13.0,8.0,7.333333333333333,6.0,21.0,144.0,0.0,3020.0,0.0,709.0,998.0,600.0,132.0,298.3333333333333,435.2564102564102,896086.426035503,406.5,640.0666666666667,9.5,74.58333333333333
15.0,10.0,9.0,37.0,49.0,116.33333333333333,0.0,5531.0,0.0,393.0,887.0,540.0,212.0,578.3333333333334,599.9487179487179,2269235.514792899,338.6666666666667,1143.0666666666666,26.0,144.58333333333334
7.333333333333333,6.0,3.0,39.0,129.0,254.0,0.0,3618.0,3.0,535.0,440.0,952.0,326.0,708.3333333333334,485.56410256410254,1349304.6982248516,376.0,802.0,23.166666666666668,177.08333333333334
6.0,52.0,24.0,48.0,229.0,466.0,0.0,3079.0,12.0,538.0,464.0,1039.0,411.0,645.0,489.8461538461538,841689.1242603549,410.6666666666667,770.0,27.0,161.25
10.333333333333334,91.0,53.0,30.0,187.33333333333334,612.3333333333334,0.0,6544.0,19.0,705.0,658.0,703.0,494.0,528.3333333333334,777.4615384615385,5158727.357001972,429.8333333333333,1497.5333333333333,20.166666666666668,132.08333333333334
13.0,101.0,33.0,43.333333333333336,160.33333333333334,700.0,0.0,4018.0,7.0,243.0,583.0,193.0,432.0,471.0,502.05128205128204,1887384.2366863908,243.0,1002.4666666666666,28.166666666666668,117.75
13.0,48.0,48.0,51.333333333333336,251.0,739.0,0.0,1183.0,18.0,137.0,72.0,81.0,455.0,468.3333333333333,238.17948717948718,269379.66863905324,127.16666666666667,453.8,32.16666666666667,117.08333333333333
19.0,33.0,52.333333333333336,73.0,303.0,558.0,0.0,185.0,24.0,54.0,46.0,89.0,461.0,448.0,145.94871794871793,33911.78698224852,112.33333333333333,226.2666666666667,46.0,112.0
15.0,55.0,27.0,79.0,338.3333333333333,493.0,0.0,60.0,3.0,69.0,55.0,53.0,340.0,330.3333333333333,122.10256410256409,27016.48520710059,86.66666666666667,194.66666666666666,47.0,82.58333333333333
12.0,36.333333333333336,30.0,61.333333333333336,304.0,480.3333333333333,0.0,16.0,0.0,84.0,64.0,51.0,303.0,197.0,110.92307692307692,26625.526627218933,83.66666666666667,173.33333333333334,36.66666666666667,49.25
14.0,13.0,67.0,88.0,303.3333333333333,326.3333333333333,0.0,20.0,3.0,34.0,56.0,51.0,226.0,132.0,92.43589743589745,14887.195266272189,61.666666666666664,145.93333333333334,51.0,33.0
22.0,9.0,46.0,77.33333333333333,193.0,168.0,0.0,33.0,6.0,53.0,56.0,82.0,321.0,136.33333333333334,82.02564102564104,10921.005917159764,86.33333333333333,89.8,49.666666666666664,34.083333333333336
27.0,17.333333333333332,36.333333333333336,74.0,124.0,158.0,0.0,16.0,9.0,47.0,41.0,67.0,163.0,149.33333333333334,59.97435897435897,3610.639053254438,54.5,70.33333333333334,50.5,37.333333333333336
