S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
0.0,0.0,45.0,0.0,0.0,6.0,0.0,21.0,0.0,0.0,0.0,30.0,0.0,0.0,7.846153846153846,200.13017751479296,8.5,5.25,10.0,0.0
0.0,0.0,45.0,0.0,0.0,5.4,0.0,18.9,0.0,0.0,0.0,40.8,0.0,0.0,8.46923076923077,322.37041420118345,8.4,4.725,13.6,0.0
0.0,0.0,45.0,0.0,0.0,4.8,0.0,16.8,0.0,0.0,0.0,51.6,0.0,0.0,9.092307692307692,444.6106508875739,8.3,4.2,17.2,0.0
0.0,0.0,45.0,0.0,0.0,4.2,0.0,14.7,0.0,0.0,0.0,62.400000000000006,0.0,0.0,9.715384615384615,566.8508875739644,8.2,3.675,20.8,0.0
0.0,0.0,45.0,0.0,0.0,3.6,0.0,12.6,0.0,0.0,0.0,73.2,0.0,0.0,10.338461538461537,689.091124260355,8.1,3.15,24.4,0.0
0.0,0.0,45.0,0.0,0.0,3.0,0.0,10.5,0.0,0.0,0.0,84.0,0.0,0.0,10.961538461538462,811.3313609467455,8.0,2.625,28.0,0.0
0.0,0.0,45.0,0.0,0.0,2.4000000000000004,0.0,8.399999999999999,0.0,0.0,0.0,94.80000000000001,0.0,0.0,11.584615384615384,933.5715976331359,7.9,2.0999999999999996,31.6,0.0
0.0,0.0,45.0,0.0,0.0,1.7999999999999998,0.0,6.299999999999999,0.0,0.0,0.0,105.60000000000001,0.0,0.0,12.207692307692309,1055.8118343195263,7.8,1.5749999999999997,35.2,0.0
0.0,0.0,45.0,0.0,0.0,1.2000000000000002,0.0,4.199999999999999,0.0,0.0,0.0,116.4,0.0,0.0,12.830769230769231,1178.0520710059168,7.7,1.0499999999999998,38.8,0.0
0.0,0.0,45.0,0.0,0.0,0.6000000000000005,0.0,2.099999999999998,0.0,0.0,0.0,127.2,0.0,0.0,13.453846153846154,1300.2923076923073,7.6,0.5249999999999995,42.4,0.0
0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,14.076923076923077,1422.5325443786978,7.5,0.0,46.0,0.0
0.0,3.0,42.7,0.0,0.4,0.0,0.0,0.0,0.0,0.9,0.0,135.9,0.0,0.0,14.069230769230769,1377.3715976331357,7.116666666666666,0.225,46.43333333333334,0.0
0.0,6.0,40.4,0.0,0.8,0.0,0.0,0.0,0.0,1.8,0.0,133.8,0.0,0.0,14.061538461538461,1332.2106508875736,6.733333333333333,0.45,46.86666666666667,0.0
0.0,9.0,38.1,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,2.7,0.0,131.7,0.0,0.0,14.053846153846154,1287.0497041420117,6.35,0.675,47.3,0.0
