S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,87.0,9.0,159.0,10.153846153846153,535.207100591716,3.6,32.0,3.6,39.75
0.0,0.0,0.0,0.9,17.1,0.0,0.0,16.2,0.9,0.9,0.9,94.5,9.0,151.0,10.799999999999999,659.694674556213,3.42,34.5,3.96,37.75
0.0,0.0,0.0,1.8,16.2,0.0,0.0,14.4,1.8,1.8,1.8,102.0,9.0,143.0,11.446153846153846,784.1822485207101,3.24,37.0,4.32,35.75
0.0,0.0,0.0,2.7,15.3,0.0,0.0,12.6,2.7,2.7,2.7,109.5,9.0,135.0,12.092307692307692,908.6698224852073,3.06,39.5,4.68,33.75
0.0,0.0,0.0,3.6,14.4,0.0,0.0,10.8,3.6,3.6,3.6,117.0,9.0,127.0,12.73846153846154,1033.1573964497043,2.88,42.0,5.04,31.75
0.0,0.0,0.0,4.5,13.5,0.0,0.0,9.0,4.5,4.5,4.5,124.5,9.0,119.0,13.384615384615385,1157.6449704142015,2.7,44.5,5.4,29.75
0.0,0.0,0.0,5.4,12.6,0.0,0.0,7.199999999999999,5.4,5.4,5.4,132.0,9.0,111.0,14.03076923076923,1282.1325443786986,2.52,47.0,5.76,27.75
0.0,0.0,0.0,6.3,11.7,0.0,0.0,5.4,6.3,6.3,6.3,139.5,9.0,103.0,14.676923076923078,1406.6201183431958,2.34,49.5,6.12,25.75
0.0,0.0,0.0,7.2,10.8,0.0,0.0,3.5999999999999996,7.2,7.2,7.2,147.0,9.0,95.0,15.323076923076924,1531.1076923076928,2.16,52.0,6.48,23.75
0.0,0.0,0.0,8.1,9.9,0.0,0.0,1.8000000000000007,8.1,8.1,8.1,154.5,9.0,87.0,15.96923076923077,1655.59526627219,1.9800000000000002,54.5,6.84,21.75
0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,9.0,162.0,9.0,79.0,16.615384615384617,1780.082840236687,1.8,57.0,7.2,19.75
0.0,0.0,0.0,9.0,8.1,0.0,0.0,0.0,10.2,9.0,9.0,153.3,8.1,71.1,15.900000000000002,1641.6532544378704,1.62,53.8,7.44,17.775
0.0,0.0,0.0,9.0,7.2,0.0,0.0,0.0,11.4,9.0,9.0,144.6,7.2,63.2,15.184615384615386,1503.2236686390538,1.44,50.6,7.68,15.8
0.0,0.0,0.0,9.0,6.3,0.0,0.0,0.0,12.6,9.0,9.0,135.9,6.3,55.3,14.46923076923077,1364.794082840237,1.26,47.4,7.92,13.825
0.0,0.0,0.0,9.0,5.4,0.0,0.0,0.0,13.8,9.0,9.0,127.2,5.4,47.4,13.753846153846155,1226.3644970414205,1.08,44.2,8.16,11.85
0.0,0.0,0.0,9.0,4.5,0.0,0.0,0.0,15.0,9.0,9.0,118.5,4.5,39.5,13.03846153846154,1087.934911242604,0.9000000000000001,41.0,8.4,9.875
0.0,0.0,0.0,9.0,3.5999999999999996,0.0,0.0,0.0,16.2,9.0,9.0,109.80000000000001,3.5999999999999996,31.599999999999994,12.323076923076924,949.5053254437872,0.72,37.8,8.64,7.899999999999999
0.0,0.0,0.0,9.0,2.7,0.0,0.0,0.0,17.4,9.0,9.0,101.10000000000001,2.7,23.699999999999996,11.607692307692307,811.0757396449706,0.54,34.599999999999994,8.879999999999999,5.924999999999999
0.0,0.0,0.0,9.0,1.7999999999999998,0.0,0.0,0.0,18.6,9.0,9.0,92.4,1.7999999999999998,15.799999999999997,10.892307692307693,672.646153846154,0.3600000000000001,31.4,9.12,3.9499999999999993
0.0,0.0,0.0,9.0,0.9000000000000004,0.0,0.0,0.0,19.799999999999997,9.0,9.0,83.7,0.9000000000000004,7.8999999999999915,10.176923076923078,534.2165680473374,0.18000000000000016,28.2,9.36,1.9749999999999979
0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,21.0,9.0,9.0,75.0,0.0,0.0,9.461538461538462,395.7869822485206,0.0,25.0,9.6,0.0
0.0,3.9,0.0,9.4,0.0,0.0,0.0,0.0,18.9,9.0,8.1,67.5,2.1,0.4,9.146153846153846,369.2449704142011,0.0,24.5,9.08,0.1
0.0,7.8,0.0,9.8,0.0,0.0,0.0,0.0,16.8,9.0,7.2,60.0,4.2,0.8,8.830769230769231,342.70295857988157,0.0,24.0,8.56,0.2
0.0,11.7,0.0,10.2,0.0,0.0,0.0,0.0,14.7,9.0,6.3,52.5,6.300000000000001,1.2000000000000002,8.515384615384615,316.160946745562,0.0,23.5,8.04,0.30000000000000004
0.0,15.6,0.0,10.6,0.0,0.0,0.0,0.0,12.6,9.0,5.4,45.0,8.4,1.6,8.2,289.6189349112425,0.0,23.0,7.52,0.4
0.0,19.5,0.0,11.0,0.0,0.0,0.0,0.0,10.5,9.0,4.5,37.5,10.5,2.0,7.884615384615385,263.076923076923,0.0,22.5,7.0,0.5
0.0,23.4,0.0,11.4,0.0,0.0,0.0,0.0,8.399999999999999,9.0,3.5999999999999996,30.0,12.600000000000001,2.4000000000000004,7.569230769230769,236.53491124260347,0.0,22.0,6.48,0.6000000000000001
0.0,27.3,0.0,11.8,0.0,0.0,0.0,0.0,6.299999999999999,9.0,2.7,22.5,14.700000000000001,2.8000000000000003,7.253846153846154,209.99289940828396,0.0,21.5,5.960000000000001,0.7000000000000001
0.0,31.2,0.0,12.2,0.0,0.0,0.0,0.0,4.199999999999999,9.0,1.7999999999999998,15.0,16.8,3.2,6.938461538461539,183.45088757396445,0.0,21.0,5.44,0.8
0.0,35.1,0.0,12.6,0.0,0.0,0.0,0.0,2.099999999999998,9.0,0.9000000000000004,7.5,18.900000000000002,3.6,6.623076923076923,156.90887573964494,0.0,20.5,4.920000000000001,0.9
0.0,39.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,21.0,4.0,6.3076923076923075,130.36686390532543,0.0,20.0,4.4,1.0
0.9,35.1,0.0,11.7,0.0,0.0,0.0,0.0,0.0,8.1,0.0,3.3,21.0,4.5,6.161538461538461,127.37396449704141,0.18,19.8,3.9600000000000004,1.125
1.8,31.2,0.0,10.4,0.0,0.0,0.0,0.0,0.0,7.2,0.0,6.6,21.0,5.0,6.015384615384615,124.3810650887574,0.36,19.6,3.5200000000000005,1.25
2.7,27.3,0.0,9.1,0.0,0.0,0.0,0.0,0.0,6.3,0.0,9.899999999999999,21.0,5.5,5.869230769230769,121.38816568047338,0.54,19.4,3.08,1.375
3.6,23.4,0.0,7.8,0.0,0.0,0.0,0.0,0.0,5.4,0.0,13.2,21.0,6.0,5.723076923076923,118.39526627218936,0.72,19.2,2.64,1.5
4.5,19.5,0.0,6.5,0.0,0.0,0.0,0.0,0.0,4.5,0.0,16.5,21.0,6.5,5.576923076923077,115.40236686390534,0.8999999999999999,19.0,2.2,1.625
5.4,15.600000000000001,0.0,5.199999999999999,0.0,0.0,0.0,0.0,0.0,3.5999999999999996,0.0,19.799999999999997,21.0,7.0,5.430769230769231,112.40946745562132,1.08,18.8,1.7599999999999998,1.75
6.3,11.7,0.0,3.9000000000000004,0.0,0.0,0.0,0.0,0.0,2.7,0.0,23.099999999999998,21.0,7.5,5.2846153846153845,109.4165680473373,1.26,18.6,1.3199999999999998,1.875
7.2,7.800000000000001,0.0,2.5999999999999996,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,0.0,26.4,21.0,8.0,5.138461538461538,106.42366863905328,1.44,18.4,0.8799999999999999,2.0
8.1,3.8999999999999986,0.0,1.299999999999999,0.0,0.0,0.0,0.0,0.0,0.9000000000000004,0.0,29.7,21.0,8.5,4.992307692307692,103.43076923076926,1.6199999999999999,18.2,0.43999999999999995,2.125
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,21.0,9.0,4.846153846153846,100.43786982248524,1.8,18.0,0.0,2.25
9.0,0.0,0.0,0.0,1.6,0.0,0.0,0.9,0.0,0.0,0.0,29.7,18.9,8.5,4.623076923076923,92.92544378698229,2.12,16.2,0.18,2.125
9.0,0.0,0.0,0.0,3.2,0.0,0.0,1.8,0.0,0.0,0.0,26.4,16.8,8.0,4.3999999999999995,85.41301775147932,2.44,14.4,0.36,2.0
9.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,2.7,0.0,0.0,0.0,23.1,14.7,7.5,4.176923076923076,77.90059171597636,2.76,12.6,0.54,1.875
9.0,0.0,0.0,0.0,6.4,0.0,0.0,3.6,0.0,0.0,0.0,19.8,12.6,7.0,3.9538461538461536,70.3881656804734,3.08,10.8,0.72,1.75
9.0,0.0,0.0,0.0,8.0,0.0,0.0,4.5,0.0,0.0,0.0,16.5,10.5,6.5,3.730769230769231,62.87573964497044,3.4000000000000004,9.0,0.8999999999999999,1.625
9.0,0.0,0.0,0.0,9.600000000000001,0.0,0.0,5.4,0.0,0.0,0.0,13.200000000000003,8.399999999999999,6.0,3.5076923076923077,55.36331360946748,3.7199999999999998,7.199999999999999,1.08,1.5
9.0,0.0,0.0,0.0,11.200000000000001,0.0,0.0,6.3,0.0,0.0,0.0,9.900000000000002,6.299999999999999,5.5,3.2846153846153845,47.85088757396452,4.04,5.4,1.26,1.375
9.0,0.0,0.0,0.0,12.8,0.0,0.0,7.2,0.0,0.0,0.0,6.600000000000001,4.199999999999999,5.0,3.0615384615384613,40.33846153846156,4.36,3.5999999999999996,1.44,1.25
9.0,0.0,0.0,0.0,14.4,0.0,0.0,8.1,0.0,0.0,0.0,3.3000000000000007,2.099999999999998,4.5,2.8384615384615386,32.826035502958604,4.68,1.8000000000000007,1.6199999999999999,1.125
9.0,0.0,0.0,0.0,16.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,2.6153846153846154,25.313609467455628,5.0,0.0,1.8,1.0
8.1,0.0,0.0,0.0,17.7,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.6,2.676923076923077,30.738461538461543,5.16,0.0,1.8,0.9
7.2,0.0,0.0,0.0,19.4,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.2,2.7384615384615385,36.163313609467465,5.32,0.0,1.8,0.8
6.3,0.0,0.0,0.0,21.1,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.8,2.8,41.58816568047338,5.4799999999999995,0.0,1.8,0.7
5.4,0.0,0.0,0.0,22.8,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.4,2.8615384615384616,47.013017751479296,5.64,0.0,1.8,0.6
4.5,0.0,0.0,0.0,24.5,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,2.9230769230769234,52.43786982248521,5.8,0.0,1.8,0.5
3.5999999999999996,0.0,0.0,0.0,26.2,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.5999999999999996,2.9846153846153847,57.862721893491134,5.96,0.0,1.8,0.3999999999999999
2.7,0.0,0.0,0.0,27.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.1999999999999997,3.046153846153846,63.28757396449705,6.12,0.0,1.8,0.29999999999999993
1.7999999999999998,0.0,0.0,0.0,29.6,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999998,3.1076923076923078,68.71242603550297,6.279999999999999,0.0,1.8,0.19999999999999996
0.9000000000000004,0.0,0.0,0.0,31.299999999999997,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,3.1692307692307695,74.13727810650889,6.4399999999999995,0.0,1.8,0.09999999999999998
