S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
18.0,0.0,9.0,9.0,27.0,18.0,0.0,9.0,0.0,0.0,0.0,0.0,42.0,27.0,10.153846153846153,157.20710059171597,7.0,12.6,13.5,6.75
17.1,0.0,8.1,9.0,30.3,18.0,0.0,10.8,0.9,0.0,0.0,3.3,37.8,26.1,10.407692307692308,171.41538461538462,7.0,13.44,13.05,6.525
16.2,0.0,7.2,9.0,33.6,18.0,0.0,12.6,1.8,0.0,0.0,6.6,33.6,25.2,10.661538461538461,185.62366863905328,7.0,14.28,12.6,6.3
15.3,0.0,6.3,9.0,36.9,18.0,0.0,14.4,2.7,0.0,0.0,9.899999999999999,29.4,24.3,10.915384615384614,199.8319526627219,7.0,15.120000000000001,12.15,6.075
14.4,0.0,5.4,9.0,40.2,18.0,0.0,16.2,3.6,0.0,0.0,13.2,25.2,23.4,11.169230769230769,214.04023668639056,7.0,15.96,11.7,5.85
13.5,0.0,4.5,9.0,43.5,18.0,0.0,18.0,4.5,0.0,0.0,16.5,21.0,22.5,11.423076923076923,228.2485207100592,7.0,16.8,11.25,5.625
12.6,0.0,3.5999999999999996,9.0,46.8,18.0,0.0,19.8,5.4,0.0,0.0,19.799999999999997,16.799999999999997,21.6,11.676923076923076,242.45680473372786,7.0,17.64,10.8,5.4
11.7,0.0,2.7,9.0,50.099999999999994,18.0,0.0,21.6,6.3,0.0,0.0,23.099999999999998,12.599999999999998,20.7,11.93076923076923,256.6650887573965,7.0,18.48,10.35,5.175
10.8,0.0,1.7999999999999998,9.0,53.4,18.0,0.0,23.4,7.2,0.0,0.0,26.4,8.399999999999999,19.8,12.184615384615384,270.87337278106514,7.0,19.32,9.9,4.95
9.9,0.0,0.9000000000000004,9.0,56.7,18.0,0.0,25.2,8.1,0.0,0.0,29.7,4.199999999999996,18.9,12.438461538461539,285.0816568047338,7.0,20.16,9.45,4.725
9.0,0.0,0.0,9.0,60.0,18.0,0.0,27.0,9.0,0.0,0.0,33.0,0.0,18.0,12.692307692307692,299.28994082840245,7.0,21.0,9.0,4.5
9.0,0.0,0.0,8.1,60.0,19.9,0.0,27.0,8.1,0.9,0.0,30.6,0.0,17.1,12.584615384615384,301.56923076923084,6.6,21.38,8.55,4.275
9.0,0.0,0.0,7.2,60.0,21.8,0.0,27.0,7.2,1.8,0.0,28.2,0.0,16.2,12.476923076923077,303.84852071005923,6.2,21.76,8.1,4.05
9.0,0.0,0.0,6.3,60.0,23.7,0.0,27.0,6.3,2.7,0.0,25.8,0.0,15.3,12.369230769230768,306.1278106508877,5.8,22.14,7.65,3.825
9.0,0.0,0.0,5.4,60.0,25.6,0.0,27.0,5.4,3.6,0.0,23.4,0.0,14.4,12.26153846153846,308.4071005917161,5.4,22.52,7.2,3.6
9.0,0.0,0.0,4.5,60.0,27.5,0.0,27.0,4.5,4.5,0.0,21.0,0.0,13.5,12.153846153846153,310.68639053254446,5.0,22.9,6.75,3.375
9.0,0.0,0.0,3.5999999999999996,60.0,29.4,0.0,27.0,3.5999999999999996,5.4,0.0,18.6,0.0,12.6,12.046153846153846,312.96568047337286,4.6,23.28,6.3,3.15
9.0,0.0,0.0,2.7,60.0,31.299999999999997,0.0,27.0,2.7,6.3,0.0,16.2,0.0,11.7,11.938461538461539,315.24497041420125,4.199999999999999,23.66,5.85,2.925
9.0,0.0,0.0,1.7999999999999998,60.0,33.2,0.0,27.0,1.7999999999999998,7.2,0.0,13.8,0.0,10.8,11.83076923076923,317.5242603550297,3.8,24.04,5.4,2.7
9.0,0.0,0.0,0.9000000000000004,60.0,35.099999999999994,0.0,27.0,0.9000000000000004,8.1,0.0,11.400000000000002,0.0,9.9,11.723076923076922,319.8035502958581,3.4,24.42,4.95,2.475
9.0,0.0,0.0,0.0,60.0,37.0,0.0,27.0,0.0,9.0,0.0,9.0,0.0,9.0,11.615384615384615,322.0828402366865,3.0,24.8,4.5,2.25
9.4,3.9,0.0,0.0,60.0,33.3,0.0,24.3,0.0,8.1,0.0,8.1,0.9,9.4,11.384615384615385,322.526627218935,2.85,24.3,4.7,2.35
9.8,7.8,0.0,0.0,60.0,29.6,0.0,21.6,0.0,7.2,0.0,7.2,1.8,9.8,11.153846153846153,322.97041420118353,2.7,23.8,4.9,2.45
10.2,11.7,0.0,0.0,60.0,25.9,0.0,18.9,0.0,6.3,0.0,6.3,2.7,10.2,10.923076923076923,323.414201183432,2.55,23.3,5.1,2.55
10.6,15.6,0.0,0.0,60.0,22.2,0.0,16.2,0.0,5.4,0.0,5.4,3.6,10.6,10.692307692307692,323.8579881656805,2.4,22.8,5.3,2.65
11.0,19.5,0.0,0.0,60.0,18.5,0.0,13.5,0.0,4.5,0.0,4.5,4.5,11.0,10.461538461538462,324.30177514792905,2.25,22.3,5.5,2.75
11.4,23.4,0.0,0.0,60.0,14.799999999999997,0.0,10.799999999999997,0.0,3.5999999999999996,0.0,3.5999999999999996,5.4,11.4,10.23076923076923,324.7455621301776,2.1,21.8,5.7,2.85
11.8,27.3,0.0,0.0,60.0,11.099999999999998,0.0,8.099999999999998,0.0,2.7,0.0,2.7,6.3,11.8,10.0,325.1893491124261,1.95,21.3,5.9,2.95
12.2,31.2,0.0,0.0,60.0,7.399999999999999,0.0,5.399999999999999,0.0,1.7999999999999998,0.0,1.7999999999999998,7.2,12.2,9.76923076923077,325.63313609467457,1.8,20.8,6.1,3.05
12.6,35.1,0.0,0.0,60.0,3.6999999999999957,0.0,2.6999999999999993,0.0,0.9000000000000004,0.0,0.9000000000000004,8.1,12.6,9.538461538461538,326.0769230769231,1.6500000000000001,20.3,6.3,3.15
13.0,39.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,9.307692307692308,326.5207100591716,1.5,19.8,6.5,3.25
12.6,36.0,0.0,0.9,59.7,0.0,0.0,0.0,0.0,0.0,0.9,2.1,9.0,13.5,9.323076923076924,316.4165680473373,2.0,19.14,6.75,3.375
12.2,33.0,0.0,1.8,59.4,0.0,0.0,0.0,0.0,0.0,1.8,4.2,9.0,14.0,9.338461538461539,306.312426035503,2.5,18.48,7.0,3.5
11.8,30.0,0.0,2.7,59.1,0.0,0.0,0.0,0.0,0.0,2.7,6.300000000000001,9.0,14.5,9.353846153846154,296.2082840236686,3.0,17.82,7.25,3.625
11.4,27.0,0.0,3.6,58.8,0.0,0.0,0.0,0.0,0.0,3.6,8.4,9.0,15.0,9.36923076923077,286.1041420118343,3.5,17.16,7.5,3.75
11.0,24.0,0.0,4.5,58.5,0.0,0.0,0.0,0.0,0.0,4.5,10.5,9.0,15.5,9.384615384615385,276.0,4.0,16.5,7.75,3.875
10.6,21.0,0.0,5.4,58.2,0.0,0.0,0.0,0.0,0.0,5.4,12.600000000000001,9.0,16.0,9.4,265.8958579881657,4.5,15.84,8.0,4.0
10.2,18.0,0.0,6.3,57.9,0.0,0.0,0.0,0.0,0.0,6.3,14.700000000000001,9.0,16.5,9.415384615384616,255.79171597633137,5.0,15.18,8.25,4.125
9.8,15.0,0.0,7.2,57.6,0.0,0.0,0.0,0.0,0.0,7.2,16.8,9.0,17.0,9.430769230769231,245.68757396449706,5.5,14.52,8.5,4.25
9.4,12.0,0.0,8.1,57.3,0.0,0.0,0.0,0.0,0.0,8.1,18.900000000000002,9.0,17.5,9.446153846153846,235.58343195266272,6.0,13.86,8.75,4.375
9.0,9.0,0.0,9.0,57.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,9.0,18.0,9.461538461538462,225.4792899408284,6.5,13.2,9.0,4.5
9.9,9.0,0.4,8.1,55.2,1.8,0.0,0.0,0.9,0.0,8.1,21.9,9.0,17.5,9.561538461538461,217.5869822485207,6.65,13.28,9.0,4.375
10.8,9.0,0.8,7.2,53.4,3.6,0.0,0.0,1.8,0.0,7.2,22.8,9.0,17.0,9.661538461538461,209.69467455621302,6.8,13.36,9.0,4.25
11.7,9.0,1.2000000000000002,6.3,51.6,5.4,0.0,0.0,2.7,0.0,6.3,23.7,9.0,16.5,9.761538461538462,201.80236686390532,6.95,13.44,9.0,4.125
12.6,9.0,1.6,5.4,49.8,7.2,0.0,0.0,3.6,0.0,5.4,24.6,9.0,16.0,9.861538461538462,193.91005917159765,7.1,13.52,9.0,4.0
13.5,9.0,2.0,4.5,48.0,9.0,0.0,0.0,4.5,0.0,4.5,25.5,9.0,15.5,9.961538461538462,186.01775147928996,7.25,13.6,9.0,3.875
14.4,9.0,2.4000000000000004,3.5999999999999996,46.2,10.8,0.0,0.0,5.4,0.0,3.5999999999999996,26.4,9.0,15.0,10.061538461538461,178.12544378698226,7.4,13.68,9.0,3.75
15.3,9.0,2.8000000000000003,2.7,44.4,12.6,0.0,0.0,6.3,0.0,2.7,27.3,9.0,14.5,10.161538461538461,170.23313609467456,7.55,13.76,9.0,3.625
16.2,9.0,3.2,1.7999999999999998,42.6,14.4,0.0,0.0,7.2,0.0,1.7999999999999998,28.2,9.0,14.0,10.261538461538462,162.34082840236687,7.7,13.84,9.0,3.5
17.1,9.0,3.6,0.9000000000000004,40.8,16.2,0.0,0.0,8.1,0.0,0.9000000000000004,29.1,9.0,13.5,10.361538461538462,154.4485207100592,7.85,13.92,9.0,3.375
