S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
13.05,23.25,19.35,8.1,14.1,2.7,22.9,10.75,16.950000000000003,13.5,18.75,3.6,19.200000000000003,42.3,2.25,20.85,13.916666666666668,288.59652777777774
12.945,23.025,19.477500000000003,8.0025,14.2275,2.6550000000000002,22.91,10.775,16.992500000000003,13.35,18.75,3.615,19.567500000000003,42.269999999999996,2.25,20.8275,13.89375,289.0408680555555
12.84,22.8,19.605,7.904999999999999,14.355,2.6100000000000003,22.919999999999998,10.8,17.035000000000004,13.2,18.75,3.63,19.935000000000002,42.239999999999995,2.25,20.805,13.870833333333334,289.4852083333333
12.735000000000001,22.575,19.7325,7.8075,14.4825,2.565,22.93,10.825,17.0775,13.05,18.75,3.645,20.302500000000002,42.21,2.25,20.782500000000002,13.847916666666668,289.9295486111111
12.63,22.35,19.86,7.71,14.61,2.52,22.939999999999998,10.85,17.12,12.9,18.75,3.66,20.67,42.18,2.25,20.76,13.825000000000001,290.37388888888887
12.525,22.125,19.9875,7.6125,14.7375,2.475,22.95,10.875,17.1625,12.75,18.75,3.675,21.0375,42.15,2.25,20.7375,13.802083333333334,290.81822916666664
12.42,21.9,20.115000000000002,7.515,14.865,2.43,22.96,10.9,17.205000000000002,12.6,18.75,3.69,21.405,42.12,2.25,20.715,13.779166666666667,291.2625694444444
12.315,21.675,20.2425,7.4174999999999995,14.9925,2.3850000000000002,22.97,10.925,17.247500000000002,12.45,18.75,3.705,21.7725,42.089999999999996,2.25,20.6925,13.75625,291.7069097222222
12.21,21.45,20.37,7.32,15.12,2.34,22.98,10.95,17.29,12.3,18.75,3.72,22.14,42.06,2.25,20.67,13.733333333333334,292.15125
12.105,21.225,20.4975,7.2225,15.2475,2.295,22.99,10.975,17.3325,12.15,18.75,3.735,22.5075,42.03,2.25,20.6475,13.710416666666667,292.5955902777778
12.0,21.0,20.625,7.125,15.375,2.25,23.0,11.0,17.375,12.0,18.75,3.75,22.875,42.0,2.25,20.625,13.6875,293.03993055555554
11.895,20.775,20.7525,7.0275,15.5025,2.205,23.01,11.025,17.4175,11.85,18.75,3.765,23.2425,41.97,2.25,20.6025,13.664583333333333,293.4842708333333
11.79,20.55,20.88,6.93,15.629999999999999,2.16,23.02,11.05,17.46,11.7,18.75,3.78,23.61,41.94,2.25,20.58,13.641666666666666,293.9286111111111
11.685,20.325,21.0075,6.8325000000000005,15.7575,2.115,23.03,11.075,17.5025,11.549999999999999,18.75,3.795,23.9775,41.910000000000004,2.25,20.5575,13.61875,294.3729513888889
11.58,20.1,21.135,6.735,15.885,2.07,23.04,11.1,17.545,11.399999999999999,18.75,3.81,24.345,41.88,2.25,20.535,13.595833333333333,294.8172916666667
11.475,19.875,21.262500000000003,6.6375,16.0125,2.025,23.05,11.125,17.5875,11.25,18.75,3.825,24.7125,41.85,2.25,20.5125,13.572916666666666,295.26163194444445
11.37,19.65,21.39,6.54,16.14,1.98,23.060000000000002,11.15,17.63,11.1,18.75,3.84,25.08,41.82,2.25,20.49,13.549999999999999,295.7059722222222
11.264999999999999,19.425,21.517500000000002,6.4425,16.2675,1.935,23.07,11.175,17.6725,10.95,18.75,3.855,25.447499999999998,41.79,2.25,20.467499999999998,13.527083333333332,296.1503125
