S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
6.75,0.2250000000000001,10.275000000000002,0.0,0.2250000000000001,3.1499999999999995,0.0,0.6,0.0,4.0,0.0,3.55,2.25,46.35,6.75,27.825000000000003,2.3979166666666667,60.23420138888887
6.825,0.20250000000000007,10.222500000000002,0.0,0.20250000000000007,3.0599999999999996,0.0,0.59,0.0,3.9875,0.0,3.57,2.25,46.215,6.825,27.817500000000003,2.388333333333333,59.145590277777764
6.9,0.18000000000000008,10.170000000000002,0.0,0.18000000000000008,2.9699999999999998,0.0,0.58,0.0,3.975,0.0,3.59,2.25,46.08,6.9,27.810000000000002,2.37875,58.05697916666666
6.975,0.15750000000000006,10.117500000000001,0.0,0.15750000000000006,2.88,0.0,0.57,0.0,3.9625,0.0,3.61,2.25,45.945,6.975,27.802500000000002,2.3691666666666666,56.968368055555544
7.05,0.13500000000000006,10.065000000000001,0.0,0.13500000000000006,2.7899999999999996,0.0,0.5599999999999999,0.0,3.95,0.0,3.63,2.25,45.81,7.05,27.795,2.359583333333333,55.87975694444444
7.125,0.11250000000000004,10.012500000000001,0.0,0.11250000000000004,2.6999999999999997,0.0,0.55,0.0,3.9375,0.0,3.65,2.25,45.675,7.125,27.7875,2.3499999999999996,54.79114583333333
7.2,0.09000000000000002,9.96,0.0,0.09000000000000002,2.61,0.0,0.54,0.0,3.925,0.0,3.67,2.25,45.54,7.2,27.78,2.3404166666666666,53.702534722222225
7.275,0.06750000000000003,9.9075,0.0,0.06750000000000003,2.52,0.0,0.53,0.0,3.9125,0.0,3.69,2.25,45.405,7.275,27.7725,2.330833333333333,52.61392361111112
7.35,0.04500000000000001,9.855,0.0,0.04500000000000001,2.4299999999999997,0.0,0.52,0.0,3.9,0.0,3.71,2.25,45.27,7.35,27.765,2.3212499999999996,51.52531250000001
7.425,0.022499999999999992,9.8025,0.0,0.022499999999999992,2.34,0.0,0.51,0.0,3.8875,0.0,3.73,2.25,45.135,7.425,27.7575,2.3116666666666665,50.4367013888889
7.5,0.0,9.75,0.0,0.0,2.25,0.0,0.5,0.0,3.875,0.0,3.75,2.25,45.0,7.5,27.75,2.302083333333333,49.34809027777779
7.4775,0.0,9.8775,0.0225,0.0,2.4075,0.0,0.49,0.0,3.84,0.0,3.75,2.25,45.06,7.5,27.675,2.322083333333333,50.37743055555557
7.455,0.0,10.005,0.045,0.0,2.565,0.0,0.48,0.0,3.805,0.0,3.75,2.25,45.12,7.5,27.6,2.342083333333333,51.40677083333335
7.4325,0.0,10.1325,0.0675,0.0,2.7225,0.0,0.47,0.0,3.77,0.0,3.75,2.25,45.18,7.5,27.525,2.362083333333333,52.436111111111124
7.41,0.0,10.26,0.09,0.0,2.88,0.0,0.45999999999999996,0.0,3.735,0.0,3.75,2.25,45.24,7.5,27.45,2.382083333333333,53.4654513888889
7.3875,0.0,10.3875,0.11249999999999999,0.0,3.0375,0.0,0.44999999999999996,0.0,3.7,0.0,3.75,2.25,45.3,7.5,27.375,2.402083333333333,54.49479166666668
7.365,0.0,10.515,0.135,0.0,3.1950000000000003,0.0,0.43999999999999995,0.0,3.665,0.0,3.75,2.25,45.36,7.5,27.3,2.422083333333333,55.524131944444456
7.3425,0.0,10.6425,0.1575,0.0,3.3525,0.0,0.42999999999999994,0.0,3.63,0.0,3.75,2.25,45.42,7.5,27.225,2.442083333333333,56.55347222222223
7.32,0.0,10.77,0.18,0.0,3.5100000000000002,0.0,0.41999999999999993,0.0,3.5949999999999998,0.0,3.75,2.25,45.480000000000004,7.5,27.15,2.462083333333333,57.58281250000001
7.2975,0.0,10.8975,0.20249999999999999,0.0,3.6675000000000004,0.0,0.4099999999999999,0.0,3.56,0.0,3.75,2.25,45.54,7.5,27.075,2.482083333333333,58.61215277777779
7.275,0.0,11.025,0.225,0.0,3.825,0.0,0.3999999999999999,0.0,3.525,0.0,3.75,2.25,45.6,7.5,27.0,2.502083333333333,59.641493055555564
7.2525,0.0,11.1525,0.2475,0.0,3.9825000000000004,0.0,0.3899999999999999,0.0,3.4899999999999998,0.0,3.75,2.25,45.660000000000004,7.5,26.925,2.5220833333333332,60.67083333333334
7.23,0.0,11.280000000000001,0.27,0.0,4.140000000000001,0.0,0.3799999999999999,0.0,3.455,0.0,3.75,2.25,45.72,7.5,26.85,2.5420833333333333,61.70017361111112
7.2075000000000005,0.0,11.4075,0.2925,0.0,4.2975,0.0,0.3699999999999999,0.0,3.42,0.0,3.75,2.25,45.78,7.5,26.775,2.5620833333333333,62.729513888888896
7.1850000000000005,0.0,11.535,0.315,0.0,4.455,0.0,0.3599999999999999,0.0,3.385,0.0,3.75,2.25,45.84,7.5,26.7,2.5820833333333333,63.75885416666667
7.1625,0.0,11.662500000000001,0.3375,0.0,4.612500000000001,0.0,0.34999999999999987,0.0,3.3499999999999996,0.0,3.75,2.25,45.900000000000006,7.5,26.625,2.6020833333333333,64.78819444444446
7.14,0.0,11.790000000000001,0.36,0.0,4.7700000000000005,0.0,0.33999999999999986,0.0,3.315,0.0,3.75,2.25,45.96,7.5,26.55,2.6220833333333333,65.81753472222223
7.1175,0.0,11.9175,0.3825,0.0,4.9275,0.0,0.3299999999999999,0.0,3.28,0.0,3.75,2.25,46.02,7.5,26.475,2.6420833333333333,66.84687500000001
7.095,0.0,12.045,0.405,0.0,5.085000000000001,0.0,0.3199999999999999,0.0,3.2449999999999997,0.0,3.75,2.25,46.080000000000005,7.5,26.4,2.6620833333333334,67.87621527777779
7.0725,0.0,12.172500000000001,0.4275,0.0,5.242500000000001,0.0,0.3099999999999999,0.0,3.21,0.0,3.75,2.25,46.14,7.5,26.325,2.6820833333333334,68.90555555555557
7.05,0.0,12.3,0.45,0.0,5.4,0.0,0.2999999999999999,0.0,3.175,0.0,3.75,2.25,46.2,7.5,26.25,2.7020833333333334,69.93489583333334
7.0275,0.0,12.4275,0.47250000000000003,0.0,5.5575,0.0,0.28999999999999987,0.0,3.1399999999999997,0.0,3.75,2.25,46.260000000000005,7.5,26.175,2.7220833333333334,70.96423611111112
7.005,0.0,12.555,0.495,0.0,5.715,0.0,0.2799999999999999,0.0,3.105,0.0,3.75,2.25,46.32,7.5,26.1,2.7420833333333334,71.9935763888889
6.9825,0.0,12.682500000000001,0.5175000000000001,0.0,5.8725000000000005,0.0,0.2699999999999999,0.0,3.07,0.0,3.75,2.25,46.38,7.5,26.025,2.7620833333333334,73.02291666666667
6.96,0.0,12.81,0.54,0.0,6.03,0.0,0.2599999999999999,0.0,3.035,0.0,3.75,2.25,46.44,7.5,25.95,2.7820833333333335,74.05225694444445
6.9375,0.0,12.9375,0.5625,0.0,6.1875,0.0,0.24999999999999992,0.0,3.0,0.0,3.75,2.25,46.5,7.5,25.875,2.802083333333333,75.08159722222223
6.915,0.0,13.065,0.585,0.0,6.345,0.0,0.23999999999999994,0.0,2.965,0.0,3.75,2.25,46.56,7.5,25.8,2.822083333333333,76.11093750000002
6.8925,0.0,13.192499999999999,0.6075,0.0,6.5024999999999995,0.0,0.22999999999999993,0.0,2.93,0.0,3.75,2.25,46.62,7.5,25.725,2.842083333333333,77.1402777777778
6.87,0.0,13.32,0.63,0.0,6.66,0.0,0.21999999999999995,0.0,2.895,0.0,3.75,2.25,46.68,7.5,25.65,2.862083333333333,78.16961805555557
6.8475,0.0,13.4475,0.6525000000000001,0.0,6.8175,0.0,0.20999999999999996,0.0,2.8600000000000003,0.0,3.75,2.25,46.739999999999995,7.5,25.575,2.882083333333333,79.19895833333335
6.825,0.0,13.575,0.675,0.0,6.975,0.0,0.19999999999999996,0.0,2.825,0.0,3.75,2.25,46.8,7.5,25.5,2.902083333333333,80.22829861111113
6.8025,0.0,13.702499999999999,0.6975,0.0,7.132499999999999,0.0,0.18999999999999995,0.0,2.79,0.0,3.75,2.25,46.86,7.5,25.425,2.922083333333333,81.2576388888889
