S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
3969.2000000000003,62.29999999999999,62.800000000000004,40.800000000000004,62.800000000000004,84.8,108.5,135.20000000000002,75.2,50.699999999999996,37.699999999999996,46.6,120.5,49.800000000000004,80.0,73.89999999999999,394.7166666666667,8814229.594444444
4067.13,62.61999999999999,62.870000000000005,40.67,63.07000000000001,84.42,108.33333333333333,135.21333333333334,75.21333333333334,50.379999999999995,37.529999999999994,46.29,121.05,49.970000000000006,80.15,73.80999999999999,402.81166666666667,9034521.96324074
4165.06,62.93999999999999,62.940000000000005,40.540000000000006,63.34,84.03999999999999,108.16666666666667,135.2266666666667,75.22666666666667,50.059999999999995,37.36,45.980000000000004,121.6,50.14,80.3,73.72,410.90666666666664,9254814.332037037
4262.99,63.25999999999999,63.010000000000005,40.410000000000004,63.61,83.66,108.0,135.24,75.24,49.739999999999995,37.19,45.67,122.15,50.31,80.45,73.63,419.00166666666667,9475106.700833332
4360.92,63.57999999999999,63.080000000000005,40.28,63.88,83.28,107.83333333333333,135.25333333333336,75.25333333333333,49.419999999999995,37.019999999999996,45.36,122.7,50.480000000000004,80.6,73.53999999999999,427.09666666666664,9695399.069629628
4458.85,63.89999999999999,63.150000000000006,40.150000000000006,64.15,82.9,107.66666666666666,135.26666666666668,75.26666666666667,49.099999999999994,36.849999999999994,45.05,123.25,50.650000000000006,80.75,73.44999999999999,435.1916666666666,9915691.438425925
4556.780000000001,64.22,63.22,40.02,64.42,82.52,107.5,135.28,75.28,48.78,36.68,44.74,123.8,50.82,80.9,73.36,443.2866666666666,10135983.807222221
4654.71,64.53999999999999,63.29,39.89,64.69,82.14,107.33333333333333,135.29333333333335,75.29333333333334,48.46,36.51,44.43,124.35,50.99,81.05,73.27,451.38166666666655,10356276.176018517
4752.64,64.86,63.36,39.76,64.96000000000001,81.76,107.16666666666666,135.30666666666667,75.30666666666666,48.14,36.339999999999996,44.12,124.9,51.160000000000004,81.2,73.17999999999999,459.4766666666666,10576568.544814812
4850.57,65.17999999999999,63.43,39.63,65.23,81.38,107.0,135.32000000000002,75.32,47.82,36.17,43.81,125.45,51.33,81.35,73.09,467.57166666666654,10796860.913611108
4948.5,65.5,63.5,39.5,65.5,81.0,106.83333333333333,135.33333333333334,75.33333333333333,47.5,36.0,43.5,126.0,51.5,81.5,73.0,475.6666666666665,11017153.282407405
5089.3966666666665,64.92999999999999,63.56,39.79,69.19,81.11,106.64,135.05,75.11,47.553333333333335,36.1,43.483333333333334,126.00999999999999,51.44,81.45,72.73,487.6594444444443,11278727.421111109
5230.293333333333,64.36,63.620000000000005,40.08,72.88,81.22,106.44666666666667,134.76666666666668,74.88666666666667,47.60666666666667,36.2,43.46666666666667,126.02,51.38,81.4,72.46,499.65222222222206,11540301.559814813
5371.19,63.79,63.68,40.37,76.57,81.33,106.25333333333333,134.48333333333335,74.66333333333333,47.660000000000004,36.3,43.45,126.03,51.32,81.35,72.19,511.64499999999987,11801875.698518516
5512.086666666666,63.22,63.74,40.66,80.25999999999999,81.44,106.06,134.20000000000002,74.44,47.71333333333334,36.4,43.43333333333334,126.03999999999999,51.260000000000005,81.3,71.92,523.6377777777776,12063449.83722222
5652.983333333334,62.64999999999999,63.800000000000004,40.95,83.94999999999999,81.55000000000001,105.86666666666667,133.91666666666669,74.21666666666667,47.766666666666666,36.5,43.41666666666667,126.04999999999998,51.2,81.25,71.65,535.6305555555555,12325023.975925924
5793.879999999999,62.07999999999999,63.86000000000001,41.24,87.63999999999999,81.66000000000001,105.67333333333335,133.63333333333333,73.99333333333334,47.82,36.6,43.4,126.05999999999999,51.14,81.2,71.38,547.6233333333332,12586598.114629628
