S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
106.09999999999998,31.200000000000003,146.1,36.300000000000004,65.8,78.2,97.63333333333333,41.233333333333334,77.8,35.9,63.699999999999996,45.0,84.89999999999999,73.0,91.69999999999999,92.60000000000001,68.74722222222222,2392.201157407407
106.08999999999997,31.080000000000002,146.24,36.470000000000006,65.67,78.33,97.77,41.07666666666667,77.85333333333332,35.57666666666667,63.73,45.0,85.35999999999999,72.95,92.22999999999999,92.74000000000001,68.74055555555556,2403.439722222222
106.07999999999998,30.96,146.38,36.64,65.53999999999999,78.46000000000001,97.90666666666667,40.92,77.90666666666667,35.25333333333333,63.76,45.0,85.82,72.9,92.75999999999999,92.88000000000001,68.73388888888888,2414.6782870370366
106.07,30.840000000000003,146.51999999999998,36.81,65.41,78.59,98.04333333333332,40.763333333333335,77.96,34.93,63.79,45.0,86.28,72.85,93.28999999999999,93.02000000000001,68.72722222222222,2425.916851851852
106.05999999999999,30.720000000000002,146.66,36.980000000000004,65.28,78.72,98.17999999999999,40.60666666666667,78.01333333333334,34.60666666666666,63.82,45.0,86.74,72.8,93.82,93.16000000000001,68.72055555555555,2437.1554166666665
106.04999999999998,30.6,146.8,37.150000000000006,65.15,78.85,98.31666666666666,40.45,78.06666666666666,34.28333333333333,63.849999999999994,45.0,87.19999999999999,72.75,94.35,93.30000000000001,68.71388888888889,2448.393981481481
106.03999999999999,30.48,146.94,37.32,65.02,78.98,98.45333333333333,40.29333333333333,78.11999999999999,33.96,63.879999999999995,45.0,87.66,72.7,94.88,93.44,68.70722222222223,2459.632546296296
106.03,30.36,147.07999999999998,37.49,64.89,79.11,98.59,40.13666666666666,78.17333333333333,33.63666666666666,63.91,45.0,88.12,72.65,95.41,93.58,68.70055555555555,2470.8711111111106
106.02,30.240000000000002,147.22,37.660000000000004,64.76,79.24,98.72666666666666,39.98,78.22666666666666,33.31333333333333,63.94,45.0,88.58,72.6,95.94,93.72,68.69388888888889,2482.109675925926
106.00999999999999,30.12,147.36,37.83,64.63,79.37,98.86333333333333,39.82333333333333,78.28,32.989999999999995,63.97,45.0,89.03999999999999,72.55,96.47,93.86,68.68722222222222,2493.3482407407405
106.0,30.0,147.5,38.0,64.5,79.5,99.0,39.666666666666664,78.33333333333333,32.666666666666664,64.0,45.0,89.5,72.5,97.0,94.0,68.68055555555556,2504.586805555555
105.87,30.06,147.46,38.2,64.48,79.6,98.88,39.71333333333333,78.36,32.413333333333334,63.97,45.06,89.77,72.81,96.97,94.42,68.67222222222222,2516.041157407407
105.74,30.12,147.42,38.4,64.46,79.7,98.76,39.76,78.38666666666667,32.16,63.94,45.12,90.04,73.12,96.94,94.84,68.66388888888889,2527.495509259259
105.61,30.18,147.38,38.6,64.44,79.8,98.64,39.806666666666665,78.41333333333333,31.906666666666666,63.91,45.18,90.31,73.43,96.91,95.26,68.65555555555557,2538.9498611111107
105.48,30.24,147.34,38.8,64.42,79.9,98.52,39.85333333333333,78.44,31.653333333333332,63.879999999999995,45.24,90.58,73.74000000000001,96.88,95.68,68.64722222222223,2550.404212962963
105.35,30.299999999999997,147.3,39.0,64.4,80.0,98.4,39.9,78.46666666666667,31.4,63.849999999999994,45.3,90.85,74.05000000000001,96.85,96.1,68.63888888888889,2561.8585648148146
105.22,30.36,147.26,39.2,64.38,80.1,98.28,39.946666666666665,78.49333333333334,31.14666666666667,63.82,45.36,91.12,74.36,96.82000000000001,96.52,68.63055555555556,2573.3129166666663
105.09,30.419999999999998,147.22,39.4,64.36,80.2,98.16,39.99333333333333,78.52000000000001,30.893333333333334,63.79,45.42,91.39,74.67,96.79,96.94,68.62222222222223,2584.7672685185184
104.96000000000001,30.479999999999997,147.18,39.6,64.34,80.3,98.03999999999999,40.04,78.54666666666667,30.64,63.76,45.480000000000004,91.66,74.98,96.76,97.36,68.6138888888889,2596.22162037037
104.83,30.54,147.14,39.8,64.32,80.4,97.92,40.086666666666666,78.57333333333334,30.38666666666667,63.73,45.54,91.93,75.29,96.73,97.78,68.60555555555555,2607.6759722222223
104.7,30.599999999999998,147.1,40.0,64.3,80.5,97.8,40.13333333333333,78.60000000000001,30.133333333333336,63.699999999999996,45.6,92.2,75.60000000000001,96.7,98.2,68.59722222222223,2619.130324074074
104.57000000000001,30.659999999999997,147.06,40.2,64.28,80.6,97.67999999999999,40.18,78.62666666666668,29.880000000000003,63.669999999999995,45.660000000000004,92.47,75.91000000000001,96.67,98.62,68.5888888888889,2630.5846759259257
104.44000000000001,30.72,147.01999999999998,40.4,64.26,80.7,97.56,40.22666666666667,78.65333333333334,29.62666666666667,63.63999999999999,45.72,92.74,76.22000000000001,96.64,99.04,68.58055555555556,2642.039027777778
104.31,30.779999999999998,146.98,40.6,64.24,80.8,97.44,40.27333333333333,78.68,29.37333333333334,63.61,45.78,93.01,76.53,96.61,99.46000000000001,68.57222222222222,2653.4933796296295
104.18,30.84,146.94,40.8,64.22,80.9,97.32000000000001,40.32,78.70666666666668,29.120000000000005,63.58,45.839999999999996,93.28,76.84,96.58,99.88000000000001,68.5638888888889,2664.9477314814812
104.05000000000001,30.9,146.89999999999998,41.0,64.2,81.0,97.2,40.36666666666667,78.73333333333335,28.86666666666667,63.55,45.9,93.55,77.15,96.55,100.30000000000001,68.55555555555557,2676.4020833333334
103.92000000000002,30.959999999999997,146.85999999999999,41.2,64.18,81.1,97.08,40.413333333333334,78.76,28.613333333333337,63.519999999999996,45.96,93.82,77.46000000000001,96.52,100.72000000000001,68.54722222222223,2687.856435185185
103.79000000000002,31.02,146.82,41.4,64.16000000000001,81.2,96.96000000000001,40.46,78.78666666666668,28.360000000000003,63.489999999999995,46.019999999999996,94.08999999999999,77.77000000000001,96.49,101.14000000000001,68.53888888888889,2699.310787037037
103.66000000000001,31.08,146.78,41.6,64.14,81.3,96.84,40.50666666666667,78.81333333333335,28.106666666666673,63.46,46.08,94.36,78.08,96.46,101.56000000000002,68.53055555555557,2710.7651388888885
103.53000000000002,31.14,146.73999999999998,41.8,64.12,81.4,96.72000000000001,40.553333333333335,78.84,27.85333333333334,63.43,46.13999999999999,94.63,78.39,96.42999999999999,101.98000000000002,68.52222222222224,2722.2194907407406
103.40000000000002,31.2,146.7,42.0,64.10000000000001,81.5,96.60000000000001,40.6,78.86666666666667,27.600000000000005,63.4,46.199999999999996,94.89999999999999,78.7,96.39999999999999,102.40000000000002,68.5138888888889,2733.6738425925923
103.27000000000002,31.259999999999998,146.66,42.2,64.08000000000001,81.6,96.48,40.64666666666667,78.89333333333335,27.34666666666667,63.37,46.26,95.16999999999999,79.01,96.36999999999999,102.82000000000002,68.50555555555556,2745.1281944444445
103.14000000000001,31.32,146.62,42.4,64.06,81.7,96.36,40.693333333333335,78.92,27.093333333333337,63.339999999999996,46.32,95.44,79.32000000000001,96.33999999999999,103.24000000000001,68.49722222222223,2756.582546296296
103.01000000000002,31.38,146.57999999999998,42.6,64.04,81.8,96.24000000000001,40.74,78.94666666666667,26.840000000000003,63.31,46.379999999999995,95.71,79.63,96.31,103.66000000000001,68.4888888888889,2768.036898148148
102.88000000000001,31.44,146.54,42.8,64.02000000000001,81.9,96.12,40.78666666666667,78.97333333333333,26.58666666666667,63.28,46.44,95.98,79.94,96.28,104.08,68.48055555555557,2779.49125
102.75000000000001,31.5,146.5,43.0,64.0,82.0,96.0,40.833333333333336,79.0,26.333333333333336,63.25,46.5,96.25,80.25,96.25,104.5,68.47222222222223,2790.945601851852
102.62000000000002,31.56,146.46,43.2,63.980000000000004,82.1,95.88,40.88,79.02666666666667,26.080000000000002,63.22,46.56,96.52,80.56,96.22,104.92,68.46388888888889,2802.399953703704
102.49000000000001,31.62,146.42000000000002,43.4,63.96,82.2,95.75999999999999,40.92666666666667,79.05333333333333,25.826666666666668,63.19,46.620000000000005,96.79,80.87,96.19,105.33999999999999,68.45555555555556,2813.8543055555556
102.36000000000001,31.68,146.38,43.6,63.94,82.3,95.64,40.973333333333336,79.08,25.573333333333334,63.160000000000004,46.68,97.06,81.17999999999999,96.16000000000001,105.75999999999999,68.44722222222222,2825.3086574074077
102.23,31.740000000000002,146.34,43.8,63.92,82.4,95.52,41.02,79.10666666666665,25.32,63.13,46.74,97.33000000000001,81.49,96.13000000000001,106.17999999999998,68.4388888888889,2836.76300925926
102.10000000000001,31.8,146.3,44.0,63.9,82.5,95.39999999999999,41.06666666666667,79.13333333333333,25.066666666666666,63.1,46.800000000000004,97.60000000000001,81.8,96.10000000000001,106.59999999999998,68.43055555555556,2848.2173611111116
101.97000000000001,31.86,146.26000000000002,44.2,63.88,82.6,95.27999999999999,41.11333333333334,79.16,24.813333333333333,63.07,46.86000000000001,97.87,82.11,96.07000000000001,107.01999999999998,68.42222222222222,2859.6717129629633
101.84,31.92,146.22,44.4,63.86,82.7,95.16,41.160000000000004,79.18666666666665,24.56,63.04,46.92,98.14,82.42,96.04,107.43999999999998,68.41388888888889,2871.1260648148154
101.71000000000001,31.98,146.18,44.6,63.84,82.8,95.03999999999999,41.20666666666667,79.21333333333332,24.306666666666665,63.010000000000005,46.980000000000004,98.41000000000001,82.72999999999999,96.01,107.85999999999999,68.40555555555557,2882.580416666667
101.58,32.04,146.14000000000001,44.8,63.82,82.9,94.92,41.25333333333334,79.24,24.05333333333333,62.980000000000004,47.04,98.68,83.03999999999999,95.98,108.27999999999999,68.39722222222223,2894.034768518519
101.45,32.1,146.10000000000002,45.0,63.800000000000004,83.0,94.8,41.3,79.26666666666665,23.799999999999997,62.95,47.1,98.95,83.35,95.95,108.69999999999999,68.38888888888889,2905.489120370371
101.32000000000001,32.16,146.06,45.2,63.78000000000001,83.1,94.67999999999999,41.346666666666664,79.29333333333332,23.546666666666667,62.92,47.160000000000004,99.22,83.66,95.92,109.11999999999999,68.38055555555556,2916.9434722222227
101.19,32.22,146.02,45.4,63.760000000000005,83.2,94.56,41.39333333333333,79.32,23.293333333333333,62.89,47.22,99.49,83.97,95.89,109.53999999999999,68.37222222222223,2928.3978240740744
101.06,32.28,145.98000000000002,45.6,63.74000000000001,83.3,94.44,41.44,79.34666666666666,23.04,62.86000000000001,47.28,99.76,84.27999999999999,95.86,109.96,68.3638888888889,2939.852175925926
100.92999999999999,32.339999999999996,145.94,45.8,63.720000000000006,83.4,94.32000000000001,41.486666666666665,79.37333333333332,22.786666666666665,62.830000000000005,47.339999999999996,100.03,84.58999999999999,95.83,110.38,68.35555555555555,2951.3065277777782
100.8,32.4,145.9,46.0,63.70000000000001,83.5,94.2,41.53333333333333,79.39999999999999,22.53333333333333,62.800000000000004,47.4,100.3,84.89999999999999,95.8,110.8,68.34722222222223,2962.76087962963
100.67,32.46,145.86,46.2,63.68000000000001,83.6,94.08,41.58,79.42666666666666,22.279999999999998,62.77,47.46,100.57,85.21,95.77,111.22,68.3388888888889,2974.2152314814816
100.53999999999999,32.519999999999996,145.82,46.4,63.66000000000001,83.7,93.96000000000001,41.626666666666665,79.45333333333333,22.026666666666664,62.74,47.519999999999996,100.84,85.52,95.74,111.64,68.33055555555556,2985.669583333334
100.41,32.58,145.78,46.6,63.64000000000001,83.8,93.84,41.67333333333333,79.47999999999999,21.773333333333333,62.71,47.58,101.11,85.83,95.71,112.06,68.32222222222222,2997.1239351851855
100.28,32.64,145.74,46.8,63.620000000000005,83.9,93.72,41.72,79.50666666666666,21.52,62.68,47.64,101.38,86.14,95.67999999999999,112.48,68.3138888888889,3008.578287037037
100.15,32.7,145.7,47.0,63.60000000000001,84.0,93.6,41.766666666666666,79.53333333333333,21.266666666666666,62.650000000000006,47.7,101.65,86.44999999999999,95.65,112.9,68.30555555555557,3020.032638888889
100.02,32.76,145.66,47.2,63.580000000000005,84.1,93.48,41.81333333333333,79.56,21.013333333333332,62.620000000000005,47.76,101.92,86.75999999999999,95.62,113.32,68.29722222222223,3031.486990740741
99.89,32.82,145.62,47.4,63.56,84.2,93.36,41.86,79.58666666666667,20.759999999999998,62.59,47.82,102.19,87.07,95.59,113.74,68.28888888888889,3042.9413425925927
99.76,32.88,145.58,47.6,63.54,84.3,93.24,41.906666666666666,79.61333333333333,20.506666666666668,62.56,47.88,102.46,87.38,95.56,114.16,68.28055555555557,3054.3956944444444
99.63,32.94,145.54,47.8,63.52,84.4,93.12,41.95333333333333,79.64,20.253333333333334,62.53,47.94,102.73,87.69,95.53,114.58,68.27222222222224,3065.8500462962966
99.5,33.0,145.5,48.0,63.5,84.5,93.0,42.0,79.66666666666667,20.0,62.5,48.0,103.0,88.0,95.5,115.0,68.2638888888889,3077.3043981481483
99.21000000000001,32.99,144.78,48.05,63.89,87.82,92.82,42.0,79.22333333333334,20.0,62.373333333333335,48.07333333333333,102.78,88.23,95.43,115.32,68.43583333333335,3284.886875
98.92,32.98,144.06,48.1,64.28,91.14,92.64,42.0,78.78,20.0,62.24666666666667,48.14666666666667,102.56,88.46,95.36,115.64,68.60777777777778,3492.469351851852
98.63,32.97,143.34,48.15,64.67,94.46000000000001,92.46000000000001,42.0,78.33666666666667,20.0,62.120000000000005,48.22,102.34,88.69,95.28999999999999,115.96000000000001,68.77972222222223,3700.051828703704
