S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
79.89999999999999,51.900000000000006,102.8,85.0,62.20000000000001,36.9,91.8,64.73333333333333,79.13333333333334,62.20000000000001,82.33333333333333,99.59999999999998,75.0,74.9,62.1,64.2,74.875,1513.2391203703703
80.05999999999999,52.06,102.77,85.05,62.13000000000001,37.01,91.77,64.72666666666667,79.48666666666668,62.19666666666667,82.11666666666666,99.35666666666665,75.1,75.06,62.29,63.830000000000005,74.89444444444445,1516.2238888888887
80.22,52.220000000000006,102.74,85.1,62.06000000000001,37.12,91.74,64.72,79.84,62.19333333333334,81.89999999999999,99.11333333333332,75.2,75.22,62.480000000000004,63.46,74.91388888888889,1519.2086574074074
80.38,52.38,102.71,85.15,61.99000000000001,37.23,91.71,64.71333333333334,80.19333333333334,62.190000000000005,81.68333333333334,98.86999999999999,75.3,75.38000000000001,62.67,63.09,74.93333333333334,1522.1934259259258
80.53999999999999,52.540000000000006,102.67999999999999,85.2,61.92000000000001,37.339999999999996,91.67999999999999,64.70666666666666,80.54666666666667,62.186666666666675,81.46666666666667,98.62666666666665,75.4,75.54,62.86,62.72,74.95277777777778,1525.1781944444444
80.69999999999999,52.7,102.65,85.25,61.85000000000001,37.45,91.65,64.7,80.9,62.18333333333334,81.25,98.38333333333333,75.5,75.7,63.05,62.35,74.97222222222223,1528.1629629629629
80.86,52.86,102.62,85.3,61.78,37.56,91.62,64.69333333333334,81.25333333333334,62.18,81.03333333333333,98.14,75.6,75.86,63.24,61.980000000000004,74.99166666666666,1531.1477314814813
81.02,53.02,102.59,85.35,61.71,37.67,91.59,64.68666666666667,81.60666666666667,62.17666666666667,80.81666666666666,97.89666666666666,75.7,76.02,63.43,61.61,75.0111111111111,1534.1325
81.17999999999999,53.18,102.56,85.4,61.64,37.78,91.56,64.68,81.96000000000001,62.17333333333333,80.60000000000001,97.65333333333334,75.8,76.18,63.62,61.24,75.03055555555555,1537.1172685185184
81.34,53.34,102.53,85.45,61.57,37.89,91.53,64.67333333333333,82.31333333333333,62.17,80.38333333333334,97.41,75.9,76.34,63.81,60.87,75.05,1540.102037037037
81.5,53.5,102.5,85.5,61.5,38.0,91.5,64.66666666666667,82.66666666666667,62.166666666666664,80.16666666666667,97.16666666666667,76.0,76.5,64.0,60.5,75.06944444444444,1543.0868055555554
81.49,53.8,101.98,85.42,61.41,38.11,91.42333333333333,64.65333333333334,82.99000000000001,61.99333333333333,80.16000000000001,96.98333333333333,76.24,76.68,64.24,60.36,75.03444444444445,1545.1026388888888
81.48,54.1,101.46,85.34,61.32,38.22,91.34666666666666,64.64,83.31333333333333,61.82,80.15333333333334,96.8,76.48,76.86,64.48,60.22,74.99944444444445,1547.1184722222222
81.47,54.4,100.94,85.26,61.230000000000004,38.33,91.27,64.62666666666667,83.63666666666667,61.64666666666667,80.14666666666668,96.61666666666667,76.72,77.03999999999999,64.72,60.08,74.96444444444444,1549.1343055555556
81.46,54.7,100.42,85.18,61.14,38.44,91.19333333333333,64.61333333333333,83.96,61.473333333333336,80.14,96.43333333333334,76.96,77.22,64.96,59.94,74.92944444444444,1551.150138888889
81.44999999999999,55.0,99.9,85.1,61.05,38.55,91.11666666666667,64.6,84.28333333333333,61.3,80.13333333333334,96.25,77.19999999999999,77.4,65.19999999999999,59.8,74.89444444444445,1553.1659722222223
