S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
39.6,28.2,50.4,33.6,94.2,23.4,86.4,51.0,85.8,67.2,55.8,138.6,150.6,103.2,90.0,36.0,62.85,1151.7458333333332
39.39,28.23,50.01,33.69,93.93,23.31,86.31,51.0,86.22,67.28,55.62,138.14,151.14,103.38,90.9,35.7,62.76083333333334,1148.6959027777775
39.18,28.259999999999998,49.62,33.78,93.66,23.22,86.22,51.0,86.64,67.36,55.44,137.68,151.68,103.56,91.8,35.4,62.67166666666667,1145.645972222222
38.97,28.29,49.23,33.870000000000005,93.39,23.13,86.13000000000001,51.0,87.06,67.44,55.26,137.22,152.22,103.74000000000001,92.7,35.1,62.5825,1142.5960416666667
38.76,28.32,48.839999999999996,33.96,93.12,23.04,86.04,51.0,87.48,67.52,55.08,136.76,152.76,103.92,93.6,34.8,62.49333333333333,1139.546111111111
38.55,28.35,48.45,34.05,92.85,22.95,85.95,51.0,87.9,67.6,54.9,136.3,153.3,104.1,94.5,34.5,62.40416666666667,1136.4961805555554
38.34,28.38,48.06,34.14,92.58,22.86,85.86,51.0,88.32,67.68,54.72,135.84,153.84,104.28,95.4,34.2,62.315000000000005,1133.44625
38.13,28.41,47.67,34.230000000000004,92.31,22.77,85.77,51.0,88.74,67.76,54.54,135.38,154.38,104.46000000000001,96.3,33.9,62.225833333333334,1130.3963194444445
37.92,28.44,47.28,34.32,92.04,22.68,85.68,51.0,89.16,67.84,54.36,134.92,154.92,104.64,97.2,33.6,62.13666666666667,1127.346388888889
37.71,28.47,46.89,34.41,91.77,22.59,85.59,51.0,89.58,67.92,54.18,134.46,155.46,104.82,98.1,33.3,62.0475,1124.2964583333332
37.5,28.5,46.5,34.5,91.5,22.5,85.5,51.0,90.0,68.0,54.0,134.0,156.0,105.0,99.0,33.0,61.958333333333336,1121.2465277777778
37.29,28.53,46.11,34.59,91.23,22.41,85.41,51.0,90.42,68.08,53.82,133.54,156.54,105.18,99.9,32.7,61.86916666666667,1118.1965972222224
37.08,28.56,45.72,34.68,90.96,22.32,85.32,51.0,90.84,68.16,53.64,133.08,157.08,105.36,100.8,32.4,61.78,1115.1466666666668
36.87,28.59,45.33,34.769999999999996,90.69,22.23,85.23,51.0,91.26,68.24,53.46,132.62,157.62,105.53999999999999,101.7,32.1,61.69083333333334,1112.096736111111
36.66,28.62,44.94,34.86,90.42,22.14,85.14,51.0,91.68,68.32,53.28,132.16,158.16,105.72,102.6,31.8,61.60166666666667,1109.0468055555557
36.45,28.65,44.55,34.95,90.15,22.05,85.05,51.0,92.1,68.4,53.1,131.7,158.7,105.9,103.5,31.5,61.5125,1105.9968750000003
36.24,28.68,44.160000000000004,35.04,89.88,21.96,84.96,51.0,92.52,68.48,52.92,131.24,159.24,106.08,104.4,31.2,61.42333333333334,1102.9469444444446
