S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
8.1,0.9000000000000004,17.10000000000001,0.0,0.0,5.399999999999999,0.0,0.0,0.0,9.0,0.0,3.6,9.0,10.8,27.0,16.2,3.6750000000000007,88.34374999999989
8.19,0.8100000000000003,16.290000000000006,0.0,0.0,4.8599999999999985,0.0,0.0,0.0,9.0,0.0,3.64,9.0,10.620000000000001,27.3,16.38,3.565833333333334,81.00034722222212
8.28,0.7200000000000003,15.480000000000008,0.0,0.0,4.3199999999999985,0.0,0.0,0.0,9.0,0.0,3.68,9.0,10.440000000000001,27.6,16.56,3.456666666666667,73.65694444444435
8.37,0.6300000000000002,14.670000000000005,0.0,0.0,3.7799999999999994,0.0,0.0,0.0,9.0,0.0,3.72,9.0,10.26,27.9,16.74,3.3475,66.3135416666666
8.459999999999999,0.5400000000000003,13.860000000000005,0.0,0.0,3.2399999999999993,0.0,0.0,0.0,9.0,0.0,3.7600000000000002,9.0,10.08,28.2,16.919999999999998,3.2383333333333337,58.970138888888826
8.55,0.4500000000000002,13.050000000000004,0.0,0.0,2.6999999999999993,0.0,0.0,0.0,9.0,0.0,3.8,9.0,9.9,28.5,17.1,3.129166666666667,51.62673611111106
8.64,0.3600000000000001,12.240000000000004,0.0,0.0,2.1599999999999997,0.0,0.0,0.0,9.0,0.0,3.84,9.0,9.72,28.8,17.28,3.02,44.28333333333329
8.73,0.27000000000000013,11.430000000000003,0.0,0.0,1.62,0.0,0.0,0.0,9.0,0.0,3.88,9.0,9.540000000000001,29.1,17.46,2.910833333333333,36.93993055555553
8.82,0.18000000000000005,10.620000000000001,0.0,0.0,1.08,0.0,0.0,0.0,9.0,0.0,3.92,9.0,9.36,29.4,17.64,2.8016666666666667,29.59652777777776
8.91,0.08999999999999997,9.810000000000002,0.0,0.0,0.54,0.0,0.0,0.0,9.0,0.0,3.96,9.0,9.18,29.7,17.82,2.6925,22.253124999999997
9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,9.0,9.0,30.0,18.0,2.583333333333333,14.909722222222223
8.91,0.0,8.91,0.09,0.0,0.45,0.0,0.0,0.0,8.91,0.0,3.96,9.0,9.9,29.91,18.0,2.6024999999999996,16.313125
8.82,0.0,8.82,0.18,0.0,0.9,0.0,0.0,0.0,8.82,0.0,3.92,9.0,10.8,29.82,18.0,2.6216666666666666,17.716527777777777
8.73,0.0,8.73,0.27,0.0,1.35,0.0,0.0,0.0,8.73,0.0,3.88,9.0,11.7,29.73,18.0,2.640833333333333,19.119930555555555
8.64,0.0,8.64,0.36,0.0,1.8,0.0,0.0,0.0,8.64,0.0,3.84,9.0,12.6,29.64,18.0,2.66,20.523333333333333
8.55,0.0,8.55,0.44999999999999996,0.0,2.25,0.0,0.0,0.0,8.55,0.0,3.8,9.0,13.5,29.55,18.0,2.6791666666666667,21.92673611111111
8.459999999999999,0.0,8.459999999999999,0.54,0.0,2.7,0.0,0.0,0.0,8.459999999999999,0.0,3.7600000000000002,9.0,14.4,29.46,18.0,2.6983333333333333,23.33013888888889
8.37,0.0,8.37,0.63,0.0,3.15,0.0,0.0,0.0,8.37,0.0,3.72,9.0,15.3,29.37,18.0,2.7175000000000002,24.733541666666667
8.28,0.0,8.28,0.72,0.0,3.6,0.0,0.0,0.0,8.28,0.0,3.68,9.0,16.2,29.28,18.0,2.736666666666667,26.136944444444445
8.19,0.0,8.19,0.8099999999999999,0.0,4.05,0.0,0.0,0.0,8.19,0.0,3.64,9.0,17.1,29.19,18.0,2.755833333333334,27.540347222222223
8.1,0.0,8.1,0.9,0.0,4.5,0.0,0.0,0.0,8.1,0.0,3.6,9.0,18.0,29.1,18.0,2.7750000000000004,28.94375
