S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
107.1,53.1,154.2,194.4,92.4,69.9,108.0,92.8,33.6,65.4,91.8,66.6,31.200000000000003,27.9,48.3,40.8,94.10833333333332,1872.9493055555556
107.49,53.49,154.98,194.76,92.46000000000001,70.11,108.0,92.82,33.54,65.46000000000001,91.62,66.24,31.080000000000002,28.11,48.269999999999996,40.32,94.24749999999999,1879.279375
107.88,53.88,155.76,195.12,92.52000000000001,70.32000000000001,108.0,92.84,33.480000000000004,65.52000000000001,91.44,65.88,30.96,28.32,48.239999999999995,39.839999999999996,94.38666666666666,1885.6094444444445
108.27,54.27,156.54,195.48000000000002,92.58,70.53,108.0,92.86,33.42,65.58,91.25999999999999,65.52,30.840000000000003,28.529999999999998,48.21,39.36,94.52583333333332,1891.939513888889
108.66,54.660000000000004,157.32,195.84,92.64,70.74000000000001,108.0,92.88,33.36,65.64,91.08,65.16,30.720000000000002,28.74,48.18,38.879999999999995,94.66499999999999,1898.2695833333335
109.05,55.05,158.1,196.2,92.7,70.95,108.0,92.9,33.3,65.7,90.9,64.8,30.6,28.95,48.15,38.4,94.80416666666666,1904.599652777778
109.44,55.44,158.88,196.56,92.76,71.16,108.0,92.92,33.24,65.76,90.72,64.44,30.48,29.16,48.12,37.92,94.94333333333333,1910.9297222222222
109.83,55.83,159.66,196.92000000000002,92.82000000000001,71.37,108.0,92.94,33.18,65.82000000000001,90.53999999999999,64.08,30.36,29.37,48.089999999999996,37.44,95.0825,1917.2597916666666
110.22,56.22,160.44,197.28,92.88,71.58,108.0,92.96,33.12,65.88,90.36,63.72,30.240000000000002,29.58,48.06,36.96,95.22166666666666,1923.589861111111
110.61,56.61,161.22,197.64,92.94,71.79,108.0,92.98,33.06,65.94,90.18,63.36,30.12,29.79,48.03,36.48,95.36083333333333,1929.9199305555555
111.0,57.0,162.0,198.0,93.0,72.0,108.0,93.0,33.0,66.0,90.0,63.0,30.0,30.0,48.0,36.0,95.5,1936.25
110.88,57.81,161.31,197.97,93.0,72.21,107.86,93.0,32.85,65.55,90.45,62.82,30.3,30.27,48.12,36.21,95.47583333333333,1939.6732638888889
110.76,58.62,160.62,197.94,93.0,72.42,107.72,93.0,32.7,65.1,90.9,62.64,30.6,30.54,48.24,36.42,95.45166666666667,1943.0965277777777
110.64,59.43,159.93,197.91,93.0,72.63,107.58,93.0,32.55,64.65,91.35,62.46,30.9,30.810000000000002,48.36,36.63,95.4275,1946.5197916666666
110.52,60.239999999999995,159.24,197.88,93.0,72.84,107.44,93.0,32.4,64.2,91.8,62.28,31.2,31.080000000000002,48.480000000000004,36.84,95.40333333333334,1949.9430555555555
110.4,61.05,158.55,197.85,93.0,73.05,107.3,93.0,32.25,63.75,92.25,62.1,31.5,31.35,48.6,37.05,95.37916666666666,1953.3663194444443
110.28,61.86,157.85999999999999,197.82,93.0,73.25999999999999,107.16,93.0,32.1,63.3,92.7,61.92,31.8,31.62,48.72,37.26,95.35499999999999,1956.7895833333334
110.16,62.669999999999995,157.17,197.79,93.0,73.47,107.02,93.0,31.95,62.85,93.15,61.74,32.1,31.89,48.84,37.47,95.33083333333333,1960.2128472222223
110.03999999999999,63.48,156.48,197.76,93.0,73.67999999999999,106.88,93.0,31.8,62.4,93.6,61.56,32.4,32.160000000000004,48.96,37.68,95.30666666666666,1963.6361111111112
109.92,64.28999999999999,155.79,197.73,93.0,73.89,106.74,93.0,31.65,61.95,94.05,61.38,32.7,32.43,49.080000000000005,37.89,95.2825,1967.059375
109.8,65.1,155.1,197.7,93.0,74.1,106.6,93.0,31.5,61.5,94.5,61.2,33.0,32.7,49.2,38.1,95.25833333333333,1970.482638888889
109.67999999999999,65.91,154.41,197.67,93.0,74.31,106.46,93.0,31.35,61.05,94.95,61.02,33.3,32.97,49.32,38.31,95.23416666666667,1973.9059027777778
109.56,66.72,153.72,197.64,93.0,74.52,106.32,93.0,31.2,60.6,95.4,60.84,33.6,33.24,49.440000000000005,38.52,95.21,1977.3291666666667
109.44,67.53,153.03,197.60999999999999,93.0,74.72999999999999,106.17999999999999,93.0,31.05,60.15,95.85,60.660000000000004,33.9,33.510000000000005,49.56,38.730000000000004,95.18583333333333,1980.7524305555555
109.32,68.34,152.34,197.57999999999998,93.0,74.94,106.03999999999999,93.0,30.9,59.7,96.3,60.480000000000004,34.2,33.78,49.68,38.940000000000005,95.16166666666666,1984.1756944444444
109.19999999999999,69.15,151.64999999999998,197.55,93.0,75.15,105.9,93.0,30.75,59.25,96.75,60.3,34.5,34.05,49.8,39.150000000000006,95.1375,1987.5989583333333
109.08,69.96,150.95999999999998,197.52,93.0,75.36,105.76,93.0,30.6,58.8,97.2,60.12,34.8,34.32,49.92,39.36,95.11333333333334,1991.0222222222221
108.96,70.77,150.26999999999998,197.49,93.0,75.57,105.62,93.0,30.45,58.35,97.65,59.94,35.1,34.59,50.04,39.57,95.08916666666667,1994.445486111111
108.83999999999999,71.58,149.57999999999998,197.46,93.0,75.78,105.48,93.0,30.3,57.9,98.1,59.76,35.4,34.86,50.16,39.78,95.06500000000001,1997.8687499999999
108.72,72.39,148.89,197.43,93.0,75.99000000000001,105.34,93.0,30.15,57.45,98.55,59.58,35.7,35.129999999999995,50.28,39.99,95.04083333333334,2001.2920138888887
108.6,73.2,148.2,197.4,93.0,76.2,105.2,93.0,30.0,57.0,99.0,59.4,36.0,35.4,50.4,40.2,95.01666666666668,2004.7152777777776
