S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
10.8,35.4,27.6,18.0,38.4,0.0,44.8,9.0,36.6,16.2,75.0,2.4,18.6,34.8,9.0,39.0,26.183333333333334,669.2013888888889
10.620000000000001,35.31,28.290000000000003,17.7,38.91,0.0,44.57,9.0,37.14,15.93,75.0,2.36,18.84,34.919999999999995,9.0,39.0,26.235833333333332,674.0545138888889
10.440000000000001,35.22,28.98,17.4,39.42,0.0,44.339999999999996,9.0,37.68,15.66,75.0,2.32,19.080000000000002,35.04,9.0,39.0,26.288333333333334,678.9076388888889
10.26,35.129999999999995,29.67,17.1,39.93,0.0,44.11,9.0,38.22,15.389999999999999,75.0,2.28,19.32,35.16,9.0,39.0,26.340833333333332,683.760763888889
10.08,35.04,30.36,16.8,40.44,0.0,43.879999999999995,9.0,38.76,15.12,75.0,2.2399999999999998,19.560000000000002,35.28,9.0,39.0,26.39333333333333,688.6138888888889
9.9,34.95,31.05,16.5,40.95,0.0,43.65,9.0,39.3,14.85,75.0,2.2,19.8,35.4,9.0,39.0,26.445833333333333,693.4670138888889
9.72,34.86,31.740000000000002,16.2,41.46,0.0,43.42,9.0,39.84,14.58,75.0,2.16,20.04,35.519999999999996,9.0,39.0,26.49833333333333,698.3201388888889
9.540000000000001,34.769999999999996,32.43,15.9,41.97,0.0,43.19,9.0,40.38,14.31,75.0,2.12,20.28,35.64,9.0,39.0,26.55083333333333,703.1732638888889
9.36,34.68,33.12,15.6,42.48,0.0,42.96,9.0,40.92,14.04,75.0,2.08,20.52,35.76,9.0,39.0,26.603333333333328,708.026388888889
9.18,34.59,33.81,15.3,42.99,0.0,42.73,9.0,41.46,13.77,75.0,2.04,20.76,35.88,9.0,39.0,26.65583333333333,712.8795138888889
9.0,34.5,34.5,15.0,43.5,0.0,42.5,9.0,42.0,13.5,75.0,2.0,21.0,36.0,9.0,39.0,26.70833333333333,717.7326388888889
8.82,34.41,35.19,14.7,44.01,0.0,42.27,9.0,42.54,13.23,75.0,1.96,21.24,36.12,9.0,39.0,26.76083333333333,722.5857638888889
8.64,34.32,35.88,14.4,44.52,0.0,42.04,9.0,43.08,12.959999999999999,75.0,1.92,21.48,36.24,9.0,39.0,26.81333333333333,727.4388888888889
8.459999999999999,34.230000000000004,36.57,14.1,45.03,0.0,41.81,9.0,43.620000000000005,12.689999999999998,75.0,1.88,21.72,36.36,9.0,39.0,26.865833333333327,732.292013888889
8.28,34.14,37.260000000000005,13.8,45.54,0.0,41.58,9.0,44.160000000000004,12.419999999999998,75.0,1.8399999999999999,21.96,36.480000000000004,9.0,39.0,26.91833333333333,737.1451388888889
8.1,34.05,37.95,13.5,46.05,0.0,41.35,9.0,44.7,12.149999999999999,75.0,1.7999999999999998,22.2,36.6,9.0,39.0,26.97083333333333,741.9982638888889
7.92,33.96,38.64,13.2,46.56,0.0,41.120000000000005,9.0,45.24,11.879999999999997,75.0,1.7599999999999998,22.439999999999998,36.72,9.0,39.0,27.02333333333333,746.8513888888889
7.739999999999999,33.870000000000005,39.330000000000005,12.9,47.07,0.0,40.89,9.0,45.78,11.609999999999996,75.0,1.7199999999999998,22.68,36.84,9.0,39.0,27.07583333333333,751.7045138888889
7.56,33.78,40.02,12.6,47.58,0.0,40.660000000000004,9.0,46.32000000000001,11.339999999999996,75.0,1.6799999999999997,22.919999999999998,36.96,9.0,39.0,27.12833333333333,756.557638888889
7.379999999999999,33.69,40.71000000000001,12.3,48.09,0.0,40.43,9.0,46.86000000000001,11.069999999999997,75.0,1.6399999999999997,23.16,37.080000000000005,9.0,39.0,27.180833333333332,761.4107638888889
7.199999999999999,33.6,41.400000000000006,12.0,48.6,0.0,40.2,9.0,47.400000000000006,10.799999999999995,75.0,1.5999999999999996,23.4,37.2,9.0,39.0,27.23333333333333,766.2638888888889
7.02,33.510000000000005,42.09,11.7,49.11,0.0,39.970000000000006,9.0,47.940000000000005,10.529999999999996,75.0,1.5599999999999996,23.64,37.32,9.0,39.0,27.28583333333333,771.1170138888889
6.84,33.42,42.78,11.4,49.620000000000005,0.0,39.74,9.0,48.480000000000004,10.259999999999996,75.0,1.5199999999999996,23.88,37.440000000000005,9.0,39.0,27.33833333333333,775.9701388888889
6.66,33.33,43.470000000000006,11.1,50.13,0.0,39.510000000000005,9.0,49.02,9.989999999999997,75.0,1.4799999999999995,24.119999999999997,37.56,9.0,39.0,27.390833333333333,780.823263888889
6.4799999999999995,33.24,44.160000000000004,10.8,50.64,0.0,39.28,9.0,49.56,9.719999999999997,75.0,1.4399999999999995,24.36,37.68,9.0,39.0,27.44333333333333,785.6763888888889
6.3,33.150000000000006,44.85,10.5,51.150000000000006,0.0,39.050000000000004,9.0,50.1,9.449999999999996,75.0,1.3999999999999995,24.6,37.8,9.0,39.0,27.49583333333333,790.5295138888889
