S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 2,Zone 3,Zone 1,Zone 4
87,70,112,34,27,117,84,110,103.6666667,74,66,72,81,50,102,100,98,81.62745098,1937.159763,117,79.96666667,60.5,87.5
87,59,128,58,27,112,90,123,72,76,71.33333333,80.33333333,81,52,68,36,92,77.21568627,1828.840237,112,80.76666667,72.5,62
76,90,106,90,39,77,80.66666667,120.6666667,66,69.33333333,77,73,84,60,61,55,76,76.50980392,1618.788955,77,80.56666667,83,63
86,130,136,84,56,86,93,130.6666667,91.33333333,72,86,65,75,46,53,47,104,84.76470588,1557.151874,86,93.5,85,62.5
111,90,90,45,59,91,109.3333333,101.3333333,82,62,95,48,50.66666667,61,60,67,119,78.90196078,1178.185404,91,78.73333333,78,76.75
101,27,145,28,74,78,96,37.33333333,69.33333333,45.33333333,81.33333333,64,45,72,73,86,87,71.1372549,1809.964497,78,68.43333333,64.5,79.5
88,33,141,48,72,88,84,42,72,20,68,61,51,99,104,83,129,75.47058824,2862.497041,88,64.4,68,103.75
95,46,72,63,82,406,72,45.33333333,43,20,75.66666667,51.33333333,61.33333333,91,109,98,115,90.92156863,21996.01578,406,56.86666667,79,103.25
80,43,59,59,48,1626,61.33333333,64,41.33333333,43.33333333,84,33,54,100,74,61,87,154,515359.7751,1626,53.1,69.5,80.5
188,163,163,101,63,361,72,143,41.33333333,48,66.33333333,58,51,79,86,80,76,108.2156863,24584.07101,361,86.86666667,144.5,80.25
2404,305,239,467,185,128,124.3333333,186.3333333,23,47.33333333,49,94,62.33333333,65,89,111,76,273.8431373,550735.1124,128,131.5333333,1435.5,85.25
4857,672,302,1109,657,345,286,498,26.33333333,49.33333333,68.66666667,106,121,86,54,128,106,557.1372549,1883318.765,345,278.6333333,2983,93.5
2876,1086,828,4900,2161,321,625,555,88,165,89,123,122,68,79,127,103,842.1176471,3213361.314,321,584.2,3888,94.25
2617,1807,1022,2297,1385,920,598,607.3333333,116,176,106.3333333,342.3333333,187,81,68,125,102,738.6470588,1013595.428,920,634.7,2457,94
3367,1667,1044,2105,1799,520,754.6666667,659.6666667,127.3333333,234,124,557,381,99,55,105,92,805.3333333,1334773.14,520,734.7666667,2736,87.75
2858,1398,954,1585,2555,297,934,722.6666667,164.6666667,346,310.3333333,752,382.3333333,85,65,130,59,799.8823529,1050713.976,297,851.9,2221.5,84.75
2207,1974,1077,1212,1319,544,1240.333333,878,443,369,497,698,414.3333333,55,60,282,111,787.0980392,497288.5444,544,890.9666666,1709.5,127
1707,1130,943,877,1252,692,962,852,425.3333333,438.6666667,440.6666667,567,466.6666667,106,56,547,148,682.9607843,214351.645,692,747.7333333,1292,214.25
1089,927,759,899,1128,727,963,987,551.6666667,443,385,577,502.3333333,114,78,461,130,630.6470588,102326.9586,727,722.3,994,195.75
968,820,611,848,1112,715,947,984.6666667,696,467.3333333,436.6666667,607.6666667,366.6666667,119,66,381,110,603.2941177,86469.15976,715,704.9,908,169
945,624,540,782,927,640,952.3333333,945,740.3333333,609.6666667,489,547,379,113,64,400,105,576.6078431,56924.5641,640,675.3333333,863.5,170.5
1013,636,602,608,911,606,751,795,683,624,456.3333333,646,379,128,44,397,107,552.1372549,52671.66864,606,648.3333333,810.5,169
818,746,618,698,836,700,839,792.3333333,676,614,424,613,382.6666667,148,41,388,81,553.8235294,36591.23077,700,654.1,758,164.5
857,559,719,588,783,705,612,813,694.3333333,603.6666667,482.3333333,455,324,134,55,516,80,528.254902,38507.86588,705,604.5333333,722.5,196.25
667,655,545,452,723,617,589,728,588,719,541,457,324,118,98,625,104,502.9411765,26322,617,586.9,559.5,236.25
686,709,381,519,571,725,548,675,548,715,574.3333333,446,345.6666667,109,112,570,81,489.1176471,32909.26233,725,551.3,602.5,218
646,557,420,401,489,572,597.3333333,683.3333333,536,686.6666667,608,398,409,77,98,437,93,453.4313725,37375.03353,572,538.4333333,523.5,176.25
579,546,452,373,713,544,542,658,584.3333333,701,526.6666667,453,409,114,96,411,83,457.9411765,28146.77712,544,558.5,476,176
505,635,449,390,528,523,558,600.3333333,566,697,446,399,411.6666667,158,49,467,36,436.3529412,23844.31953,523,529,447.5,177.5
566,455,436,487,385,690,555,509,541.3333333,626.3333333,438.6666667,372,424,158,63,483,67,426.8431373,18424.42998,690,474.2333333,526.5,192.75
534,351,458,434,467,574,495,523.3333333,524,447,432,410,424,138,68,410,66,397.372549,8952.473373,574,453.1333333,484,170.5
467,411,469,440,416,491,483,504.3333333,528,464.3333333,459,412.3333333,406.3333333,226,58,437,66,396.372549,6738.059172,491,455.3333333,453.5,196.75
348,554,451,432,453,540,453.3333333,492,563.3333333,482.3333333,487,438,330,163,78,373,93,395.9411765,11624.18935,540,470.4,390,176.75
416,411,377,424,394,447,381,454,547.6666667,478,478.3333333,317,330,124,65,430,140,365.5294118,9858.351085,447,416.8,420,189.75
356,467,344,436,334,504,490,472,574,493.3333333,470,347,324.6666667,138,54,381,97,369.5294118,16519.28994,504,431.6,396,167.5
411,544,338,278,393,386,424,500.3333333,549.3333333,501.3333333,411,315,397,185,36,373,87,360.5294118,16719.98422,386,437.3,344.5,170.25
322,409,325,306,470,435,391,504,562.3333333,447,352,285,397,227,64,373,88,350.4313725,15744.09467,435,414.2333333,314,188
418,366,472,370,401,551,383,470.3333333,464,430.3333333,341.3333333,273,332.6666667,184,89,439,101,357.9803922,14315.80276,551,393.3666667,394,203.25
488,265,359,353,325,462,353.3333333,437.6666667,465.3333333,416,331,273,262,116,80,495,83,327.3137255,14227.56607,462,348.7333333,420.5,193.5
398,223,343,336,294,342,291,356.3333333,481.3333333,357,395.3333333,341,262,90,95,381,44,295.8823529,6869.120316,342,334.4,367,152.5
419,365,380,384,275,443,285,340.3333333,453,376,460,382,258.3333333,148,93,334,95,322.9803922,8756.272189,443,357.4666667,401.5,167.5
371,288,289,346,306,417,326,357,449,449,384,293,276,130,67,299,98,302.6470588,10916.13018,417,341.7,358.5,148.5
280,286,338,278,372,400,364,330.3333333,420.3333333,322,309,302,276,126,100,209,85,282.2156863,7086.911243,400,331.9666667,279,130
229,304,340,207,283,337,364,378.3333333,406,325.3333333,401.3333333,280,211.6666667,117,62,226,53,266.1568627,8318.489152,337,329.3666667,218,114.5
407,372,311,230,388,311,364.3333333,377.3333333,415.3333333,295.3333333,494,355,202,83,74,215,71,292.0784314,18229.78304,311,357.4333333,318.5,110.75
321,375,291,272,336,391,297,394,372.3333333,249,341.6666667,305.3333333,202,175,121,259,80,281.3137255,12356.93097,391,316.3333333,296.5,158.75
325,218,271,233,270,330,362,411.3333333,335,247,190,229,208.3333333,200,112,299,97,255.1568627,9945.372781,330,274.1666667,279,177
273,217,252,273,239,356,302,393,338,268.3333333,213.3333333,246,172,153,124,289,91,247.0392157,8410.118343,356,264.0666667,273,164.25
265,216,228,406,347,353,251,353,381.3333333,290,237,256,172,187,93,243,94,257.1960784,13699.08876,353,273.1333333,335.5,154.25
241,206,248,340,301,307,251,281.3333333,404,300,215.6666667,223.3333333,187.3333333,139,56,270,103,239.627451,7887.637081,307,261.7666667,290.5,142
261,180,255,195,293,298,265,269,359,355.3333333,195,209,202,107,75,255,64,225.7254902,8139.585799,298,258.2333333,228,125.25
269,171,184,377,302,358,312,311,321.6666667,294,174,272,202,127,71,330,103,245.8039216,11794.68639,358,254.3666667,323,157.75
292,166,299,259,222,397,327,293,302,281.3333333,153,240,197.6666667,111,74,289,84,234.5294118,11623.68047,397,248.1,275.5,139.5
300,199,294,289,221,295,290,218,312,271.3333333,145.3333333,151,189,101,54,272,57,215.2156863,9431.889546,295,229.0666667,294.5,121
271,162,206,205,340,339,207,177,284.3333333,244,138,151,189,96,76,210,66,197.7254902,6600.828402,339,209.8333333,238,112
261,157,179,230,332,383,216,184,256,241,188,203.3333333,163.6666667,99,77,198,88,203.2941176,8214.919132,383,212,245.5,115.5
227,164,193,153,178,309,189,217,244.3333333,274.6666667,238,226,160,84,49,202,88,188,5916.792899,309,208.4,190,105.75
277,154,216,122,230,274,184,222,236.3333333,265,258.3333333,159.3333333,160,102,48,210,107,189.7058823,5775.723866,274,208.5,199.5,116.75
302,218,184,144,250,316,211,209,281,284,279,127,151,121,49,197,143,203.8823529,9278.946746,316,219.4,223,127.5
247,203,227,108,197,291,230,171.3333333,287,264.6666667,234.3333333,160,170,126,51,282,98,196.9019608,6524.189349,291,214.4333333,177.5,139.25
184,234,181,175,180,264,126,133.3333333,278.3333333,222,190,154,170,97,47,269,75,175.2745098,8190.366864,264,186.8666667,179.5,122
173,360,192,231,147,325,123,138,241,225.3333333,176.6666667,137.6666667,147.6666667,92,96,178,95,181.0784314,11270.15385,325,188.8333333,202,115.25
233,219,156,248,247,234,139.3333333,199,255,269.6666667,164,126,119,75,73,250,59,180.3529412,6814.126233,234,189.4,240.5,114.25
215,97,120,232,200,210,120,206.3333333,214.3333333,324,139,143,119,162,46,293,113,173.745098,7756.753452,210,168.2666667,223.5,153.5
265,119,112,123,196,181,239.3333333,193,218,304.3333333,114,142,131.3333333,127,36,232,125,168.1176471,10168.75345,181,176.9,194,130
189,95,99,72,213,186,236,187.3333333,211,226.3333333,171.3333333,161,96,72,60,181,112,151.0588235,7040.232742,186,169.6,130.5,106.25
110,207,125,59,161,182,184,236.3333333,197.3333333,137,229,148,91.33333333,117,55,231,72,149.5294118,5037.108481,182,171.6,84.5,118.75
190,278,146,81,125,189,206,259,216,147,231,130.6666667,117,63,46,273,54,161.8627451,9163.790927,189,185.5666667,135.5,109
200,174,228,92,128,182,148.3333333,241.3333333,231,160.3333333,234,122,148,71,68,220,99,161.5882353,5743.676529,182,181.5,146,114.5
162,104,238,101,138,188,158,219,193,200,189.6666667,126.3333333,151,94,74,250,90,157.4117647,3570.966469,188,171.7,131.5,127
156,80,158,120,151,183,185.3333333,203,146,202.3333333,146,147,134.3333333,101,39,201,79,143.0588235,3383.285996,183,155.3,138,105
181,153,104,110,110,177,246,156,149,227.3333333,121.6666667,145,110,81,50,251,113,146.1764706,4032.059172,177,152.2,145.5,123.75
238,154,110,107,108,159,188,162,167.3333333,210,98,138,104,68,58,221,94,140.254902,3833.100592,159,143.9333333,172.5,110.25
191,120,119,115,158,171,191,151,158,206,121.3333333,143.3333333,109.3333333,97,72,185,93,141.2352941,3039.451677,171,147.7,153,111.75
161,180,98,123,68,125,157,135,138.3333333,135.3333333,145,105,159,118,67,128,80,124.8627451,2496.852071,125,132.0666667,142,98.25
105,133,124,136,161,142,132,128,112,142,190,106,168,104,69,184,50,128.5882353,2667.668639,142,139.6,120.5,101.75
114,70,147,143,137,157,133.3333333,132,101,139,236,162,174.3333333,98,67,144,84,131.6862745,3606.970414,157,143.1666667,128.5,98.25
129,143,168,118,162,157,145,123.3333333,116,120.3333333,170.6666667,114,167,100,86,121,113,132.5490196,2039.82643,157,142.9333333,123.5,105
