S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
53,48,120,79,66,76,82.33333333,86,104,56.33333333,0,99.33333333,76.33333333,78,36,50,148,74.01960784,1473.443787
102,56,103,117,81,46,93,93,111,65,0,55,72,50,15,65,126,73.52941176,1766.272189
141,77,82,74,26,66,57,83.33333333,97.33333333,88.66666667,0,57,77.66666667,54,35,71,151,72.82352941,1696.61144
84,70,58,95,28,114,60,67,76,72,0,81,141.3333333,58,56,48,90,70.49019608,2416.390533
91,50,78,90,57,39,93,56.33333333,66,56,20,100,137,34,77,45,78,68.66666667,1841.692308
80,52,117,89,66,36,93,65.33333333,64,63.33333333,55,88,103.3333333,69,72,54,71,72.82352941,1710.055227
79,82,65,81,57,47,85.33333333,64,96.33333333,46,0,87.33333333,85,93,90,78,57,70.17647059,1963.404339
90,80,75,57,51,59,113.3333333,68.33333333,76,38,0,48,88,83,79,72,44,65.98039215,1356.272189
120,118,86,544,100,2214,75,124.3333333,73.33333333,41,0,60,87.33333333,76,48,40,92,229.3529412,682314.7456
265,121,87,211,173,1606,126,128,70,41.33333333,0,99,156.3333333,88,36,37,76,195.3333333,317017.9487
514,245,267,569,330,3330,177,206.3333333,75,77,0,302,264,50,52,62,112,390.1372549,1554138.213
929,528,688,1022,354,1710,187,669.3333333,88,94.33333333,0,404.3333333,394.6666667,51,33,22,91,427.3921569,521355.5621
1934,1406,951,1429,647,3077,326.3333333,781,122.3333333,138.3333333,0,734.3333333,651,75,32,33,101,731.6666667,1849458.249
1546,1530,938,1218,726,6982,1022,1188.666667,156,186,0,1035,651,76,57,61,90,1027.215686,7108525.136
1284,1058,1079,1249,721,1658,1513,1666.333333,209.3333333,227.3333333,0,902,738,63,55,76,60,738.7647059,504840.8481
1375,1550,981,1474,884,1138,1483,1741,793,1013,0,909,704,43,50,37,53,836.9411765,405760.7219
1235,978,803,734,725,766,1416,1785,964,1281,0,806,757,84,40,36,55,733.2352941,305679.6923
814,807,687,566,569,942,1254,1185,1210,1237.666667,0,711.3333333,725,70,30,45,55,641.6470588,167200.4694
809,835,520,588,598,1098,1075.333333,1034,1312,1278.333333,0,529.3333333,618,53,59,51,58,618.5882353,161895.5819
704,572,660,718,466,958,766,907.3333333,1140,1196,0,589,573,51,56,44,68,556.9607843,115144.0828
625,740,756,589,428,862,708,708.3333333,1051.333333,1130.333333,0,614,581.3333333,39,38,50,85,529.7254902,85693.7357
640,591,588,582,528,726,483,644,1099,851,0,531,573.3333333,122,104,64,85,483.0196078,80070.52071
585,495,514,568,403,558,560,670.6666667,949,787,0,474,588,60,40,66,107,436.745098,62274.20118
491,353,538,446,318,707,547,554.3333333,863.3333333,798,0,439,563.6666667,100,33,72,100,407.254902,60932.72978
547,404,474,434,359,585,536,529,683.3333333,760,0,420.3333333,414,94,62,96,96,381.9803922,50363.09665
615,237,414,458,355,580,495,507.3333333,557,707,0,419,391,98,51,45,88,353.9607843,50475.1716
466,405,412,419,218,515,411,438,539.3333333,630.3333333,0,389,449.3333333,110,49,54,97,329.5294118,35170.26036
363,393,277,387,249,499,341,441,502,568,0,385,573.3333333,37,44,41,94,305.5490196,33028.01183
330,348,290,543,301,480,350,392.3333333,513,553,0,380,582,52,24,35,65,308.1372549,31855.08876
375,482,295,404,169,346,380,360.3333333,499.6666667,544,0,326,502.3333333,58,32,67,59,288.1960784,30781.29783
362,419,215,384,192,282,321,331,366.3333333,456,0,408,316.3333333,60,40,90,66,253.4509804,22808.37475
295,302,241,278,212,323,262,330.3333333,300,426,0,296,258,45,41,22,66,217.4901961,14249.59763
207,168,310,212,219,286,254,391,287.6666667,363.3333333,0,307,255.3333333,62,64,34,39,203.4901961,13996.03945
239,254,334,181,150,245,296,368,479.3333333,259.3333333,0,300,249.3333333,34,82,55,80,212.1176471,17855.11243
280,321,310,188,163,284,281,292,464,258,0,264,362,39,88,40,101,219.7058824,20453.60947
320,283,308,207,289,301,300,218,562.3333333,302.3333333,0,236.6666667,370.6666667,89,74,37,69,233.3529412,33739.97239
302,245,222,237,207,242,302.3333333,241,439.3333333,410,0,210.3333333,229,49,65,68,56,207.3529412,26510.93097
