S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
0,0,20.25,11.25,7.5,8.25,3.25,0,15,1,0,10,1,4.5,57,2.25,51,11.30882353,183.4526627
0,4.5,4.5,0,0,8.25,3.25,0,13.5,0,0,5.5,64.5,0,59.25,0,27,11.19117647,1209.718935
0,6.75,38.25,0,0,2.25,6.75,0,7.75,0,0,2.25,64.5,0,40.5,0,29.25,11.66176471,1527.727811
2.25,4.5,56.25,0,0,2.25,21,2.25,1,3.25,0,2.25,33.25,2.25,35.25,2.25,15,10.76470588,1174.366864
0,4.5,22.5,0,2.25,13.5,18.75,2.25,0,4.5,0,0,0,4.5,38.25,2.25,17.25,7.676470588,275.0325444
7.5,0,2.25,0,0,0,0,1,0,4.5,8.25,0,3.25,2.25,50.25,7.5,31.5,6.955882353,30.74556213
5.25,0,15,2.25,0,15.75,0,0,0,1,16.5,0,3.25,2.25,56.25,7.5,24,8.764705882,177.3698225
4.5,0,19.5,2.25,51.75,535.5,1,2.5,21.75,21.75,11.25,6.75,10,0,73.5,2.25,2.25,45.08823529,27817.19822
12.75,0,64.5,186,43.5,1188.75,3.25,19,201.75,157,6,39,55,2.25,78.75,0,19.5,122.1764706,119464.9408
85.5,7.5,90,65.25,99.75,1461,13.5,78.25,498.25,464.25,32.75,135,161.25,2.25,65.25,0,37.5,193.9558824,177729.9556
138.75,72,315.75,126.75,226.5,2055,29.25,182.25,924,588.25,14.25,352.5,310,0,66.75,29.25,117.75,326.4117647,317878.8817
207,106.5,426.75,223.5,390.75,2016,45,172.5,1615.5,1063.75,187,448,499.5,0,54,53.25,94.5,447.2647059,396081.7515
413.25,448.5,646.5,433.5,602.25,2367,105.75,231.25,1830,1358.5,360,532.75,709.75,0,36.75,39,221.25,608,545592.9586
605.25,597.75,545.25,618,948,1557,176.5,414.25,1795,1450.75,281,628.25,732.75,9.75,37.5,63,284.25,632.0147059,321810.5888
598.5,697.5,648.75,685.5,1086,1170,385,589.75,1444.5,1402.5,202.5,710.25,764.5,4.5,48,48.75,295.5,634.2352941,200233.0651
569.25,594,870,816,1059,1050,552,643.25,1273,1224.75,255,808.5,677,6.75,41.25,55.5,247.5,631.9264706,134816.6213
693,897.75,767.25,743.25,780,924,607.5,687,1154.25,1230.25,843.75,911.25,723,22.5,45.75,82.5,232.5,667.3823529,127870.926
750.75,921.75,647.25,786.75,893.25,798.75,560.25,744,924,1063.75,735.5,835.75,703.75,30,39,41.25,233.25,629.9411765,81115.28698
645.75,852.75,620.25,795.75,483,607.5,532.75,772,894.25,898.5,627.75,733,707.25,47.25,63.75,50.25,153,557.9264706,55697.14497
679.5,885,666,747.75,438,640.5,572.5,665.5,824.25,736,594.5,728.5,764.25,26.25,48.75,60,139.5,542.1617647,47784.91716
681,855.75,678.75,674.25,464.25,586.5,574,638.5,714,673,561.75,582,663.25,9,54.75,83.25,130.5,507.3235294,39928.76331
541.5,807,621.75,695.25,501.75,516,825.75,665,704.25,588,443.75,548.25,497.5,45,44.25,76.5,135,485.6764706,40678.6568
452.25,837,438.75,831,498,494.25,635.25,691.75,573.25,534.25,326.25,536.25,355.75,71.25,61.5,78,150,444.9852941,50233.20414
501,451.5,474,733.5,438,376.5,602.25,636.75,472,390,337.5,501,337,27.75,78,57.75,102.75,383.3676471,32487.0858
513,462,487.5,577.5,478.5,375.75,594.75,636,419.25,369.75,348.75,488.5,323.25,41.25,33.75,39.75,124.5,371.3970588,33137.93787
417.75,528,361.5,430.5,516.75,393,556,513,361.75,394.75,383.5,409.75,296,53.25,54,60.75,125.25,344.4411765,30435.07101
366,532.5,323.25,457.5,485.25,304.5,467,522.75,288.25,375,418.5,331.5,272.5,47.25,61.5,24.75,93,315.9411765,27528.98225
346.5,379.5,352.5,411.75,263.25,308.25,477.75,489.5,265,386.25,379,291.75,220.75,26.25,61.5,15,87.75,280.1323529,20336.77515
359.25,367.5,327,333,254.25,231,312,483.75,249,329.25,339.75,292.5,225.25,37.5,39,30,87,252.7647059,19156.05621
357,331.5,273.75,357.75,239.25,174,314.25,408.25,257.5,244.75,322,298.75,211.75,38.25,37.5,42.75,81.75,234.75,17002.31361
