S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
25.5,30,4.5,19.5,0,25.5,2,9,4.5,4.5,17,36,0,87,4.5,0,0,10.5,15.55555556,625.9777778,13.78571429,23.9,15,3.75
27.15,29.1,6,19.05,0,23.85,2.25,9.8,4.25,4.5,15.75,35.4,0.45,82.35,4.5,0,0,10.5,15.27222222,596.9088889,13.75714286,22.88,14.775,3.75
28.8,28.2,7.5,18.6,0,22.2,2.5,10.6,4,4.5,14.5,34.8,0.9,77.7,4.5,0,0,10.5,14.98888889,567.84,13.72857143,21.86,14.55,3.75
30.45,27.3,9,18.15,0,20.55,2.75,11.4,3.75,4.5,13.25,34.2,1.35,73.05,4.5,0,0,10.5,14.70555556,538.7711111,13.7,20.84,14.325,3.75
32.1,26.4,10.5,17.7,0,18.9,3,12.2,3.5,4.5,12,33.6,1.8,68.4,4.5,0,0,10.5,14.42222222,509.7022222,13.67142857,19.82,14.1,3.75
33.75,25.5,12,17.25,0,17.25,3.25,13,3.25,4.5,10.75,33,2.25,63.75,4.5,0,0,10.5,14.13888889,480.6333333,13.64285714,18.8,13.875,3.75
35.4,24.6,13.5,16.8,0,15.6,3.5,13.8,3,4.5,9.5,32.4,2.7,59.1,4.5,0,0,10.5,13.85555556,451.5644444,13.61428571,17.78,13.65,3.75
37.05,23.7,15,16.35,0,13.95,3.75,14.6,2.75,4.5,8.25,31.8,3.15,54.45,4.5,0,0,10.5,13.57222222,422.4955556,13.58571429,16.76,13.425,3.75
38.7,22.8,16.5,15.9,0,12.3,4,15.4,2.5,4.5,7,31.2,3.6,49.8,4.5,0,0,10.5,13.28888889,393.4266667,13.55714286,15.74,13.2,3.75
40.35,21.9,18,15.45,0,10.65,4.25,16.2,2.25,4.5,5.75,30.6,4.05,45.15,4.5,0,0,10.5,13.00555556,364.3577778,13.52857143,14.72,12.975,3.75
42,21,19.5,15,0,9,4.5,17,2,4.5,4.5,30,4.5,40.5,4.5,0,0,10.5,12.72222222,335.2888889,13.5,13.7,12.75,3.75
38.85,19.95,18.45,13.95,9.3,11.7,4.5,19.2,2.85,4.8,4.05,28.95,6.9,36.9,5.7,0.45,0,9.45,13.10833333,404.82,14.44285714,13.5,13.425,3.9
35.7,18.9,17.4,12.9,18.6,14.4,4.5,21.4,3.7,5.1,3.6,27.9,9.3,33.3,6.9,0.9,0,8.4,13.49444444,474.3511111,15.38571429,13.3,14.1,4.05
32.55,17.85,16.35,11.85,27.9,17.1,4.5,23.6,4.55,5.4,3.15,26.85,11.7,29.7,8.1,1.35,0,7.35,13.88055556,543.8822222,16.32857143,13.1,14.775,4.2
29.4,16.8,15.3,10.8,37.2,19.8,4.5,25.8,5.4,5.7,2.7,25.8,14.1,26.1,9.3,1.8,0,6.3,14.26666667,613.4133333,17.27142857,12.9,15.45,4.35
26.25,15.75,14.25,9.75,46.5,22.5,4.5,28,6.25,6,2.25,24.75,16.5,22.5,10.5,2.25,0,5.25,14.65277778,682.9444444,18.21428571,12.7,16.125,4.5
23.1,14.7,13.2,8.7,55.8,25.2,4.5,30.2,7.1,6.3,1.8,23.7,18.9,18.9,11.7,2.7,0,4.2,15.03888889,752.4755556,19.15714286,12.5,16.8,4.65
19.95,13.65,12.15,7.65,65.1,27.9,4.5,32.4,7.95,6.6,1.35,22.65,21.3,15.3,12.9,3.15,0,3.15,15.425,822.0066667,20.1,12.3,17.475,4.8
16.8,12.6,11.1,6.6,74.4,30.6,4.5,34.6,8.8,6.9,0.9,21.6,23.7,11.7,14.1,3.6,0,2.1,15.81111111,891.5377778,21.04285714,12.1,18.15,4.95
13.65,11.55,10.05,5.55,83.7,33.3,4.5,36.8,9.65,7.2,0.45,20.55,26.1,8.1,15.3,4.05,0,1.05,16.19722222,961.0688889,21.98571429,11.9,18.825,5.1
10.5,10.5,9,4.5,93,36,4.5,39,10.5,7.5,0,19.5,28.5,4.5,16.5,4.5,0,0,16.58333333,1030.6,22.92857143,11.7,19.5,5.25
10.95,10.5,9.9,4.5,86.25,33.3,4.25,39,10.5,8.25,0.75,19.2,26.55,6.15,16.95,4.5,0,1.5,16.27777778,947.1911111,21.98571429,12.13,18.525,5.7375
11.4,10.5,10.8,4.5,79.5,30.6,4,39,10.5,9,1.5,18.9,24.6,7.8,17.4,4.5,0,3,15.97222222,863.7822222,21.04285714,12.56,17.55,6.225
11.85,10.5,11.7,4.5,72.75,27.9,3.75,39,10.5,9.75,2.25,18.6,22.65,9.45,17.85,4.5,0,4.5,15.66666667,780.3733333,20.1,12.99,16.575,6.7125
12.3,10.5,12.6,4.5,66,25.2,3.5,39,10.5,10.5,3,18.3,20.7,11.1,18.3,4.5,0,6,15.36111111,696.9644444,19.15714286,13.42,15.6,7.2
12.75,10.5,13.5,4.5,59.25,22.5,3.25,39,10.5,11.25,3.75,18,18.75,12.75,18.75,4.5,0,7.5,15.05555556,613.5555556,18.21428571,13.85,14.625,7.6875
13.2,10.5,14.4,4.5,52.5,19.8,3,39,10.5,12,4.5,17.7,16.8,14.4,19.2,4.5,0,9,14.75,530.1466667,17.27142857,14.28,13.65,8.175
13.65,10.5,15.3,4.5,45.75,17.1,2.75,39,10.5,12.75,5.25,17.4,14.85,16.05,19.65,4.5,0,10.5,14.44444444,446.7377778,16.32857143,14.71,12.675,8.6625
14.1,10.5,16.2,4.5,39,14.4,2.5,39,10.5,13.5,6,17.1,12.9,17.7,20.1,4.5,0,12,14.13888889,363.3288889,15.38571429,15.14,11.7,9.15
14.55,10.5,17.1,4.5,32.25,11.7,2.25,39,10.5,14.25,6.75,16.8,10.95,19.35,20.55,4.5,0,13.5,13.83333333,279.92,14.44285714,15.57,10.725,9.6375
