S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 3,Zone 2,Zone 4,
78,9,0,26,33,45,3,14,8,2,23,50,9,48,9,78,3,38,26.44444444,1913.333333,35.6,13.14285714,39,32,35.6
77.7,9.7,2,23.4,33,41.6,3,14,8.2,2.2,23.13333333,47.93333333,9,46.8,11.2,78,3,39.9,26.32037037,1845.282963,34.30666667,12.91904762,39.85,33.025,
77.4,10.4,4,20.8,33,38.2,3,14,8.4,2.4,23.26666667,45.86666667,9,45.6,13.4,78,3,41.8,26.1962963,1777.232593,33.01333333,12.6952381,40.7,34.05,
77.1,11.1,6,18.2,33,34.8,3,14,8.6,2.6,23.4,43.8,9,44.4,15.6,78,3,43.7,26.07222222,1709.182222,31.72,12.47142857,41.55,35.075,
76.8,11.8,8,15.6,33,31.4,3,14,8.8,2.8,23.53333333,41.73333333,9,43.2,17.8,78,3,45.6,25.94814815,1641.131852,30.42666667,12.24761905,42.4,36.1,
76.5,12.5,10,13,33,28,3,14,9,3,23.66666667,39.66666667,9,42,20,78,3,47.5,25.82407407,1573.081481,29.13333333,12.02380952,43.25,37.125,
76.2,13.2,12,10.4,33,24.6,3,14,9.2,3.2,23.8,37.6,9,40.8,22.2,78,3,49.4,25.7,1505.031111,27.84,11.8,44.1,38.15,
75.9,13.9,14,7.8,33,21.2,3,14,9.4,3.4,23.93333333,35.53333333,9,39.6,24.4,78,3,51.3,25.57592593,1436.980741,26.54666667,11.57619048,44.95,39.175,
75.6,14.6,16,5.2,33,17.8,3,14,9.6,3.6,24.06666667,33.46666667,9,38.4,26.6,78,3,53.2,25.45185185,1368.93037,25.25333333,11.35238095,45.8,40.2,
75.3,15.3,18,2.6,33,14.4,3,14,9.8,3.8,24.2,31.4,9,37.2,28.8,78,3,55.1,25.32777778,1300.88,23.96,11.12857143,46.65,41.225,
75,16,20,0,33,11,3,14,10,4,24.33333333,29.33333333,9,36,31,78,3,57,25.2037037,1232.82963,22.66666667,10.9047619,47.5,42.25,
69.3,16.4,18.3,2.5,31.9,10.6,3.6,13.63333333,9.833333333,4.6,22.83333333,27,10.6,36,31.9,70.8,2.7,54.5,24.27777778,1159.237926,22.02,11.34285714,43.8,39.975,
63.6,16.8,16.6,5,30.8,10.2,4.2,13.26666667,9.666666667,5.2,21.33333333,24.66666667,12.2,36,32.8,63.6,2.4,52,23.35185185,1085.646222,21.37333333,11.78095238,40.1,37.7,
57.9,17.2,14.9,7.5,29.7,9.8,4.8,12.9,9.5,5.8,19.83333333,22.33333333,13.8,36,33.7,56.4,2.1,49.5,22.42592593,1012.054519,20.72666667,12.21904762,36.4,35.425,
52.2,17.6,13.2,10,28.6,9.4,5.4,12.53333333,9.333333333,6.4,18.33333333,20,15.4,36,34.6,49.2,1.8,47,21.5,938.4628148,20.08,12.65714286,32.7,33.15,
46.5,18,11.5,12.5,27.5,9,6,12.16666667,9.166666667,7,16.83333333,17.66666667,17,36,35.5,42,1.5,44.5,20.57407407,864.8711111,19.43333333,13.0952381,29,30.875,
40.8,18.4,9.8,15,26.4,8.6,6.6,11.8,9,7.6,15.33333333,15.33333333,18.6,36,36.4,34.8,1.2,42,19.64814815,791.2794074,18.78666667,13.53333333,25.3,28.6,
35.1,18.8,8.1,17.5,25.3,8.2,7.2,11.43333333,8.833333333,8.2,13.83333333,13,20.2,36,37.3,27.6,0.9,39.5,18.72222222,717.6877037,18.14,13.97142857,21.6,26.325,
29.4,19.2,6.4,20,24.2,7.8,7.8,11.06666667,8.666666667,8.8,12.33333333,10.66666667,21.8,36,38.2,20.4,0.6,37,17.7962963,644.096,17.49333333,14.40952381,17.9,24.05,
23.7,19.6,4.7,22.5,23.1,7.4,8.4,10.7,8.5,9.4,10.83333333,8.333333333,23.4,36,39.1,13.2,0.3,34.5,16.87037037,570.5042963,16.84666667,14.84761905,14.2,21.775,
18,20,3,25,22,7,9,10.33333333,8.333333333,10,9.333333333,6,25,36,40,6,0,32,15.94444444,496.9125926,16.2,15.28571429,10.5,19.5,
16.5,18.9,3.6,26,22,7.2,9.3,9.633333333,7.833333333,9.7,8.4,5.533333333,24.83333333,33,37.2,8.7,2.2,29.7,15.56851852,472.2272593,15.48666667,14.98571429,10.05,19.45,
15,17.8,4.2,27,22,7.4,9.6,8.933333333,7.333333333,9.4,7.466666667,5.066666667,24.66666667,30,34.4,11.4,4.4,27.4,15.19259259,447.5419259,14.77333333,14.68571429,9.6,19.4,
13.5,16.7,4.8,28,22,7.6,9.9,8.233333333,6.833333333,9.1,6.533333333,4.6,24.5,27,31.6,14.1,6.6,25.1,14.81666667,422.8565926,14.06,14.38571429,9.15,19.35,
12,15.6,5.4,29,22,7.8,10.2,7.533333333,6.333333333,8.8,5.6,4.133333333,24.33333333,24,28.8,16.8,8.8,22.8,14.44074074,398.1712593,13.34666667,14.08571429,8.7,19.3,
10.5,14.5,6,30,22,8,10.5,6.833333333,5.833333333,8.5,4.666666667,3.666666667,24.16666667,21,26,19.5,11,20.5,14.06481482,373.4859259,12.63333333,13.78571429,8.25,19.25,
9,13.4,6.6,31,22,8.2,10.8,6.133333333,5.333333333,8.2,3.733333333,3.2,24,18,23.2,22.2,13.2,18.2,13.68888889,348.8005926,11.92,13.48571429,7.8,19.2,
7.5,12.3,7.2,32,22,8.4,11.1,5.433333333,4.833333333,7.9,2.8,2.733333333,23.83333333,15,20.4,24.9,15.4,15.9,13.31296296,324.1152593,11.20666667,13.18571429,7.35,19.15,
6,11.2,7.8,33,22,8.6,11.4,4.733333333,4.333333333,7.6,1.866666667,2.266666667,23.66666667,12,17.6,27.6,17.6,13.6,12.93703704,299.4299259,10.49333333,12.88571429,6.9,19.1,
4.5,10.1,8.4,34,22,8.8,11.7,4.033333333,3.833333333,7.3,0.933333333,1.8,23.5,9,14.8,30.3,19.8,11.3,12.56111111,274.7445926,9.78,12.58571429,6.45,19.05,
3,9,9,35,22,9,12,3.333333333,3.333333333,7,0,1.333333333,23.33333333,6,12,33,22,9,12.18518518,250.0592593,9.066666667,12.28571429,6,19,
4,9,8.4,33.2,20.7,8.7,10.8,3,3,6.6,0,1.533333333,22.23333333,6.7,11.7,33.6,22.6,9.4,11.9537037,235.8945185,8.846666667,11.6047619,6.2,19.325,
5,9,7.8,31.4,19.4,8.4,9.6,2.666666667,2.666666667,6.2,0,1.733333333,21.13333333,7.4,11.4,34.2,23.2,9.8,11.72222222,221.7297778,8.626666667,10.92380952,6.4,19.65,
6,9,7.2,29.6,18.1,8.1,8.4,2.333333333,2.333333333,5.8,0,1.933333333,20.03333333,8.1,11.1,34.8,23.8,10.2,11.49074074,207.565037,8.406666667,10.24285714,6.6,19.975,
7,9,6.6,27.8,16.8,7.8,7.2,2,2,5.4,0,2.133333333,18.93333333,8.8,10.8,35.4,24.4,10.6,11.25925926,193.4002963,8.186666667,9.561904762,6.8,20.3,
8,9,6,26,15.5,7.5,6,1.666666667,1.666666667,5,0,2.333333333,17.83333333,9.5,10.5,36,25,11,11.02777778,179.2355556,7.966666667,8.880952381,7,20.625,
9,9,5.4,24.2,14.2,7.2,4.8,1.333333333,1.333333333,4.6,0,2.533333333,16.73333333,10.2,10.2,36.6,25.6,11.4,10.7962963,165.0708148,7.746666667,8.2,7.2,20.95,
10,9,4.8,22.4,12.9,6.9,3.6,1,1,4.2,0,2.733333333,15.63333333,10.9,9.9,37.2,26.2,11.8,10.56481481,150.9060741,7.526666667,7.519047619,7.4,21.275,
11,9,4.2,20.6,11.6,6.6,2.4,0.666666667,0.666666667,3.8,0,2.933333333,14.53333333,11.6,9.6,37.8,26.8,12.2,10.33333333,136.7413333,7.306666667,6.838095238,7.6,21.6,
12,9,3.6,18.8,10.3,6.3,1.2,0.333333333,0.333333333,3.4,0,3.133333333,13.43333333,12.3,9.3,38.4,27.4,12.6,10.10185185,122.5765926,7.086666667,6.157142857,7.8,21.925,
13,9,3,17,9,6,0,0,0,3,0,3.333333333,12.33333333,13,9,39,28,13,9.87037037,108.4118519,6.866666667,5.476190476,8,22.25,
16.5,8.1,2.7,17.7,8.7,5.7,0,1.4,1.5,3,0.3,3.7,11.1,13.5,9.3,36.3,26.2,12.7,9.911111111,142.9306667,6.92,5.728571429,9.6,21.125,
20,7.2,2.4,18.4,8.4,5.4,0,2.8,3,3,0.6,4.066666667,9.866666667,14,9.6,33.6,24.4,12.4,9.951851852,177.4494815,6.973333333,5.980952381,11.2,20,
23.5,6.3,2.1,19.1,8.1,5.1,0,4.2,4.5,3,0.9,4.433333333,8.633333333,14.5,9.9,30.9,22.6,12.1,9.992592593,211.9682963,7.026666667,6.233333333,12.8,18.875,
27,5.4,1.8,19.8,7.8,4.8,0,5.6,6,3,1.2,4.8,7.4,15,10.2,28.2,20.8,11.8,10.03333333,246.4871111,7.08,6.485714286,14.4,17.75,
30.5,4.5,1.5,20.5,7.5,4.5,0,7,7.5,3,1.5,5.166666667,6.166666667,15.5,10.5,25.5,19,11.5,10.07407407,281.0059259,7.133333333,6.738095238,16,16.625,
34,3.6,1.2,21.2,7.2,4.2,0,8.4,9,3,1.8,5.533333333,4.933333333,16,10.8,22.8,17.2,11.2,10.11481481,315.5247407,7.186666667,6.99047619,17.6,15.5,
37.5,2.7,0.9,21.9,6.9,3.9,0,9.8,10.5,3,2.1,5.9,3.7,16.5,11.1,20.1,15.4,10.9,10.15555556,350.0435556,7.24,7.242857143,19.2,14.375,
41,1.8,0.6,22.6,6.6,3.6,0,11.2,12,3,2.4,6.266666667,2.466666667,17,11.4,17.4,13.6,10.6,10.1962963,384.5623704,7.293333333,7.495238095,20.8,13.25,
44.5,0.9,0.3,23.3,6.3,3.3,0,12.6,13.5,3,2.7,6.633333333,1.233333333,17.5,11.7,14.7,11.8,10.3,10.23703704,419.0811852,7.346666667,7.747619048,22.4,12.125,
48,0,0,24,6,3,0,14,15,3,3,7,0,18,12,12,10,10,10.27777778,453.6,7.4,8,24,11,
48.3,0,1.6,22.6,5.7,4.1,0,14,16.2,2.833333333,3,6.633333333,0,17.9,11.7,12,10.3,10.7,10.42037037,453.0228148,7.433333333,7.971428571,24.95,11.175,
48.6,0,3.2,21.2,5.4,5.2,0,14,17.4,2.666666667,3,6.266666667,0,17.8,11.4,12,10.6,11.4,10.56296296,452.4456296,7.466666667,7.942857143,25.9,11.35,
48.9,0,4.8,19.8,5.1,6.3,0,14,18.6,2.5,3,5.9,0,17.7,11.1,12,10.9,12.1,10.70555556,451.8684444,7.5,7.914285714,26.85,11.525,
49.2,0,6.4,18.4,4.8,7.4,0,14,19.8,2.333333333,3,5.533333333,0,17.6,10.8,12,11.2,12.8,10.84814815,451.2912593,7.533333333,7.885714286,27.8,11.7,
49.5,0,8,17,4.5,8.5,0,14,21,2.166666667,3,5.166666667,0,17.5,10.5,12,11.5,13.5,10.99074074,450.7140741,7.566666667,7.857142857,28.75,11.875,
49.8,0,9.6,15.6,4.2,9.6,0,14,22.2,2,3,4.8,0,17.4,10.2,12,11.8,14.2,11.13333333,450.1368889,7.6,7.828571429,29.7,12.05,
50.1,0,11.2,14.2,3.9,10.7,0,14,23.4,1.833333333,3,4.433333333,0,17.3,9.9,12,12.1,14.9,11.27592593,449.5597037,7.633333333,7.8,30.65,12.225,
50.4,0,12.8,12.8,3.6,11.8,0,14,24.6,1.666666667,3,4.066666667,0,17.2,9.6,12,12.4,15.6,11.41851852,448.9825185,7.666666667,7.771428571,31.6,12.4,
50.7,0,14.4,11.4,3.3,12.9,0,14,25.8,1.5,3,3.7,0,17.1,9.3,12,12.7,16.3,11.56111111,448.4053333,7.7,7.742857143,32.55,12.575,
51,0,16,10,3,14,0,14,27,1.333333333,3,3.333333333,0,17,9,12,13,17,11.7037037,447.8281481,7.733333333,7.714285714,33.5,12.75,
47.2,1.4,31.2,9,3.6,15,0.6,12.6,27,1.9,3.133333333,3,0,15.6,11.5,11.4,11.7,16.9,12.37407407,877.1620741,7.82,7.676190476,39.2,12.875,
