S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
13.05,23.25,19.35,8.1,14.1,2.7,22.9,10.75,16.950000000000003,13.5,19.8,18.75,3.6,19.200000000000003,42.3,2.25,20.85,14.369230769230771,283.98461538461544
12.945,23.025,19.477500000000003,8.0025,14.2275,2.6550000000000002,22.91,10.775,16.992500000000003,13.35,19.795,18.75,3.615,19.567500000000003,42.269999999999996,2.25,20.8275,14.34769230769231,284.34014792899416
12.84,22.8,19.605,7.904999999999999,14.355,2.6100000000000003,22.919999999999998,10.8,17.035000000000004,13.2,19.79,18.75,3.63,19.935000000000002,42.239999999999995,2.25,20.805,14.326153846153847,284.6956804733728
12.735000000000001,22.575,19.7325,7.8075,14.4825,2.565,22.93,10.825,17.0775,13.05,19.785,18.75,3.645,20.302500000000002,42.21,2.25,20.782500000000002,14.304615384615387,285.05121301775154
12.63,22.35,19.86,7.71,14.61,2.52,22.939999999999998,10.85,17.12,12.9,19.78,18.75,3.66,20.67,42.18,2.25,20.76,14.283076923076925,285.40674556213025
12.525,22.125,19.9875,7.6125,14.7375,2.475,22.95,10.875,17.1625,12.75,19.775,18.75,3.675,21.0375,42.15,2.25,20.7375,14.261538461538462,285.7622781065089
12.42,21.9,20.115000000000002,7.515,14.865,2.43,22.96,10.9,17.205000000000002,12.6,19.77,18.75,3.69,21.405,42.12,2.25,20.715,14.24,286.11781065088763
12.315,21.675,20.2425,7.4174999999999995,14.9925,2.3850000000000002,22.97,10.925,17.247500000000002,12.45,19.765,18.75,3.705,21.7725,42.089999999999996,2.25,20.6925,14.218461538461538,286.47334319526635
12.21,21.45,20.37,7.32,15.12,2.34,22.98,10.95,17.29,12.3,19.76,18.75,3.72,22.14,42.06,2.25,20.67,14.196923076923078,286.82887573964507
12.105,21.225,20.4975,7.2225,15.2475,2.295,22.99,10.975,17.3325,12.15,19.755,18.75,3.735,22.5075,42.03,2.25,20.6475,14.175384615384615,287.18440828402373
12.0,21.0,20.625,7.125,15.375,2.25,23.0,11.0,17.375,12.0,19.75,18.75,3.75,22.875,42.0,2.25,20.625,14.153846153846153,287.53994082840245
11.895,20.775,20.7525,7.0275,15.5025,2.205,23.01,11.025,17.4175,11.85,19.745,18.75,3.765,23.2425,41.97,2.25,20.6025,14.132307692307691,287.89547337278117
11.79,20.55,20.88,6.93,15.629999999999999,2.16,23.02,11.05,17.46,11.7,19.740000000000002,18.75,3.78,23.61,41.94,2.25,20.58,14.11076923076923,288.25100591715983
11.685,20.325,21.0075,6.8325000000000005,15.7575,2.115,23.03,11.075,17.5025,11.549999999999999,19.735,18.75,3.795,23.9775,41.910000000000004,2.25,20.5575,14.089230769230769,288.60653846153855
11.58,20.1,21.135,6.735,15.885,2.07,23.04,11.1,17.545,11.399999999999999,19.73,18.75,3.81,24.345,41.88,2.25,20.535,14.067692307692308,288.9620710059172
11.475,19.875,21.262500000000003,6.6375,16.0125,2.025,23.05,11.125,17.5875,11.25,19.725,18.75,3.825,24.7125,41.85,2.25,20.5125,14.046153846153846,289.3176035502959
11.37,19.65,21.39,6.54,16.14,1.98,23.060000000000002,11.15,17.63,11.1,19.720000000000002,18.75,3.84,25.08,41.82,2.25,20.49,14.024615384615384,289.67313609467465
11.264999999999999,19.425,21.517500000000002,6.4425,16.2675,1.935,23.07,11.175,17.6725,10.95,19.715000000000003,18.75,3.855,25.447499999999998,41.79,2.25,20.467499999999998,14.003076923076923,290.0286686390533
11.16,19.2,21.645000000000003,6.345000000000001,16.395,1.8900000000000001,23.080000000000002,11.2,17.715,10.799999999999999,19.71,18.75,3.87,25.814999999999998,41.760000000000005,2.25,20.445,13.981538461538461,290.384201183432
11.055,18.975,21.7725,6.2475000000000005,16.522499999999997,1.845,23.09,11.225,17.7575,10.649999999999999,19.705000000000002,18.75,3.885,26.182499999999997,41.730000000000004,2.25,20.4225,13.96,290.7397337278107
10.95,18.75,21.900000000000002,6.15,16.65,1.8,23.1,11.25,17.8,10.499999999999998,19.700000000000003,18.75,3.9,26.549999999999997,41.7,2.25,20.4,13.938461538461539,291.0952662721894
10.844999999999999,18.525,22.027500000000003,6.0525,16.7775,1.7550000000000001,23.110000000000003,11.275,17.8425,10.349999999999998,19.695000000000004,18.75,3.915,26.917499999999997,41.67,2.25,20.377499999999998,13.916923076923077,291.4507988165681
10.74,18.3,22.155,5.955,16.904999999999998,1.71,23.12,11.3,17.885,10.2,19.69,18.75,3.9299999999999997,27.284999999999997,41.64,2.25,20.354999999999997,13.895384615384616,291.8063313609468
10.635,18.075,22.282500000000002,5.8575,17.0325,1.665,23.130000000000003,11.325,17.9275,10.049999999999999,19.685000000000002,18.75,3.945,27.652499999999996,41.61,2.25,20.3325,13.873846153846154,292.1618639053255
10.53,17.85,22.41,5.76,17.16,1.62,23.14,11.35,17.97,9.899999999999999,19.680000000000003,18.75,3.96,28.019999999999996,41.58,2.25,20.31,13.852307692307694,292.51739644970417
10.425,17.625,22.5375,5.6625,17.2875,1.5750000000000002,23.150000000000002,11.375,18.0125,9.75,19.675000000000004,18.75,3.9749999999999996,28.387499999999996,41.55,2.25,20.287499999999998,13.830769230769231,292.8729289940829
10.32,17.4,22.665000000000003,5.5649999999999995,17.415,1.53,23.160000000000004,11.4,18.055,9.6,19.67,18.75,3.9899999999999998,28.754999999999995,41.52,2.25,20.264999999999997,13.80923076923077,293.2284615384616
10.215,17.175,22.7925,5.4675,17.5425,1.485,23.17,11.425,18.0975,9.45,19.665000000000003,18.75,4.005,29.1225,41.49,2.25,20.242499999999996,13.787692307692309,293.58399408284026
10.11,16.95,22.92,5.37,17.67,1.44,23.180000000000003,11.45,18.139999999999997,9.299999999999999,19.660000000000004,18.75,4.02,29.49,41.46,2.25,20.22,13.766153846153847,293.939526627219
10.005,16.725,23.0475,5.2725,17.7975,1.395,23.19,11.475,18.182499999999997,9.15,19.655,18.75,4.035,29.857499999999998,41.43,2.25,20.197499999999998,13.744615384615386,294.29505917159764
9.9,16.5,23.175,5.175,17.925,1.35,23.200000000000003,11.5,18.224999999999998,9.0,19.650000000000002,18.75,4.05,30.224999999999998,41.4,2.25,20.174999999999997,13.723076923076924,294.65059171597636
9.795,16.275,23.302500000000002,5.0775,18.052500000000002,1.3050000000000002,23.21,11.525,18.2675,8.85,19.645000000000003,18.75,4.0649999999999995,30.592499999999998,41.37,2.25,20.152499999999996,13.701538461538462,295.0061242603551
