Beta-16																					
      Date	      Time	   Battery	  Fix	       Latitude	      Longitude	    Dp>0.3	    Dp>0.5	    Dp>1.0	    Dp>2.5	    Dp>5.0	   Dp>10.0	   PM1_Std	 PM2.5_Std	  PM10_Std	   PM1_Env	 PM2.5_Env	  PM10_Env	   Temp(C)	     RH(%)	    P(hPa)	   Alti(m)
 2021/3/22	   9:27:10	3.91625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.76	37.561523	101559.4766	-19.503403
 2021/3/22	   9:27:20	3.91625	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	18.790001	37.326172	101546.3594	-18.885063
 2021/3/22	   9:27:30	3.915	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	18.85	37.342773	101555.7422	-19.193233
 2021/3/22	   9:27:40	3.91375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9	37.334961	101548.3359	-18.577887
 2021/3/22	   9:27:50	3.91375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.950001	37.183594	101553.2578	-18.98645
 2021/3/22	    9:28:0	3.91125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	36.913086	101558.5781	-19.429125
 2021/3/22	   9:28:10	3.89875	0	0	0	18	6	0	0	0	0	0	0	0	0	0	0	19.049999	36.69043	101549.3125	-18.658195
 2021/3/22	   9:28:20	3.91125	0	0	0	18	6	0	0	0	0	0	0	0	0	0	0	19.1	36.813477	101548.1875	-18.564837
 2021/3/22	   9:28:30	3.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.139999	36.792969	101545.6016	-18.35001
 2021/3/22	   9:28:40	3.91125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.200001	36.893555	101547.8906	-18.540745
 2021/3/22	   9:28:50	3.9125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.26	36.467773	101547.3594	-18.496574
 2021/3/22	    9:29:0	3.91375	0	0	0	9	3	3	3	3	3	0	0	2	0	0	2	19.309999	36.329102	101546.6016	-18.433331
 2021/3/22	   9:29:10	3.91125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.360001	36.273438	101551.5156	-18.841898
 2021/3/22	   9:29:20	3.9125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.41	35.96582	101552.1719	-18.896105
 2021/3/22	   9:29:30	3.91125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.459999	36.066406	101546.9844	-18.465454
 2021/3/22	   9:29:40	3.91125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.51	35.999023	101552.3047	-18.908152
 2021/3/22	   9:29:50	3.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.57	38.192383	101556.4063	-19.248444
